donor,recipient,engraftment rate,flux,metabolism
D-10,11,0.3105815199185404,41.904073080290274,scfa metabolism
D-10,12,0.06561113024527154,38.647603583601324,scfa metabolism
D-10,16,0.44797034927657015,31.793537539336644,scfa metabolism
D-10,18,0.32063717986706963,36.102537988611054,scfa metabolism
D-10,19,0.2667467230281505,36.77852253376595,scfa metabolism
D-10,22,0.2384015425409633,39.0002168939784,scfa metabolism
D-10,23,0.10508062617526881,29.006509504396124,scfa metabolism
D-10,24,0.18060878805539532,33.57368487548153,scfa metabolism
D-10,25,0.04833619292630116,37.94656626904476,scfa metabolism
D-10,3,-0.010045195531365873,40.350511609882005,scfa metabolism
D-10,30,0.15772341846100632,34.1832110719535,scfa metabolism
D-10,31,-0.014534878351317468,31.31670727076307,scfa metabolism
D-10,32,0.09279557981894156,37.536309208577116,scfa metabolism
D-10,33,0.1452774537266111,38.17434415082575,scfa metabolism
D-10,36,0.06007760159934854,32.669775937303655,scfa metabolism
D-10,37,0.3564556741544495,28.486147653160312,scfa metabolism
D-10,54,-0.06676073174740763,31.49028875287093,scfa metabolism
D-10,70,0.29731244894567427,38.553224944410886,scfa metabolism
D-10,71,0.20391425466892546,33.453276438612455,scfa metabolism
D-10,75,0.12369548416539188,33.76005230959963,scfa metabolism
D-10,77,0.275977446911633,45.98888398073955,scfa metabolism
D-10,78,0.3045452221138164,40.52850861223395,scfa metabolism
D-10,88,-0.15246245350015822,38.86192668418451,scfa metabolism
D-10,89,0.08170160727400938,43.97373896222984,scfa metabolism
D-10,90,-0.2506566619688429,38.003557378986116,scfa metabolism
D-12,11,0.17043542884792667,43.858946433001954,scfa metabolism
D-12,12,0.02503508458204448,43.60099132827662,scfa metabolism
D-12,16,0.14548279062191785,42.05660693909087,scfa metabolism
D-12,18,0.19219196018055626,42.02544351832581,scfa metabolism
D-12,19,0.035575845058760665,42.546519221901086,scfa metabolism
D-12,22,0.17163740943981065,40.75709605487218,scfa metabolism
D-12,23,0.059280905489629596,32.25465653974156,scfa metabolism
D-12,24,0.030712696463211023,39.23112458685467,scfa metabolism
D-12,25,-0.11887265350341357,40.97544816007097,scfa metabolism
D-12,3,-0.17812676031186156,44.94736479765534,scfa metabolism
D-12,30,-0.03957419681195041,40.31750874774185,scfa metabolism
D-12,31,-0.1750698087423868,36.559113166194166,scfa metabolism
D-12,32,-0.04617881529056613,41.54658976132636,scfa metabolism
D-12,33,-0.11415118475808843,35.72216476265762,scfa metabolism
D-12,36,-0.025839358473929288,39.70119119195072,scfa metabolism
D-12,37,0.2267984006620882,38.779530139070765,scfa metabolism
D-12,54,-0.31759545492874536,33.551477276852914,scfa metabolism
D-12,56,0.04070356641963459,38.80776658372809,scfa metabolism
D-12,59,0.1431234340960174,38.67380785504037,scfa metabolism
D-12,75,-0.006278950877020389,40.88955598006097,scfa metabolism
D-12,77,0.2056942381200173,48.34558261955804,scfa metabolism
D-12,78,0.2753164719636311,41.58018643692928,scfa metabolism
D-12,88,-0.24395534886204018,43.16466598748959,scfa metabolism
D-12,89,-0.25938036347529203,40.5866117987036,scfa metabolism
D-12,90,-0.22107915869225908,41.56988736523815,scfa metabolism
D-13U,11,0.2223967119628439,41.9060057040948,scfa metabolism
D-13U,12,0.07370598217890256,40.99934740944313,scfa metabolism
D-13U,16,0.2761413422720155,38.32303540746487,scfa metabolism
D-13U,18,0.25599085345048095,44.30509498646803,scfa metabolism
D-13U,19,0.174360383466058,41.022118161278875,scfa metabolism
D-13U,22,0.22814309160908586,40.6974348121584,scfa metabolism
D-13U,23,0.11263821794336347,31.275860745065426,scfa metabolism
D-13U,24,0.197650266101231,45.19416005444659,scfa metabolism
D-13U,25,-0.037153900002902605,39.718906009325245,scfa metabolism
D-13U,3,-0.2732465784841402,43.790250873404254,scfa metabolism
D-13U,30,0.01125296122986977,38.36919720320636,scfa metabolism
D-13U,31,-0.08117389471500339,35.488767236749695,scfa metabolism
D-13U,32,0.006703899796965232,37.414266432899325,scfa metabolism
D-13U,33,-0.030062390227081577,34.23429254974445,scfa metabolism
D-13U,36,0.10116536455120456,37.09949655597846,scfa metabolism
D-13U,37,0.23938948335484234,32.61818084426619,scfa metabolism
D-13U,54,-0.17552941053301066,30.224711714040094,scfa metabolism
D-13U,56,0.09057798923213663,35.05390280180746,scfa metabolism
D-13U,59,0.16703638401179832,36.542377172795995,scfa metabolism
D-13U,70,0.1315685955293471,45.07753410636407,scfa metabolism
D-13U,71,0.08782366616581148,44.06071514406335,scfa metabolism
D-13U,88,-0.2523113079136952,41.2209638288354,scfa metabolism
D-13U,89,-0.11327091557637918,48.75169701372228,scfa metabolism
D-13U,90,-0.2967333545124767,38.571614403810145,scfa metabolism
D-14,11,0.31754432770135926,35.53068419746332,scfa metabolism
D-14,12,0.07148183479269898,41.24510931517,scfa metabolism
D-14,16,0.24595959455162344,39.768267468960815,scfa metabolism
D-14,18,0.2066862999243782,44.101077475055106,scfa metabolism
D-14,19,0.2837366006085887,34.814045867966485,scfa metabolism
D-14,22,0.27609863796148837,40.50781849867638,scfa metabolism
D-14,23,0.25622655767562,32.15991841463213,scfa metabolism
D-14,24,0.09302496436934242,49.70822701361689,scfa metabolism
D-14,25,0.09512325629214059,38.45009233965567,scfa metabolism
D-14,3,-0.2868478685703388,41.034540874358186,scfa metabolism
D-14,30,0.11035561068871585,33.62878469131144,scfa metabolism
D-14,31,0.0879269873722694,34.79128078800048,scfa metabolism
D-14,32,0.13974276090074866,37.39273803617458,scfa metabolism
D-14,33,0.13323333842704319,35.40659328553557,scfa metabolism
D-14,36,0.06755800123885791,39.94477474696517,scfa metabolism
D-14,37,0.26968399876032356,29.83616462740468,scfa metabolism
D-14,54,0.035725307761771484,32.09114197970589,scfa metabolism
D-14,56,0.1131965804218556,36.673527503727,scfa metabolism
D-14,59,0.17255460085809965,39.3972123103777,scfa metabolism
D-14,70,0.18146477171037562,44.486300514647574,scfa metabolism
D-14,71,0.12944271160987952,42.58727001453585,scfa metabolism
D-14,75,0.0982208237646753,34.49514974524459,scfa metabolism
D-14,77,0.23161268177484248,55.04537378913728,scfa metabolism
D-14,78,0.32370195706420385,41.1900949613142,scfa metabolism
D-14,88,0.06707198624079008,42.10784279363041,scfa metabolism
D-14,89,-0.018096211085061837,47.320485733741705,scfa metabolism
D-15Fryst,11,0.15191574214371475,47.52877959602422,scfa metabolism
D-15Fryst,12,-0.04991504638272966,42.56770612379236,scfa metabolism
D-15Fryst,16,0.35686981066080437,37.388921738783395,scfa metabolism
D-15Fryst,18,0.2967184646806043,42.281634898860894,scfa metabolism
D-15Fryst,19,0.056159733316857016,41.24094494085624,scfa metabolism
D-15Fryst,22,0.3206728467216405,40.30666150474636,scfa metabolism
D-15Fryst,23,0.01469504621807856,31.493297522386186,scfa metabolism
D-15Fryst,24,0.27327105199018764,34.71668879112423,scfa metabolism
D-15Fryst,25,0.13565806649254086,36.0914960193389,scfa metabolism
D-15Fryst,3,0.07920010703393836,41.46851612749386,scfa metabolism
D-15Fryst,30,0.13856797286424938,38.395078811252375,scfa metabolism
D-15Fryst,31,0.05776441296493989,35.57339442482225,scfa metabolism
D-15Fryst,32,0.16567648550563002,38.881449613506184,scfa metabolism
D-15Fryst,33,0.16528884263225954,35.19297976274425,scfa metabolism
D-15Fryst,36,-0.10194671603341446,39.50996980125607,scfa metabolism
D-15Fryst,37,0.37912253729362194,30.307236695180165,scfa metabolism
D-15Fryst,54,-0.20875617531081903,32.07119813593134,scfa metabolism
D-15Fryst,56,0.1969569295256649,36.50891944754493,scfa metabolism
D-15Fryst,59,0.29052579465312817,38.180062244984484,scfa metabolism
D-15Fryst,70,0.10318964064087449,43.38911950247852,scfa metabolism
D-15Fryst,71,0.1762725299185905,42.452193299585296,scfa metabolism
D-15Fryst,75,0.2270242030554852,38.22917776528022,scfa metabolism
D-15Fryst,77,0.23073858230062005,48.90193205010388,scfa metabolism
D-15Fryst,78,0.4064038108900896,39.66735442512415,scfa metabolism
D-15Fryst,90,0.1396265268736193,33.8011423156572,scfa metabolism
D-2,16,0.12799612722968093,40.43207764201041,scfa metabolism
D-2,18,0.1210913711017701,72.75568703293459,scfa metabolism
D-2,19,0.151797656223029,44.27159334333415,scfa metabolism
D-2,22,0.21494441822227633,45.66365074673648,scfa metabolism
D-2,23,0.05156509452655849,32.406452739495464,scfa metabolism
D-2,24,-0.05892713875050504,49.79057236749112,scfa metabolism
D-2,25,0.008575770424752266,37.54327444557558,scfa metabolism
D-2,3,-0.030841998555517777,40.36359557092089,scfa metabolism
D-2,30,0.0076298627369877255,40.01077010510564,scfa metabolism
D-2,31,-0.03243362192223796,40.23441227839738,scfa metabolism
D-2,32,0.12350516336560785,38.33067118318248,scfa metabolism
D-2,33,0.048443644957906366,36.242550674996345,scfa metabolism
D-2,36,0.0018951646556086383,46.84740986441731,scfa metabolism
D-2,37,0.18759297258476762,34.59074074488106,scfa metabolism
D-2,54,-0.12875284573891574,36.29654249057366,scfa metabolism
D-2,56,-0.038548945327825185,41.13565573651578,scfa metabolism
D-2,59,0.12054569312272047,40.151857806086014,scfa metabolism
D-2,70,0.08831830444855689,49.201276039915605,scfa metabolism
D-2,71,0.11122309414659663,47.60467385814325,scfa metabolism
D-2,75,-0.04332190655178083,37.748461691036,scfa metabolism
D-2,77,0.1416218728661812,51.74991746543428,scfa metabolism
D-2,78,0.2266505656195923,50.628024505133304,scfa metabolism
D-2,88,-0.10525157637346651,39.90435590544122,scfa metabolism
D-2,89,0.08713469887663335,45.647953791392574,scfa metabolism
D-2,90,-0.11791050829159215,41.3365351008926,scfa metabolism
D-3,11,0.1471396734633947,45.32088777250433,scfa metabolism
D-3,12,0.027593876859278468,42.67100332678641,scfa metabolism
D-3,18,0.24272054255073125,53.40490933458713,scfa metabolism
D-3,23,-0.0562153033099009,30.675946513772764,scfa metabolism
D-3,24,0.10084267114307184,39.4117111830697,scfa metabolism
D-3,25,-0.013144976363604904,31.242548165039086,scfa metabolism
D-3,3,0.05649447246708396,39.15859405782354,scfa metabolism
D-3,30,0.07783921700381555,36.67499964434527,scfa metabolism
D-3,31,-0.0549809400618959,33.85532171308866,scfa metabolism
D-3,32,-0.011991510637209268,37.76681216003832,scfa metabolism
D-3,33,0.15212145351533196,33.44474357789318,scfa metabolism
D-3,36,0.05498849849299942,40.98718259443598,scfa metabolism
D-3,37,0.28914095587602784,31.457741246661026,scfa metabolism
D-3,54,-0.17719881016345987,32.853761579297384,scfa metabolism
D-3,56,0.17808686571733473,37.19554335465271,scfa metabolism
D-3,59,0.19513808598164734,36.876332093960485,scfa metabolism
D-3,70,0.20966993525152774,44.61333426370878,scfa metabolism
D-3,71,0.20429612743535636,44.490484418054876,scfa metabolism
D-3,75,0.03073285708141889,38.48486415032375,scfa metabolism
D-3,77,0.29940619509387545,52.932208083153085,scfa metabolism
D-3,78,0.22456336981571454,57.24245385163241,scfa metabolism
D-3,88,-0.12940880281099504,36.55405171154931,scfa metabolism
D-3,89,0.2009404024595437,38.8935543532609,scfa metabolism
D-3,90,-0.20226566868124474,38.01716735662344,scfa metabolism
D-4,11,0.22105837089250407,37.37092878071799,scfa metabolism
D-4,12,-0.043785915580799174,41.55821067201751,scfa metabolism
D-4,16,0.1866702059878272,37.46879871183336,scfa metabolism
D-4,18,0.12377903920114523,48.26162653262369,scfa metabolism
D-4,19,0.25114795004932783,39.98707600217588,scfa metabolism
D-4,22,0.22545389140912434,41.83536431323378,scfa metabolism
D-4,24,-0.1067848667542382,46.585828986662484,scfa metabolism
D-4,25,-0.007491612882762964,34.97160082884489,scfa metabolism
D-4,3,-0.12096914654831985,40.59801213546602,scfa metabolism
D-4,30,-0.01794808114778353,35.28254733050771,scfa metabolism
D-4,32,0.12433385903688929,37.26283783901908,scfa metabolism
D-4,33,0.11015399175514115,35.988098574227074,scfa metabolism
D-4,36,0.025203906013118147,43.5585698989465,scfa metabolism
D-4,37,0.20022494311244882,30.58162276239397,scfa metabolism
D-4,54,-0.08853707073085887,35.462150430482495,scfa metabolism
D-4,56,0.06803681091677287,42.05860856915347,scfa metabolism
