"order","color"
"Bacteroidales","#66C2A5"
"Lachnospirales","#FC8D62"
"Clostridiales","#8DA0CB"
"Erysipelotrichales","#E78AC3"
"Bifidobacteriales","#A6D854"
"Veillonellales","#FFD92F"
"Lactobacillales","#E5C494"
"Selenomonadales","#B3B3B3"
"Other","gray80"
