taxon,distance,sample_id
AZC9C_30,0.22816404597555398,JtoC
AZC9C_34,0.29529490782378587,JtoC
AZC9C_60,0.23189167041190747,JtoC
AZC9C_68,0.33242151485461413,JtoC
AZC9C_69,0.40759272818740955,JtoC
AZC9C_80,0.22637241485537837,JtoC
AZC9C_81,0.1319815688299363,JtoC
AZC9C_91,0.3205818911238361,JtoC
AZC9C_96,0.20287027436050115,JtoC
AZC9C_98,0.5099213325216974,JtoC
AZC9C_108,0.27635602579836194,JtoC
AZC9C_110,0.2508555161490513,JtoC
AZC9C_115,0.2010645379317509,JtoC
AZC3J_1,0.26242804112726936,JtoE
AZC3J_6,0.13094296961710428,JtoE
AZC3J_9,0.5593521210080376,JtoE
AZC3J_18,0.24133287022563493,JtoE
AZC3J_20,0.26564064769983425,JtoE
AZC3J_21,0.4124233001170328,JtoE
AZC3J_25,0.09641538960234596,JtoE
AZC3J_26,0.2038046903409541,JtoE
AZC3J_28,0.2929962836372923,JtoE
AZC3J_32,0.06065679109359144,JtoE
AZC3J_34,0.6272904532261756,JtoE
AZC3J_45,0.40969332417632937,JtoE
AZC3J_49,0.5805256136708203,JtoE
AZC3J_55,0.4936181793068113,JtoE
AZC3J_56,0.07493430413992794,JtoE
AZC3J_57,0.32636202860224034,JtoE
AZC3J_59,0.44009474571368734,JtoE
AZC3J_61,0.18979653778135114,JtoE
AZC3J_64,0.4619566848524809,JtoE
AZC3J_71,0.312750486718991,JtoE
AZC3J_73,0.19101634444336799,JtoE
AZC3J_74,0.13585466445779143,JtoE
AZC3J_77,0.23108328645879742,JtoE
AZC3J_79,0.14678493453723235,JtoE
AZC3J_81,0.19162046127846094,JtoE
AZC3J_82,0.6975971756485849,JtoE
AZC3J_87,0.5925976068891613,JtoE
AZC3J_88,0.2731523058148867,JtoE
AZC3J_91,0.190815796661204,JtoE
AZC3J_95,0.1962028485262998,JtoE
AZC3J_99,0.3432731687420253,JtoE
AZC5T_21,0.35026631024363236,JtoE
AZC5T_22,0.28744769308843193,JtoE
AZC5T_64,0.32079385163905977,JtoE
AZC5T_69,0.5997721754774961,JtoE
AZC5T_85,0.19038309715846058,JtoE
AZC5T_87,0.28106730821942294,JtoE
AZC5T_98,0.2132566777512071,JtoE
AZC5T_106,0.11809419529464293,JtoE
AZC5T_115,0.06289155332677757,JtoE
AZC7E_4,0.10523097610029901,JtoE
AZC7E_16,0.21317618096753482,JtoE
AZC7E_25,0.09220316375109291,JtoE
AZC7E_29,0.33775826745507104,JtoE
AZC7E_34,0.18533590781499154,JtoE
AZC7E_45,0.36272535819269364,JtoE
AZC7E_47,0.08456804354627431,JtoE
AZC7E_54,0.2753879396320547,JtoE
AZC7E_60,0.2062201993032753,JtoE
AZC7E_69,0.5674256034922711,JtoE
AZC7E_70,0.04601844824245264,JtoE
AZC7E_72,0.06387457775965383,JtoE
AZC7E_74,0.11597258314186351,JtoE
AZC7E_116,0.07303983865849976,JtoE
AZC9C_6,0.39880519541635806,JtoE
AZC9C_7,0.0878435080831291,JtoE
AZC9C_25,0.20527881635464834,JtoE
AZC9C_30,0.21015445651111708,JtoE
AZC9C_34,0.323108851415712,JtoE
AZC9C_60,0.21176505551412972,JtoE
AZC9C_68,0.1641710905818127,JtoE
AZC9C_69,0.4272580858160636,JtoE
AZC9C_80,0.18978896796396313,JtoE
AZC9C_81,0.1545265121840566,JtoE
AZC9C_91,0.27779259410116125,JtoE
AZC9C_96,0.32103482668435357,JtoE
AZC9C_98,0.6464076418982486,JtoE
AZC9C_108,0.2790479349561178,JtoE
AZC9C_110,0.27265275102976966,JtoE
AZC9C_115,0.3260492431643941,JtoE
AZC3J_1,0.26418182040603166,TtoJ
AZC3J_2,0.3931887597742104,TtoJ
AZC3J_6,0.06589159293831814,TtoJ
AZC3J_10,0.5398648690092379,TtoJ
AZC3J_18,0.11924039726601052,TtoJ
AZC3J_26,0.3256572286611991,TtoJ
AZC3J_34,0.4005350801382863,TtoJ
AZC3J_45,0.4017566076350555,TtoJ
AZC3J_62,0.09872494341168844,TtoJ
AZC3J_63,0.04688433187107784,TtoJ
AZC3J_70,0.5388979876701958,TtoJ
AZC3J_71,0.29458771493298747,TtoJ
AZC3J_81,0.3825138605721305,TtoJ
AZC3J_92,0.6976245549259456,TtoJ
AZC3J_95,0.04934604603418423,TtoJ
AZC3J_99,0.30951751731238075,TtoJ
AZC5T_1,0.4050093072331796,TtoJ
AZC5T_4,0.5025226544155323,TtoJ
AZC5T_12,0.04470790641276347,TtoJ
AZC5T_24,0.45398973357187133,TtoJ
AZC5T_30,0.4875366557896871,TtoJ
AZC5T_34,0.04957852914200622,TtoJ
AZC5T_47,0.3645192611667128,TtoJ
AZC5T_49,0.05164502529687156,TtoJ
AZC5T_51,0.42320092261854614,TtoJ
AZC5T_53,0.05129817953023772,TtoJ
AZC5T_58,0.0755443462278847,TtoJ
AZC5T_61,0.5317387324578755,TtoJ
AZC5T_63,0.048049875051235966,TtoJ
AZC5T_64,0.3886443828893834,TtoJ
AZC5T_65,0.36819031354842535,TtoJ
AZC5T_66,0.06970987158261101,TtoJ
AZC5T_71,0.4022397940547361,TtoJ
AZC5T_79,0.045169772051262394,TtoJ
AZC5T_80,0.7896940567421715,TtoJ
AZC5T_85,0.4447149209609907,TtoJ
AZC5T_90,0.06867802359067296,TtoJ
AZC5T_93,0.7314476951020326,TtoJ
AZC5T_99,0.41337930442332455,TtoJ
AZC5T_104,0.6308759723126067,TtoJ
AZC5T_111,0.04949084914819536,TtoJ
AZC5T_115,0.045790633008571044,TtoJ
AZC5T_119,0.4638888160304739,TtoJ
AZC7E_22,0.049577106162066384,TtoJ
AZC7E_29,0.29713575262233244,TtoJ
AZC7E_45,0.4598343575410476,TtoJ
AZC7E_47,0.07641597691387372,TtoJ
AZC7E_52,0.049576275241532505,TtoJ
AZC7E_55,0.20522261876074435,TtoJ
AZC7E_57,0.056468474487501565,TtoJ
AZC7E_69,0.474787203226651,TtoJ
AZC7E_71,0.04122023025232787,TtoJ
AZC7E_72,0.03784383874973137,TtoJ
AZC7E_73,0.13585835341489613,TtoJ
AZC7E_81,0.05064371095403495,TtoJ
AZC7E_90,0.5192989435631606,TtoJ
AZC7E_96,0.06902728295874212,TtoJ
AZC7E_111,0.444825660700511,TtoJ
AZC7E_114,0.6459396661542847,TtoJ
AZC7E_117,0.6750562459916363,TtoJ
AZC9C_18,0.8058058296726269,TtoJ
AZC9C_34,0.46542977755718,TtoJ
AZC9C_58,0.3203168592897212,TtoJ
AZC9C_60,0.056931736739738746,TtoJ
AZC9C_71,0.06681946282629055,TtoJ
AZC9C_75,0.1408256273226442,TtoJ
AZC9C_86,0.30037400830852146,TtoJ
AZC9C_93,0.4410105932714587,TtoJ
AZC9C_98,0.3667774103402742,TtoJ
AZC3J_1,0.1747344388610869,TtoC
AZC3J_2,0.4449647004224917,TtoC
AZC3J_6,0.11167509536034212,TtoC
AZC3J_10,0.4600354432892749,TtoC
AZC3J_18,0.13089342483165606,TtoC
AZC3J_26,0.1272566639641724,TtoC
AZC3J_34,0.4216840008826531,TtoC
AZC3J_45,0.34018564056261896,TtoC
AZC3J_62,0.10591046541909517,TtoC
AZC3J_63,0.05019003251619686,TtoC
AZC3J_70,0.3627148064568934,TtoC
AZC3J_71,0.15383109269704764,TtoC
AZC3J_81,0.46489016702428965,TtoC
AZC3J_92,0.5968398493230503,TtoC
AZC3J_95,0.05061912334098746,TtoC
AZC3J_99,0.13237501892652043,TtoC
AZC5T_1,0.4018353243775338,TtoC
AZC5T_4,0.5665724564074514,TtoC
AZC5T_12,0.05221598742681318,TtoC
AZC5T_24,0.28573124536191685,TtoC
AZC5T_30,0.41880608211835507,TtoC
AZC5T_34,0.09558690408407687,TtoC
AZC5T_47,0.5103944628888192,TtoC
AZC5T_49,0.0984725264961152,TtoC
AZC5T_51,0.2772823325669622,TtoC
AZC5T_53,0.0978976777358631,TtoC
AZC5T_58,0.13352055625970788,TtoC
AZC5T_61,0.4334297754939799,TtoC
