recipient,D-10,D-12,D-13U,D-14,D-15Fryst,D-2,D-3,D-4,D-5Fryst,D-6Fresk,D-7Fryst,D-9Fryst,SRR9224227,SRR9224190,SRR9224550,SRR9224231,SRR9224200,SRR9224080,SRR9224544,SRR9224388,SRR9224194,SRR9224559,SRR9224013,SRR9224132,SRR9224222,SRR9224439,SRR9224458,SRR9224385,SRR9224377,SRR9224413,SRR9224320,SRR9224548,SRR9224433,SRR9224032,SRR9224011,SRR9224043,SRR9224145,SRR9224543,SRR9224374,SRR9224009,SRR9224015,SRR9224435,SRR9224188,SRR9224553,SRR9224492,SRR9224007,SRR9224466,SRR9224557,SRR9224034,SRR9224387,SRR9224040,SRR9224443,SRR9224460,SRR9224030,SRR9224055,SRR9224381,SRR9224059,SRR9224076,SRR9224126,SRR9224203,SRR9224051,SRR9224148,SRR9224036,SRR9224263,SRR9224170,SRR9224376,SRR9224128,SRR9224437,SRR9224196,SRR9224124,SRR9224154,SRR9224432,SRR9224468,SRR9224464,SRR9224409,SRR9224049,SRR9224221,SRR9224157,SRR9224150,SRR9224383,SRR9224546,SRR9224028,SRR9224555,SRR9224193,SRR9224046,SRR9224186,SRR9224038,SRR9224130,SRR9224065,SRR9224379,SRR9224357,SRR9224411,SRR9224225,SRR9224152,SRR9224407,SRR9224057
11,0.3105815199185404,0.17043542884792667,0.2223967119628439,0.31754432770135926,0.15191574214371475,0.08633868741873585,0.1471396734633947,0.22105837089250407,0.22072146210395477,0.22681807303899928,0.20249821053577496,0.4520349055319472,0.2512689454889215,0.26780503575774633,0.3193105211249171,0.3404629940857959,0.36375095472886737,0.38951982222237747,0.38733640310082784,0.2676049941540365,0.33294267831579893,0.32364755820515445,0.30458924164078244,0.17751916974745208,0.26255434416850815,0.25654954908990024,0.21220587681901582,0.2554804886368641,0.2489744597968781,0.41593471697988516,0.25016339804307913,0.07326560811969036,0.25286058472320627,0.16738102228368046,0.22047745737857843,0.16129528416752634,0.3378244188902144,0.30925219829416906,0.29764505011760606,0.20174797829803368,0.25796928649236334,0.2294508533465884,0.3357383561651445,0.24461150747721888,0.3882716762938445,0.40539890512576054,0.13455553730938513,0.25083128906384017,0.22653995163147364,0.11895711864889749,0.2370640308593417,0.17035772504758492,0.31653271634835006,0.22977829442657247,0.32134500472308963,0.2945792681607325,0.15789021336980005,0.24421095192468004,0.17881379165242944,0.4264563794847313,0.17541895058286053,0.37710955775155286,0.10978565569994425,0.1686060444507585,0.24298685952644739,0.42440473780316523,0.2911383346071848,0.31430405635784164,0.22299089775019199,0.24000893924659897,0.24156282604161572,0.415010598902175,0.1782513507244692,0.32142629037537235,0.32575144277772183,0.2894215292589845,0.134159387595827,0.3699473755599007,0.3597234075039366,0.28034826025142634,0.09527300183016146,0.18790018263327934,0.28727240401438686,0.1456950962035333,0.2999752828788583,0.20266408061367544,0.27374074654900854,0.1482195799101498,0.18816711078044607,0.10135081681311188,0.10847699426475237,0.2786922415811733,0.1627249942318836,0.10962239028703813,0.27618063799519715,0.26052886074974996
12,0.06561113024527154,0.02503508458204448,0.07370598217890256,0.07148183479269898,-0.04991504638272966,-0.279936463652956,0.027593876859278468,-0.043785915580799174,-0.0459055561132191,0.05333776187823788,-0.06155639468002553,0.054470095501375,0.15859437928376194,0.08036515051747879,0.21384412039553682,0.19181592992715707,0.1828470049066501,0.13794871356608096,0.10522159311324047,0.08152491415716474,0.14948547900270523,0.1719976046385482,0.20284179116653797,0.13064771222765395,0.1514649586571006,0.12418743356828096,0.13620475911516106,0.11761159942762837,0.14268673998468587,0.11349452587738218,0.0892106966850317,0.030307583616267685,0.09572245862375453,0.10929476310833137,0.13331192408201623,0.12029760102647705,0.18445445623464432,0.09775964494486016,0.191201705550514,0.12138550378568842,0.053311161146182,0.1336185960851245,0.10467279897249963,0.14904737016517725,0.08744769938805334,0.18339764833966746,0.07627000117942502,0.15698263529829884,0.10009507975573567,0.079148900878952,0.14392399699167824,0.17946227278392068,0.29845162147682935,0.16728361749016088,0.34618805222660104,0.21065668106507895,0.13521622166272484,0.14862232419071542,0.10848089810587008,0.11182940989627448,0.13678225637783772,0.09199667731251923,0.057213307354984415,0.2601530393416203,0.16193892158125164,0.14053441698837868,0.1101352380127007,0.11727888931208201,0.3850373416298681,0.3465329167970888,0.1640017474937407,0.11394139120010353,0.12500609810171634,0.16429580334736366,0.13543311161325483,0.11313681956940026,0.12104807749259867,0.11358536552970325,0.07341344764611121,0.29362517473390026,0.03759031168619867,0.12112425653740393,0.17900154711234842,0.1445893260640695,0.09745324872368781,0.22712348168469945,0.1454536136278981,0.03935939161367564,0.10464347192605701,0.0750404391860808,0.13164565838114783,0.150553505875484,0.11838700926741548,0.029606037122283494,0.17061947298195104,0.2938423809676076
16,0.44797034927657015,0.14548279062191785,0.2761413422720155,0.24595959455162344,0.35686981066080437,0.12799612722968093,0.4371059050549423,0.1866702059878272,0.1892849573617269,0.26944298176849824,0.12541555101895493,0.3764029678717075,0.1745159073958432,0.17658752505170822,0.319330953539226,0.28029612383155583,0.272582186094841,0.29575247429917156,0.26030998385628157,0.2641666549890899,0.31417153495363553,0.42612375484455556,0.32213493863351883,0.17480661902131372,0.34185815776861506,0.21898698720542592,0.16770628174611107,0.16311310565409864,0.18216747494277938,0.37194153211588293,0.19436020844925628,0.06979922011346375,0.2518833482185445,0.1748119221303346,0.17991577939055386,0.15563529267448623,0.28657234041366536,0.21412262346903901,0.36122542577969463,0.14404681939266367,0.37196295662476786,0.17754815100811205,0.2586292371083271,0.18890735333377026,0.3560051987508349,0.2955556190504119,0.12773615222275997,0.2504524891308417,0.14654535285036835,0.11051465902420929,0.18362905876516164,0.3110578959935401,0.3033159364152212,0.17627627381296618,0.3364178269512515,0.319143304635515,0.1821634729406027,0.18854823918999833,0.12806402017657764,0.37785365969599033,0.1839576446928626,0.35531766335037157,0.13457575334851246,0.17723034263837037,0.1927978429415098,0.25881388524373256,0.23174553274589593,0.2998402718796472,0.27496763709550587,0.2443818059695944,0.17216093116428252,0.255668984796547,0.1907126610348474,0.26045100518999637,0.2601389497175651,0.2488756635607577,0.16210678324302355,0.33471821427376547,0.2761246770398918,0.28320368972370796,0.09803555853695287,0.11543471760158575,0.35426604380687493,0.1498427813705933,0.2880311782676504,0.21059439214154468,0.2596439601283965,0.1373676126388139,0.20125882839961662,0.10016186890110196,0.11107197828764342,0.32925500306597033,0.13062990412239794,0.12840871594602718,0.23031004863880422,0.27040213032268245
18,0.32063717986706963,0.19219196018055626,0.25599085345048095,0.2066862999243782,0.2967184646806043,0.1210913711017701,0.24272054255073125,0.12377903920114523,0.10858893791261356,0.23401916874007475,-0.13995427079266443,0.21816589683912735,0.13235107169762264,0.11274239184437412,0.4262823916084142,0.24257801948129096,0.284050435178706,0.22283147430287206,0.20512195746856865,0.06661304800993062,0.09410046178030766,0.4015675307801529,0.4176019554853431,0.09982681984314733,0.373670869542463,0.12034059590758445,0.09475052028547372,0.08961545732119652,0.10662100178791162,0.24765751302868863,0.10633810983496263,0.025639335460184397,0.07159754958473016,0.06832459035442909,0.09544313178659199,0.06728276807179512,0.25602324196846565,0.20865895738217272,0.410352369256119,0.11726274873656799,0.2937671566307815,0.09225603511091243,0.20670148113394793,0.10436471885065086,0.22931574755173004,0.22874452440359488,0.0769670191786351,0.1291821392633653,0.08310309879446297,0.04561903488384753,0.12915560155311742,0.30262078442731444,0.4116160142474469,0.10697970329417014,0.3659628371009535,0.3652091382545259,0.15118063058078202,0.15467688323769782,0.111109091599578,0.26868438308576686,0.07232478077292763,0.23146036550293217,0.07932308459770601,0.3345123487893074,0.0914653317590084,0.21405876326846698,0.22357154727898298,0.20344121092054412,0.37762959058384804,0.30483342540474695,0.13253971656288588,0.2544084226481051,0.12417100875057899,0.24132717298681927,0.20878800716117668,0.12179397741095872,0.0866419787105684,0.23881003944289267,0.23351970089347,0.4496071927061051,0.040516572412116994,0.1070739172696379,0.321952554766092,0.07876364137795795,0.20300389532056332,0.3990450059754748,0.20576931233292803,0.10376068873169023,0.14086926275465939,0.02384934406999662,0.10819353399249988,0.3201195475415334,0.16391104153957087,0.16016771482995437,0.0999992481431819,0.36800594396935726
19,0.2667467230281505,0.035575845058760665,0.174360383466058,0.2837366006085887,0.056159733316857016,0.151797656223029,0.3764412413681174,0.25114795004932783,0.24350531928558528,0.31421198688646407,0.06168825230237388,0.3351328917608346,0.17475107184935293,0.18422618382972236,0.383676060264875,0.3662514342209014,0.3545651581500264,0.35191764441359813,0.36096416587178465,0.18651917569679224,0.24486197084120942,0.3977848477710697,0.3861380053574779,0.15230463409802933,0.38475118886239523,0.17224770256960922,0.1790601763303939,0.17294463021444734,0.17399768463164592,0.3623314186378724,0.1798757916735756,0.04590938214683519,0.1620825502971373,0.1601541235324696,0.17506766547783612,0.10633735105704058,0.3842998840262729,0.33053062305999487,0.35134139917761764,0.20138754247420212,0.3955463730765775,0.142447853957572,0.27484919090829585,0.16780150976864872,0.3667973221615823,0.3379679280665406,0.09707813140194393,0.15818530016254037,0.16693646402631518,0.06765063090760748,0.18436474108747763,0.3484367734079389,0.4435788188619793,0.18222192499612244,0.40372221716600576,0.15901687234794532,0.14102543248762103,0.220533927937299,0.1564906828605511,0.3990497924460825,0.1667884182930775,0.40862346088982515,0.11608580558658177,0.257178762329069,0.1747049165117241,0.43887586227051173,0.3665504721312187,0.3598961776601554,0.310952973017184,0.38088734797965934,0.2006193287039978,0.35275418265395814,0.20643107573332162,0.3875041276737252,0.3166874252617399,0.1646319412196877,0.14629740517027248,0.30893286823447513,0.34570773287164935,0.32010999198867107,0.055230470458631296,0.14383891369929858,0.36136526034891414,0.17538133454743968,0.36879008973661404,0.2511826755577211,0.3783624137141122,0.10491677165347792,0.190800806457512,0.06856705449892732,0.12660565931472273,0.3508960532521027,0.09141240890529993,0.2548602636010811,0.21149927076448718,0.46938044417079877
22,0.2384015425409633,0.17163740943981065,0.22814309160908586,0.27609863796148837,0.3206728467216405,0.21494441822227633,0.1493362860064177,0.22545389140912434,0.2285974292091629,0.264698380427245,0.22175201931180333,0.29009546003709474,0.3173183170347016,0.35275123077702103,0.3194124832475272,0.32441508530904783,0.35489877971577216,0.32911443014079966,0.29603927243288314,0.2960719704989305,0.3324251115096877,0.3425754721075552,0.3451996121446376,0.32090045332115874,0.3126800250555649,0.35230369957670105,0.3122409484303547,0.29507254524239995,0.324291431228825,0.3671116983543747,0.3300999164727109,0.07823415276806596,0.2513002641419289,0.3227274313336823,0.3393548956216337,0.25650221349868335,0.34170629062798874,0.33335245541173064,0.34275874448886,0.3416903906296842,0.27599273873649044,0.3151987154583868,0.27807511214948216,0.35328421794287596,0.2954302402001588,0.33771794585078885,0.17993076010752299,0.33123837540237566,0.3151700542731689,0.13319739174996786,0.3605322650149769,0.32864441086809754,0.35992381365512366,0.3281192742353824,0.352613256821535,0.27394016615440925,0.29565581828560517,0.34726180658097366,0.3428981994665061,0.3346125251936276,0.3130728795642534,0.3598280473007332,0.3127765390261394,0.3425590383935165,0.30127023031766315,0.3321842241483578,0.33457734894055635,0.2557937425169993,0.35970747829329536,0.36413640336613823,0.3263611212411747,0.32136516945413035,0.338313042440418,0.2413174769996022,0.3120210198453611,0.3218797264536443,0.2989892758259721,0.34176679987900394,0.33726522999432196,0.3360360948857021,0.10749281837738117,0.3417437842394925,0.32179724912082,0.3254340558135223,0.33527782135522827,0.2885935405414543,0.3561336571324011,0.16979969447614598,0.25174750968244103,0.12943344480764882,0.3191982607209699,0.3064551285334336,0.15665090053575198,0.2575604330032549,0.3477586868127618,0.3146932106091609
23,0.10508062617526881,0.059280905489629596,0.11263821794336347,0.25622655767562,0.01469504621807856,0.05156509452655849,-0.0562153033099009,0.07423215892824692,0.05481716943153338,0.10648815074032347,0.07081144030426038,0.15431209246717667,0.48129055721051184,0.30883975721273577,0.2950653697241501,0.27477160334723955,0.26233361605384903,0.2752729324663769,0.2824395462595423,0.26694927277909863,0.2661163930026804,0.2581892778114698,0.22669048800382768,0.20024026374038087,0.26294807287353,0.2688588822919764,0.21607185617189975,0.38717091372154827,0.24356070826245746,0.3053388588305872,0.2587735090382591,0.0308093034095657,0.24745953730024156,0.2258793588304879,0.26605532009088917,0.10220252943182434,0.28242856305767977,0.2482290688593892,0.31714136723444314,0.31506480348133936,0.2468947099434606,0.29943785818387775,0.20529879662569964,0.27926579877489766,0.2581865804468085,0.2830122262395915,0.09846134323471539,0.2556777171985147,0.2633553422394315,0.07960809634538821,0.19925704314106027,0.23682175916148662,0.22805013660851883,0.21971782530830053,0.2030777632923278,0.3316998870570108,0.253915382146541,0.23892145548727792,0.17047127396335185,0.23350511416810335,0.282856949427749,0.2885280028606575,0.197226543646019,0.1510143005981016,0.28483708956790066,0.34053062901937287,0.23028656442047823,0.2539435396104492,0.28120044369955965,0.1869911598230553,0.29676048512398984,0.25885246734630424,0.28593854571437105,0.2192722514815675,0.2570641145540714,0.29091155748042813,0.1579213881634235,0.16050004218974528,0.2650563657692233,0.27211168417735726,0.046073625486812,0.1873763529513493,0.3165877816700566,0.18451646180114326,0.253955372716747,0.25218177522786955,0.24163751046251292,0.08924203002445377,0.2439654275539034,0.08933242766015628,0.20624456524259802,0.276020055784882,0.3069199649293312,0.14824930903447803,0.255234535753804,0.22983813974251144
24,0.18060878805539532,0.030712696463211023,0.197650266101231,0.09302496436934242,0.27327105199018764,-0.05892713875050504,0.10084267114307184,-0.1067848667542382,-0.048729734664060526,0.05870075525070301,-0.0949759374404328,0.10396090819095513,0.06597254126705858,0.07923875530308547,0.3110171094924782,0.1224426118250519,0.1399304831944826,0.08761901311385291,0.10515887206939716,0.02500726433880964,0.05966179579318443,0.30667681948955233,0.28780916458716715,0.03478606597070248,0.2954513462538451,0.03088391380990136,0.06998417878034172,0.019276842647081748,0.04130769500152957,0.19565162077188938,0.045929134555264206,0.03509802610118071,0.03635826151138565,0.10376696131506512,0.0035654979321447853,0.019971461183914678,0.2453578309600607,0.06356293361916487,0.2412253861140981,0.0957864162059412,0.3770210722266291,0.05093174581312929,0.07136059084191052,0.08476893799915076,0.17359550117742076,0.15131142874733164,0.08180446050197339,0.0987325831602,0.023505825612896353,0.027905736305938615,0.050593379990236054,0.2664378240030451,0.24680673001589365,0.007339794546057468,0.17924310592283513,0.30959641871442084,0.15312125579109492,0.08507721280247824,0.04591131859901796,0.18007056710988262,0.053713026744952715,0.15505451629974823,0.03459996431641627,0.23078597154729424,0.03024880377975492,0.08517474650986596,0.08940105776717171,0.19077221143503123,0.282752498067498,0.14090015364120706,0.17583890909150768,0.2578575908518257,0.13741013558090676,0.2276343976241097,0.05289195546166025,-0.04649459253845073,-0.012393491610307731,0.17892927512260237,0.1806971093221556,0.4137468935184945,0.06563072162875894,0.04791611455059919,0.3122629182389908,0.02564098644038876,0.19186424154786322,0.273265624377615,0.23733571561789585,0.09773580007903315,0.10635556359567504,-0.05783129826201766,0.05299040308435628,0.22872234624424498,0.1567119156167678,0.08418631239192526,0.1346365980921456,0.261005382311054
25,0.04833619292630116,-0.11887265350341357,-0.037153900002902605,0.09512325629214059,0.13565806649254086,0.008575770424752266,-0.013144976363604904,-0.007491612882762964,-0.0848982990802068,-0.021602178010495927,-0.047177734785272325,0.0035270148255345754,0.09001024163271623,0.047952684899683816,0.268507801240128,0.12570796186875327,0.16749848656708105,0.08524416108270641,0.15126830179252465,0.13193467954868598,0.16727290560525274,0.2713069398445048,0.2032626718200137,0.07444956679723362,0.1743359654490311,-0.02225498357655465,-0.05069876897468422,0.05903382399836758,-0.03217626887170873,0.09252904879043741,0.08177902434160723,0.029739131420359926,0.03354737304819395,0.05084312264277808,-0.05136311278635296,0.06752377726964762,0.1913027162153563,0.08774912211514065,0.22417995404509666,0.06160381159987732,0.27225868633117273,0.04208319109908008,0.13499030885365254,0.012887214848006007,0.119642328532395,0.1288622363936193,0.05516589505377387,0.06183960324967936,0.01670090941964141,0.04677751461011857,0.0955947671207678,0.12677771696910156,0.2669431319409023,0.04146552412178472,0.2583840636524813,0.2300520058461035,0.14069956326066757,0.09420881952907284,0.08635857296708774,0.29048861179461216,0.005867062105204383,0.28403363438496415,-0.013441953773367531,0.20078025677328193,-0.017985108057171455,0.10981701954195845,0.12384056489133,0.17862234823256076,0.36524201265836737,0.2405143661572623,0.10977797363734443,0.1013344317362689,0.056933196924484085,0.18017367417682725,0.15057457110438086,0.14184273223442345,-0.043075048736841884,0.17860634616701887,0.09777776629949612,0.42603592841028975,0.02943178823746651,-0.016677203716108976,0.1452147737073834,0.003572091023925167,0.0859247440127517,0.2705438467028767,0.0826542269416595,0.09529823728157921,-0.025536035119194122,0.02687685496320351,0.061732917829758364,0.2706352363872337,0.09655098505432239,0.12504789083869347,0.13054864050048953,0.24117911368198394
3,-0.010045195531365873,-0.17812676031186156,-0.2732465784841402,-0.2868478685703388,0.07920010703393836,-0.030841998555517777,0.05649447246708396,-0.12096914654831985,-0.11414749836802085,0.14211607382392313,-0.050222857181401556,-0.19480375972871183,0.10571364341544705,-0.039709215836232124,0.35385587491487197,0.17615598458469864,0.12551902179476215,-0.07326838822490828,-0.025058145379496202,0.004963739333129995,0.12151986349829702,0.06596224305613156,0.13356002227216296,0.050368378773481486,-0.011364195853582842,-0.02378641686992435,-0.02225577551285066,-0.01600047566678875,-0.027855070335085722,0.038453437456995886,0.02623122163150525,0.03206853999036149,0.04917041318166758,0.04005850660913174,-0.08627083861224864,0.05620277884829315,0.14400006478298108,-0.06307043889863823,0.12777367776238363,-0.02205461233719118,0.04891325667287089,0.006708535472327443,0.05399371842802268,0.0032898185972589184,0.15235720344673087,0.02844635546836557,0.03627992120655777,-0.055841759574661545,-0.07085834487343472,0.04945689127527973,0.011814978125800029,0.25243910956733934,0.24368831567111657,0.02461578784457427,0.32454238662555185,0.25585413804223817,0.09428519754524901,0.07949600958468266,0.060928035039801556,0.10352973240294881,-0.0004366820901489096,0.18579111654108574,-0.01935638091468393,0.22278859878371482,-0.019162407906991762,0.04779264402687249,0.060111017844712726,0.11751548724210367,0.3043616764691349,0.3454431392543521,0.04470423352472679,-0.05013112529094328,0.018798088241997683,0.20226020257136915,0.06463684423882106,0.04245488995335935,-0.06954713048477511,0.0817533317018038,0.017472959181339537,0.3834046153493432,0.03542161584105387,-0.04899440529869626,0.03795172869272989,-0.03414746729765233,0.05878265423315595,0.23730839081183103,0.10800533768506906,0.08554888281697343,-0.0709802900232911,0.04047572253359051,-0.009496141739619015,0.1529980764238187,0.0860621332397929,0.23683993660253028,0.0810086274509094,0.29643183255252087
