,x
Haloplasmatales,#66C2A5
Betaproteobacteriales,#FC8D62
Desulfovibrionales,#8DA0CB
Peptococcales,#E78AC3
Acholeplasmatales,#A6D854
Saccharimonadales,#FFD92F
Actinomycetales,#E5C494
Deferribacterales,#B3B3B3
Other,gray80
