taxon_id,33-0,D-15U,77-6,22-6,90-6,16-0,D-6Fryst,D-6Fresk,78-6,12-6,11-6,75-0,89-6,89-0,31-0,12-0,D-7Fryst,D-15Fryst,24-6,66-6,88-0,D-13U,D-4,23-0,19-6,D-9Feresk,24-0,18-0,3-6,77-0,D-12,25-6,25-0,64-6,11-0,54-0,D-9Fryst,30-6,66-0,D-3,32-6,D-10,32-0,56-6,56-0,59-6,71-0,37-0,3-0,D-2,59-0,64-0,30-0,31-6,22-0,70-0,90-0,81-0,D-5Fryst,18-6,88-6,D-14,D-14U,78-0,16-6,19-0,75-6,36-0
465515,2.4442108865152886e-05,1.6027612370592058e-05,5.088766927662978e-05,0.00039267650307950536,2.1236586391034475e-05,1.763037360765126e-05,3.205522474118411e-06,8.013806185296028e-07,4.4075934019128154e-05,7.212425566766425e-05,0.00012581675710914765,2.8048321648536098e-06,3.0452463504124905e-05,2.8048321648536097e-05,3.445936659677292e-05,1.0417948040884836e-05,7.2124255667664254e-06,7.2124255667664254e-06,5.3291811132218584e-05,5.72987142248666e-05,2.6846250720741694e-05,2.003451546324007e-06,1.4024160824268048e-05,8.013806185296029e-06,9.616567422355234e-06,4.006903092648014e-07,2.003451546324007e-05,5.2089740204424185e-05,2.283934762809368e-05,6.411044948236822e-06,2.4041418555888085e-05,4.848352742104097e-05,6.010354638972021e-06,4.407593401912815e-06,0.00012701882803694206,3.245591505044891e-05,3.205522474118411e-06,2.4842799174417687e-05,1.0017257731620035e-05,1.4424851133532851e-05,8.85525583475211e-05,6.010354638972021e-06,2.003451546324007e-06,4.087041154500974e-05,3.205522474118411e-06,3.4860056906037725e-05,0.0004399579595727519,2.003451546324007e-05,2.1637276700299276e-05,6.010354638972021e-06,2.1637276700299276e-05,3.6062127833832127e-06,2.9250392576330503e-05,1.763037360765126e-05,1.2020709277944042e-06,1.0017257731620035e-05,0.00011219328659414439,8.815186803825631e-05,5.208974020442418e-06,0.00013623470515003246,6.731597195648664e-05,3.365798597824332e-05,1.642830267985686e-05,3.365798597824332e-05,2.4842799174417687e-05,1.162001896867924e-05,8.013806185296028e-07,3.3257295668978514e-05
469602,4.5657347088978864e-07,4.109161238008097e-06,4.5657347088978864e-07,3.652587767118309e-06,3.1960142962285203e-06,2.739440825338732e-06,4.5657347088978864e-07,4.5657347088978864e-07,3.1960142962285203e-06,4.5657347088978866e-06,1.8262938835591545e-06,1.8262938835591545e-06,2.739440825338732e-06,2.1915526602709856e-05,9.131469417795773e-06,8.218322476016195e-06,2.2828673544489433e-06,4.5657347088978864e-07,1.9632659248260912e-05,1.5523498010252815e-05,1.0501189830465139e-05,0.0,3.1960142962285203e-06,1.0501189830465139e-05,6.392028592457041e-06,0.0,1.9176085777371125e-05,4.109161238008097e-06,9.131469417795773e-07,0.0009423676439165238,1.369720412669366e-05,1.9176085777371125e-05,9.131469417795773e-07,2.2828673544489433e-06,7.305175534236618e-06,1.4610351068473236e-05,4.5657347088978864e-07,1.0501189830465139e-05,7.761749005126407e-06,5.022308179787675e-06,9.131469417795773e-07,9.131469417795773e-07,1.8262938835591545e-06,1.369720412669366e-06,1.369720412669366e-06,4.5657347088978864e-07,7.761749005126407e-06,6.392028592457041e-06,6.392028592457041e-06,2.739440825338732e-06,1.8262938835591545e-06,9.131469417795773e-07,2.1915526602709856e-05,3.1960142962285204e-05,9.131469417795773e-07,1.5066924539363025e-05,2.1915526602709856e-05,3.698245114207288e-05,9.131469417795773e-07,0.0,1.0957763301354928e-05,2.2828673544489433e-06,1.369720412669366e-06,2.282867354448943e-05,4.5657347088978866e-06,4.109161238008097e-06,1.369720412669366e-06,2.2828673544489433e-06
1002364,4.0975352710714216e-07,1.4341373448749974e-06,1.6390141084285686e-06,4.0975352710714216e-07,1.8438908719821396e-06,4.0975352710714216e-07,6.146302906607132e-07,2.0487676355357108e-07,0.009446867567455162,6.146302906607132e-07,3.2985158932124944e-05,0.0,3.89265850751785e-06,8.195070542142843e-07,4.0975352710714216e-07,1.0243838177678554e-06,1.6390141084285686e-06,4.0975352710714216e-07,1.8438908719821396e-06,6.146302906607132e-07,5.531672615946419e-06,0.0,1.8438908719821396e-06,1.8438908719821396e-06,1.4341373448749974e-06,3.073151453303566e-06,3.482904980410708e-06,1.4341373448749974e-06,1.0243838177678554e-06,0.00030362736358639233,2.663397926196424e-06,2.458521162642853e-06,6.146302906607132e-07,6.146302906607132e-05,1.0243838177678554e-06,1.0243838177678554e-06,1.0243838177678554e-06,1.6390141084285686e-06,0.0,2.663397926196424e-06,0.0,2.048767635535711e-06,0.0,8.195070542142843e-07,4.0975352710714216e-07,2.0487676355357108e-07,1.8438908719821396e-06,1.2292605813214264e-06,2.0487676355357108e-07,1.4341373448749974e-06,4.0975352710714216e-07,0.0,1.8438908719821396e-06,1.0243838177678554e-06,0.0,1.0243838177678554e-06,3.2780282168571373e-06,5.941426143053561e-06,1.2292605813214264e-06,2.0487676355357108e-07,3.073151453303566e-06,4.0975352710714216e-07,6.146302906607132e-07,1.1063345231892838e-05,5.73654937949999e-06,6.146302906607132e-07,0.0,1.6390141084285686e-06
469599,2.830733843485491e-06,2.830733843485491e-06,4.043905490693558e-06,8.087810981387116e-07,3.2351243925548465e-06,2.021952745346779e-06,4.043905490693558e-07,1.2131716472080673e-06,8.087810981387116e-06,1.6175621962774233e-06,6.470248785109693e-06,3.6395149416242022e-06,2.021952745346779e-06,2.4667823493230705e-05,2.021952745346779e-05,1.3749278668358098e-05,2.021952745346779e-06,1.6175621962774233e-06,2.143269910067586e-05,2.2645870747883926e-05,1.0514154275803251e-05,4.043905490693558e-07,3.6395149416242022e-06,9.300982628595183e-06,3.6395149416242022e-06,4.043905490693558e-07,1.536684086463552e-05,8.087810981387116e-07,6.470248785109693e-06,0.00042339690487561556,1.0109763726733896e-05,2.4263432944161348e-05,2.4263432944161347e-06,8.087810981387116e-07,4.852686588832269e-06,1.819757470812101e-05,3.2351243925548465e-06,8.896592079525828e-06,1.4153669217427454e-05,1.6175621962774233e-06,8.087810981387116e-07,2.4263432944161347e-06,1.2131716472080673e-06,2.4263432944161347e-06,8.087810981387116e-07,1.6175621962774233e-06,2.3454651846022637e-05,7.2790298832484045e-06,1.2131716472080674e-05,1.6175621962774233e-06,3.2351243925548465e-06,2.830733843485491e-06,2.3454651846022637e-05,2.0623918002537145e-05,1.6175621962774233e-06,1.3344888119288741e-05,7.68342043231776e-06,3.4373196670895245e-05,1.6175621962774233e-06,4.043905490693558e-07,1.2940497570219386e-05,2.830733843485491e-06,3.2351243925548465e-06,6.470248785109693e-06,4.043905490693558e-07,4.852686588832269e-06,1.2131716472080673e-06,6.874639334179049e-06
502347,6.384971649661714e-07,1.4898267182543998e-06,4.4694801547631995e-06,4.043815378119085e-06,0.00014664151555389735,0.0,1.4898267182543998e-06,1.7452255842408685e-05,6.938335859299062e-05,3.320185257824091e-05,0.002113212783649705,3.618150601474971e-06,8.087630756238171e-05,7.661965979594056e-06,3.341468496656297e-05,5.320809708051428e-06,7.023468814627885e-06,6.384971649661714e-07,7.342717397110971e-05,2.5539886598646856e-06,9.57745747449257e-06,6.384971649661714e-07,1.106728419274697e-05,2.5539886598646856e-06,0.00010386220550116387,1.1918613746035199e-05,4.4694801547631995e-06,0.00549490660169887,5.959306873017599e-06,0.0008187661978749537,4.4694801547631995e-06,2.6178383763613026e-05,9.343341847338307e-05,0.0013944778082861182,4.682312543085257e-06,2.7668210481867424e-06,1.4685434794221942e-05,4.682312543085257e-06,1.0641619416102856e-06,2.7668210481867426e-05,4.256647766441142e-07,7.449133591271999e-06,2.128323883220571e-07,1.2769943299323428e-06,2.128323883220571e-07,1.702659106576457e-05,1.4898267182543998e-06,6.065723067178628e-05,1.915491494898514e-06,2.298589793878217e-05,2.5539886598646855e-05,2.128323883220571e-07,1.9580579725629256e-05,4.575896348924228e-05,4.256647766441142e-07,2.000624450227337e-05,0.00025476036882150234,0.0001404693762925577,9.790289862814628e-06,0.0010441556971080123,1.3408440464289599e-05,6.1721392613396566e-06,1.915491494898514e-06,0.004003590056726216,0.0001240812823917593,1.0641619416102856e-06,9.790289862814628e-06,0.00034031898892696933
525367,3.8610620005474987e-07,3.4749558004927487e-06,5.019380600711748e-06,2.316637200328499e-06,5.405486800766498e-06,1.1583186001642496e-06,4.633274400656998e-06,1.5444248002189995e-06,6.177699200875998e-06,5.791593000821248e-06,3.088849600437999e-06,3.8610620005474987e-07,5.791593000821248e-06,8.108230201149747e-06,1.1969292201697246e-05,7.336017801040247e-06,4.2471682006022485e-06,2.316637200328499e-06,8.108230201149747e-06,5.405486800766498e-06,5.019380600711748e-06,0.0,5.019380600711748e-06,5.019380600711748e-06,2.702743400383249e-06,1.5444248002189995e-06,1.1583186001642496e-05,1.9305310002737494e-06,1.9305310002737494e-06,1.3899823201970995e-05,5.019380600711748e-06,2.162194720306599e-05,1.1583186001642496e-06,1.1583186001642496e-06,5.791593000821248e-06,5.405486800766498e-06,3.088849600437999e-06,5.019380600711748e-06,1.9305310002737494e-06,1.1969292201697246e-05,1.1583186001642496e-06,4.2471682006022485e-06,2.702743400383249e-06,2.702743400383249e-06,1.9305310002737494e-06,1.1583186001642496e-06,3.861062000547499e-06,3.861062000547499e-06,3.861062000547499e-06,1.5444248002189995e-06,7.722124001094997e-07,1.1583186001642496e-06,2.895796500410624e-05,9.266548801313996e-06,1.5444248002189995e-06,1.1583186001642496e-06,9.266548801313996e-06,4.942159360700798e-05,3.4749558004927487e-06,7.722124001094997e-07,1.0424867401478246e-05,1.1583186001642496e-06,1.5444248002189995e-06,9.266548801313996e-06,3.4749558004927487e-06,5.019380600711748e-06,1.1583186001642496e-06,7.722124001094998e-06
568703,1.6638652721700896e-06,2.6621844354721434e-06,0.00010282687382011153,1.1647056905190628e-05,4.991595816510269e-06,0.00030781507535146657,3.3277305443401793e-07,6.655461088680359e-07,1.9966383266041077e-06,0.01710353667874522,2.9949574899061613e-06,6.655461088680359e-07,2.9949574899061613e-06,5.657141925378304e-06,4.658822762076251e-06,0.0006984906412570036,0.0,1.6638652721700896e-06,5.989914979812323e-06,2.3294113810381256e-06,2.0631929374909113e-05,3.3277305443401793e-07,2.3294113810381256e-06,2.6621844354721434e-06,6.655461088680359e-07,0.0,8.319326360850448e-06,3.89344473687801e-05,3.3277305443401793e-07,0.0071705937769442184,6.988234143114377e-06,3.52739437700059e-05,6.655461088680359e-07,1.9966383266041077e-06,0.0018079560047400195,1.9966383266041077e-06,6.655461088680359e-07,5.657141925378304e-06,9.983191633020538e-07,1.9966383266041077e-06,1.6638652721700896e-06,1.6638652721700896e-06,9.983191633020538e-07,1.3310922177360717e-06,6.722015699567163e-05,1.3310922177360717e-06,4.658822762076251e-06,2.6621844354721434e-06,2.3294113810381256e-06,9.983191633020538e-07,4.326049707642233e-06,1.3310922177360717e-06,1.5307560503964823e-05,1.0648737741888574e-05,0.0,9.983191633020538e-07,2.22957946470792e-05,2.59562982458534e-05,6.655461088680359e-07,4.5257135403026435e-05,4.3926043185290365e-05,2.3294113810381256e-06,9.983191633020538e-07,1.9966383266041077e-06,0.00022395626563409408,8.851763247944877e-05,3.993276653208215e-06,0.00011048065407209396
565040,0.0011980915224023604,0.005621398927529578,0.002636963738842617,0.0006617317694765636,0.0006376537000727739,0.0006472019000087594,0.000141562442529177,0.0037109286620771653,4.981669531818546e-05,0.07954522338844028,0.003142188057194548,6.2270869147731825e-06,0.0014156244252917702,3.362626933977519e-05,3.9023077999245276e-05,0.004421231709488959,0.00027772807639888394,0.005392657268193576,0.0018274424399221034,0.0016364784412023924,0.0005081302922454917,7.472504297727819e-05,0.002086489255576668,0.0003595104845462384,0.008645272333343435,4.483502578636691e-05,2.1172095510228822e-05,0.033038017195892944,0.002182801533191826,0.005846404334716716,0.002215182385148647,4.981669531818546e-05,2.0756956382577275e-06,4.566530404167e-06,0.0075646651840664625,0.0005948943699246647,0.00010253936452993174,0.0010121091932144678,0.0020885649512149256,0.0005023183444583701,0.0016862951365205778,0.00034207464118487347,0.00031633601527047766,0.0017493962839236128,0.00045416220565079076,0.0005670800483720111,0.01261649322845812,0.0027681477031805055,0.00540179032900191,0.00030969378922805296,0.0005533804571595101,1.2454173829546365e-06,0.00035701964978032913,0.0004035152320773022,0.00044004747531063823,0.003082823161940377,0.002052447847109241,6.102545176477719e-05,0.00015733772937993575,0.0019137913784736248,0.0013907160776326774,0.0032704660476388756,0.0006862249780080047,0.00011084214708296265,0.0033908563946578236,1.5360147723107183e-05,8.717921680682455e-06,0.007717436383042231
546262,5.873642988231889e-06,1.2281253520848496e-05,4.271740355077737e-06,3.363995529623718e-05,2.6164409674851143e-05,1.6019026331541517e-06,3.524185792939134e-05,1.0679350887694343e-05,7.475545621386041e-06,1.0145383343309628e-05,1.334918860961793e-05,1.6019026331541517e-06,1.4951091242772082e-05,2.082473423100397e-05,4.8057078994624546e-05,3.7377728106930206e-06,4.1115500917623226e-05,7.475545621386041e-06,9.077448254540192e-05,1.6552993875926234e-05,0.00010892937905448231,3.2038052663083034e-06,0.00010786144396571287,3.257202020746775e-05,2.9902182485544165e-05,1.4951091242772082e-05,8.490083955717003e-05,2.4562507041696992e-05,2.1358701775388687e-06,3.7911695651314924e-05,3.524185792939134e-05,2.723234476362058e-05,8.543480710155475e-06,9.077448254540192e-06,2.723234476362058e-05,1.9756799142234536e-05,1.8688864053465104e-05,3.8979630740084356e-05,1.0145383343309628e-05,5.2862786894087e-05,1.1213318432079061e-05,1.762092896469567e-05,8.543480710155475e-06,1.1213318432079061e-05,1.0679350887694343e-06,6.407610532616607e-06,2.3494571952927557e-05,9.077448254540192e-06,5.873642988231889e-06,5.7134527249164744e-05,3.7377728106930206e-06,3.2038052663083034e-06,1.334918860961793e-05,6.407610532616607e-06,5.339675443847172e-07,4.805707899462455e-06,8.703670973470891e-05,9.664812553363381e-05,6.567800795932022e-05,5.339675443847172e-06,6.140626760424248e-05,1.0679350887694343e-05,1.0145383343309628e-05,9.61141579892491e-06,2.1892669319773406e-05,6.941578077001324e-06,1.0679350887694343e-06,1.8154896509080385e-05
1121126,4.349347499026339e-06,3.1631618174737014e-06,4.744742726210552e-06,1.186185681552638e-06,7.907904543684254e-06,1.5815809087368507e-06,1.5815809087368507e-06,3.953952271842127e-07,7.907904543684254e-06,4.349347499026339e-06,4.349347499026339e-06,1.186185681552638e-06,7.907904543684254e-06,2.649148022134225e-05,1.9769761359210632e-05,7.512509316500041e-06,2.372371363105276e-06,1.9769761359210634e-06,1.7001994768921145e-05,6.326323634947403e-06,5.140137953394765e-06,1.5815809087368507e-06,2.7677665902894885e-06,6.326323634947403e-06,4.349347499026339e-06,0.0,1.2257252042710592e-05,2.7677665902894885e-06,6.721718862131615e-06,7.512509316500041e-06,1.5025018633000082e-05,3.2422408629105436e-05,1.186185681552638e-06,3.953952271842127e-07,1.344343772426323e-05,1.4629623405815868e-05,7.907904543684254e-07,1.3048042497079018e-05,3.953952271842127e-06,2.372371363105276e-06,3.1631618174737014e-06,3.558557044657914e-06,3.953952271842127e-06,3.953952271842127e-06,7.907904543684254e-07,2.7677665902894885e-06,1.5025018633000082e-05,6.326323634947403e-06,9.094090225236892e-06,3.558557044657914e-06,2.7677665902894885e-06,1.9769761359210634e-06,1.8583575677657994e-05,1.1071066361157954e-05,3.953952271842127e-07,5.93092840776319e-06,1.8188180450473783e-05,6.444942203102667e-05,3.953952271842127e-07,7.907904543684254e-07,1.344343772426323e-05,8.303299770868466e-06,1.186185681552638e-06,1.344343772426323e-05,5.140137953394765e-06,7.117114089315828e-06,1.5815809087368507e-06,1.5420413860184294e-05
