taxon,donor,donor_abd
AZC5T_63,C,0
AZC5T_65,C,0
AZC5T_71,C,0
AZC5T_79,C,0
AZC5T_82,C,0
AZC5T_90,C,0
AZC5T_99,C,0
AZC7E_117,C,0
AZC7E_22,C,0
AZC7E_52,C,0
AZC9C_58,C,0
AZC3J_13,E,0
AZC3J_18,E,0
AZC3J_28,E,0
AZC3J_3,E,0
AZC3J_34,E,0.00225146048861901
AZC3J_46,E,0
AZC3J_51,E,0.0119056774003783
AZC3J_55,E,0.0016509049669171
AZC3J_64,E,0
AZC3J_73,E,0
AZC3J_74,E,0.010953226565645
AZC3J_76,E,0.00116037883624069
AZC3J_79,E,0.00301424114659371
AZC3J_80,E,0
AZC3J_81,E,0.00141496845192319
AZC3J_87,E,0
AZC3J_91,E,0.00116414173467655
AZC3J_99,E,0
AZC5T_104,E,0.0043529627473956
AZC5T_107,E,0.00237501810705513
AZC5T_109,E,0.0093738233765665
AZC5T_119,E,0
AZC5T_120,E,0.0118916388478232
AZC5T_122,E,0
AZC5T_14,E,0
AZC5T_19,E,0
AZC5T_22,E,0
AZC5T_26,E,0
AZC5T_30,E,0
AZC5T_37,E,0
AZC5T_38,E,0
AZC5T_44,E,0
AZC5T_57,E,0
AZC5T_64,E,0
AZC5T_66,E,0.00254392699887883
AZC5T_68,E,0.00142798160085121
AZC5T_69,E,0.00119969445308144
AZC5T_78,E,0.00127260450000483
AZC5T_8,E,0.0031812901212078
AZC5T_80,E,0
AZC5T_85,E,0.00399030654865622
AZC5T_87,E,0
AZC5T_93,E,0.00389577987183754
AZC5T_94,E,0.0012598585173038
AZC5T_97,E,0.00177276551181986
AZC5T_98,E,0
AZC7E_109,E,0.00433379073668271
AZC7E_114,E,0
AZC7E_12,E,0.0169330440784221
AZC7E_15,E,0.0686894950410282
AZC7E_16,E,0
AZC7E_25,E,0.0144854775999608
AZC7E_29,E,0
AZC7E_39,E,0.00434792304630614
AZC7E_45,E,0
AZC7E_51,E,0
AZC7E_54,E,0.0293573220760276
AZC7E_57,E,0
AZC7E_59,E,0
AZC7E_60,E,0.00383433270182521
AZC7E_61,E,0.00286548000095336
AZC7E_64,E,0
AZC7E_69,E,0
AZC7E_70,E,0.0226656383407715
AZC7E_73,E,0.0185317817917658
AZC7E_77,E,0.00154554702737987
AZC7E_78,E,0
AZC7E_82,E,0
AZC7E_89,E,0.0127702114834667
AZC7E_96,E,0.00416965062649104
AZC9C_103,E,0
AZC9C_106,E,0.011913151930973
AZC9C_112,E,0
AZC9C_113,E,0.00147359769236912
AZC9C_116,E,0.00174650035013979
AZC9C_18,E,0
AZC9C_29,E,0.0022066304912658
AZC9C_32,E,0
AZC9C_40,E,0.00167335873709661
AZC9C_53,E,0
AZC9C_54,E,0
AZC9C_6,E,0.00775392585317523
AZC9C_61,E,0
AZC9C_68,E,0.0140042238757385
AZC9C_7,E,0.0203460630367886
AZC9C_71,E,0.00399660544400241
AZC9C_75,E,0
AZC9C_86,E,0
AZC9C_93,E,0.00164883691088174
AZC9C_94,E,0.00144552378007943
AZC9C_95,E,0
AZC9C_96,E,0
AZC9C_98,E,0.00106040182281574
AZC3J_21,E,0.00117874846924511
AZC3J_32,E,0.00286262050487267
AZC3J_43,E,0.00145931054104722
AZC3J_58,E,0.00186919258110647
AZC3J_88,E,0.00211738305364643
AZC3J_90,E,0.00318536132341803
AZC5T_106,E,0.00290841240647702
AZC5T_108,E,0.00146310537756737
AZC5T_21,E,0.00102169633595568
AZC5T_32,E,0.00138532878338633
AZC5T_34,E,0.0010953568164117
AZC5T_39,E,0.00149939647296959
AZC5T_41,E,0.00126784662270023
AZC5T_51,E,0.00164185817178237
AZC5T_52,E,0.00128172786472139
AZC5T_84,E,0.011901532407727
AZC5T_9,E,0.0015609716875237
AZC7E_101,E,0.00359369194381709
AZC7E_104,E,0.0075459100269767
AZC7E_105,E,0.00553848987271913
AZC7E_106,E,0.00447199732428522
AZC7E_111,E,0.00496370667699096
AZC7E_113,E,0.0617611763275696
AZC7E_115,E,0.00169855187310149
AZC7E_116,E,0.00150194927683417
AZC7E_13,E,0.00183016221089563
AZC7E_17,E,0.00276926673910755
AZC7E_2,E,0.0171484838649244
AZC7E_23,E,0.00702896859185992
AZC7E_24,E,0.00307237114648414
