taxon,distance,sample_id,abundance,growth_rate,degree centrality,shannon_diversity
AZC3J_1,0.6541028155314939,J,0.0046830639244406,0.03044663154566,4.242857142857143,2.480921186013224
AZC3J_6,2.222291546875461,J,0.013828775346385,0.0900373442014348,4.885714285714285,2.4843338313696846
AZC3J_9,0.3120388765957217,J,0.0018762068357346,0.0121867513633788,1.9,2.16423876523749
AZC3J_18,10.127774690367108,J,0.2445726729506633,1.5883904846347,23.0,2.056443112980364
AZC3J_20,0.572174770528276,J,0.0048370001120218,0.0314353519742451,3.0142857142857142,2.5264722265047164
AZC3J_21,0.46024808237279063,J,0.0045589023260151,0.0296475986936991,3.1285714285714286,2.511578985606295
AZC3J_25,2.935799558279791,J,0.0064534652806392,0.0423693760435135,5.157142857142857,1.3384203194227866
AZC3J_26,0.21639341347313473,J,0.0019770382862332,0.0128431161235517,3.4428571428571426,2.376254251530044
AZC3J_28,1.3744242412310552,J,0.008678070128343,0.056390951875832,2.4428571428571426,2.0240019551955237
AZC3J_32,0.325239768817002,J,0.0028876005526529,0.0187931841061012,4.0,2.243953019318285
AZC3J_34,5.059116567197048,J,0.0290542993403444,0.1887540592446776,5.128571428571428,2.18150168455049
AZC3J_45,0.475369420737524,J,0.0036211617640686,0.0235813349708684,2.9285714285714284,2.540699639821417
AZC3J_49,2.691767295931917,J,0.0080067332539199,0.0520056129545356,7.014285714285714,1.8386755819358314
AZC3J_55,5.963584398722952,J,0.0229322947036231,0.1489335493864451,5.042857142857143,2.1914057570144694
AZC3J_56,0.6066852689407657,J,0.0051937539995952,0.0338100364053114,2.0285714285714285,2.2693018443172703
AZC3J_57,0.33520926996964484,J,0.003820451260157,0.0248232923850551,3.5428571428571427,2.319434008823226
AZC3J_59,0.8734055680941968,J,0.0055729169087347,0.0362417808268849,3.0142857142857142,2.4752325041818786
AZC3J_61,0.2196222319879768,J,0.0023841899826055,0.0154914151992259,3.1285714285714286,2.4589546496374792
AZC3J_64,1.9228130939878891,J,0.009275371208338,0.0602470350628385,2.957142857142857,1.9211889374187985
AZC3J_71,0.25906954216532385,J,0.0023099379590766,0.0150072530809931,2.414285714285714,2.1486379849669115
AZC3J_73,0.23123536761435695,J,0.0017777182364701,0.0115563605578296,1.8142857142857143,2.4798520473410615
AZC3J_74,9.79448298712742,J,0.0996181146741947,0.64697209753372,13.385714285714286,2.1606130062009745
AZC3J_77,0.23410940777956077,J,0.0021497607359105,0.0139764459667118,3.7857142857142856,2.20796899000384
AZC3J_79,5.226263740675552,J,0.0172732783451568,0.1121808794955837,3.8,2.4227806890210433
AZC3J_81,0.21547668127256142,J,0.0020966001983794,0.013632199366913,1.8,2.4354314142158504
AZC3J_82,3.5871327952762853,J,0.0272427500115794,0.1769280158372953,3.642857142857143,1.7739159673132152
AZC3J_87,9.130935858853224,J,0.0597122248268124,0.3878295531101702,9.485714285714286,2.3610507791649615
AZC3J_88,0.8648299254830809,J,0.0055586882284076,0.0362039442055538,2.8857142857142857,2.4980208573801743
AZC3J_91,0.22916355133903155,J,0.0023651305459774,0.0153694672301454,2.0142857142857142,2.4259520890981205
AZC3J_95,0.26015505048555404,J,0.0025490778295388,0.0165794623808602,2.2714285714285714,2.4017956321734326
AZC3J_99,1.0868869615181367,J,0.005908526079651,0.0385039104114148,3.1857142857142855,2.435372026928145
AZC5T_1,2.5061479983163335,T,0.0136016520710189,0.1111084990638898,2.449275362318841,2.4326045323007546
AZC5T_4,1.1467651703450354,T,0.0063407365721941,0.0517384498899834,3.1594202898550723,2.1878304204931207
AZC5T_12,3.124674206937811,T,0.0176342829241223,0.1439332834809824,3.101449275362319,2.155189837473926
AZC5T_24,0.24389933560910668,T,0.0023010955651904,0.01877956004472,3.1739130434782608,2.4649358463015956
AZC5T_30,1.971854803305548,T,0.0125497934882017,0.1024110465857075,3.63768115942029,2.1687877895185754
AZC5T_34,1.9399574517277085,T,0.0136013285428993,0.1110522958754306,4.0,2.319757893185688
AZC5T_47,1.8890196921585605,T,0.0115962701862511,0.0946528939033855,4.0144927536231885,2.084439792119735
AZC5T_49,2.508450103683,T,0.0175095402442795,0.1428882123949144,3.6666666666666665,2.290186216388718
AZC5T_51,0.33442024622544625,T,0.003831279979654,0.0312578408788286,4.159420289855072,2.4193773868481925
AZC5T_53,2.4095857542899046,T,0.0165502145532305,0.1350982863365882,3.5942028985507246,2.28484279757949
AZC5T_58,4.507076728168035,T,0.024610666552275,0.2007885269581545,10.521739130434783,2.498305892450742
AZC5T_61,0.6403565571942686,T,0.0042617538351883,0.0347942853846956,2.9855072463768115,2.49335929000377
AZC5T_63,0.5317374542450058,T,0.0043214760770485,0.0352935467333528,1.9565217391304348,2.2743893294256434
AZC5T_64,2.6417116114543773,T,0.0149821749627123,0.122231977869779,4.608695652173913,2.182243697770706
AZC5T_65,1.611470245604547,T,0.0079294290789891,0.0647009693556304,3.971014492753623,2.4837758193635064
AZC5T_66,1.1228532698164688,T,0.0067317858272343,0.0549279415876139,3.347826086956522,2.313184092955755
AZC5T_71,0.21724602640831053,T,0.0020303063715534,0.0165728802102221,2.1449275362318843,2.5265304949136658
AZC5T_79,0.39616112711390244,T,0.0034283973433663,0.027989530298427,2.63768115942029,2.032591952053316
AZC5T_80,6.874905250803742,T,0.069458870174259,0.5666196949150857,7.173913043478261,1.9980772503980122
AZC5T_85,0.7248973128268926,T,0.0050362235307904,0.041100187845886,2.782608695652174,2.3359963115073583
AZC5T_90,0.19937035821816823,T,0.0021301667181743,0.0173909058220145,1.3623188405797102,2.291216587149557
AZC5T_93,10.32946796261756,T,0.2162228275436018,1.7638748593491091,24.492753623188406,2.121980674371653
AZC5T_99,0.7174008088846306,T,0.0053792110014293,0.043900328019955,2.782608695652174,2.240609687533447
AZC5T_104,0.4480600079797855,T,0.003058440654401,0.0249562055854147,3.347826086956522,1.930647999721579
AZC5T_111,0.5052745860432721,T,0.0033823453260096,0.0275951468542021,3.3333333333333335,2.164834137303991
