dataset,n_rows,n_recipients,n_taxa,sd_log2FC,iqr_log2FC,med_abs_log2FC,mean_avg_distance,mean_div_ratio,mean_met_indep,mean_log10_pre
IBS,2369,19,174,2.577084417419183,2.70387234401749,1.35422009222719,5.1388176055458,1.0003412490129802,27.53688054031237,3.9372117164759928
Li day42,2218,10,346,1.9319576595375734,1.8608266156639095,0.9453727667309153,5.404659189133114,1.0587616439292191,27.11687105500451,3.8940857630351218
