taxon,met_independence
718252,28.53
720554,29.55
742725,28.01
742726,24.86
742727,30.68
742729,24.15
742733,31.17
742740,28.76
742741,28.31
742742,29.51
742743,25.2
742766,30.52
742816,30.81
742817,27.32
742818,22.83
742820,20.18
742821,24.75
743710,30.02
743719,30.99
748224,29.49
749219,24.57
749518,20.24
752555,29.44
754252,28.8
758678,23.81
759350,26.44
762376,28.68
762948,21.85
762966,25.41
762967,19.55
762968,29.47
762982,29.47
762983,28.25
762984,30.29
763034,29.98
767029,27.07
767031,19.45
768486,19.75
862514,14.95
862962,30.19
862965,25.23
863767,27.93
864566,25.33
866499,25.6
866771,18.53
866776,27.84
868129,19.76
871541,22.79
871585,27.31
873513,28.44
873533,25.05
878320,29.54
879088,28.27
879089,28.13
879090,28.17
879243,18.88
883062,25.15
883077,22.77
883156,27.18
883166,26.45
886872,20.58
887898,29.89
887929,29.17
888048,23.96
888050,25.55
888066,27.37
888727,19.65
888746,19.85
888826,22.28
888832,23.53
888833,23.16
889201,22.04
889204,21.06
890402,25.09
903510,30.72
903814,28.07
904306,25.52
904314,23.45
908290,30.77
908338,15.72
909954,11.7
910954,28.66
911104,22.31
927666,23.14
930942,19.82
931276,32.27
931277,17.13
935839,28.86
936154,21.39
937593,28.82
944562,17.22
945711,28.61
981539,27.9
983952,28.14
996285,29.3
997348,28.27
997350,19.99
997352,18.57
997353,18.57
997872,15.49
997884,29.11
998088,29.94
999410,31.57
999412,30.37
999413,27.68
999415,21.41
1000565,28.14
1002364,32.52
1002367,19.59
1002368,32.19
1005994,31.07
1005995,26.62
1005996,31.11
1005999,31.0
1006000,32.11
1006003,32.19
1006551,32.19
1009846,29.92
1028307,31.07
1028803,26.28
1031746,25.72
1033734,29.61
1033739,28.32
1033992,30.64
1035184,18.68
1035191,27.43
1035195,28.0
1035839,26.73
1037409,30.79
1042156,29.17
1042403,24.15
1045856,30.5
1046625,25.3
1050720,30.76
1051501,30.22
1051502,28.09
1054460,24.18
1064535,28.96
1064537,28.09
1074451,12.16
1076934,26.53
1077285,29.25
1077975,29.47
1089454,29.47
1089456,30.66
1089547,29.65
1095730,18.88
1095770,13.94
1110694,30.5
1112856,5.09
1115512,31.36
1115803,26.55
1118059,13.21
1120942,23.92
1120988,28.57
1121019,29.15
1121090,27.58
1121097,30.88
1121100,30.12
1121101,28.91
1121102,24.17
1121111,25.13
1121114,30.63
1121115,29.66
1121124,28.63
1121126,26.5
1121129,22.65
1121130,22.85
1121303,30.34
1121315,27.76
1121333,27.95
