day,n,rho_native,sd_native,rho_transfer,sd_transfer,rho_nochange
2,2218,0.7872585650796385,0.0543281138052221,0.7542911484778041,0.09587911089466346,0.7829794054837191
14,2218,0.8333725834136554,0.05021929503206586,0.8232506135135679,0.06569017574751539,0.8666227256262822
42,2218,0.7622063747344339,0.0874132927444572,0.7605279208847524,0.08848871715985027,0.8080002515406811
84,2218,0.7813245267422251,0.07648470071111622,0.7730763452296678,0.08829989850092947,0.7756145597610857
