taxon_id,sample,normalized_count
329,ERR12542609,59.81550981819957
561,ERR12542609,308.6480306619098
818,ERR12542609,5458.7634260088935
904,ERR12542609,2403.3871844952587
1246,ERR12542609,10.766791767275922
1350,ERR12542609,8.37417137454794
1547,ERR12542609,113.64946865457918
28112,ERR12542609,291.89968791281393
66692,ERR12542609,45.459787461831674
85962,ERR12542609,2.392620392727983
176280,ERR12542609,11.963101963639913
190304,ERR12542609,10.766791767275922
192222,ERR12542609,1.1963101963639915
195103,ERR12542609,183.03546004369068
203267,ERR12542609,5.981550981819956
205913,ERR12542609,30412.597811965392
205921,ERR12542609,16.74834274909588
205922,ERR12542609,46.65609765819567
206672,ERR12542609,28173.105124372
207244,ERR12542609,683.0931221238392
213810,ERR12542609,8977.111713515393
218495,ERR12542609,15.55203255273189
220668,ERR12542609,10.766791767275922
223926,ERR12542609,10.766791767275922
224308,ERR12542609,13.159412160003907
226185,ERR12542609,84.9380239418434
226186,ERR12542609,21942.72162170833
234621,ERR12542609,40.674546676375705
242619,ERR12542609,160.30556631277486
244366,ERR12542609,14.355722356367899
246198,ERR12542609,1246.555224611279
246201,ERR12542609,8.37417137454794
257314,ERR12542609,5.981550981819956
262727,ERR12542609,13.159412160003907
264199,ERR12542609,306.2554102691818
264731,ERR12542609,3843.7446609175045
265669,ERR12542609,5.981550981819956
266835,ERR12542609,52.63764864001563
267747,ERR12542609,31.10406510546378
272558,ERR12542609,46.65609765819567
272559,ERR12542609,2716.8204559426244
272562,ERR12542609,135.18305218913102
272620,ERR12542609,19.140963141823864
272621,ERR12542609,13.159412160003907
272623,ERR12542609,136.37936238549503
273057,ERR12542609,2.392620392727983
273526,ERR12542609,37.08561608728374
278197,ERR12542609,40.674546676375705
279010,ERR12542609,10.766791767275922
279808,ERR12542609,14.355722356367899
283165,ERR12542609,2.392620392727983
290338,ERR12542609,14.355722356367899
290339,ERR12542609,33.49668549819176
290402,ERR12542609,212.94321495279047
295405,ERR12542609,4026.7801209611953
299033,ERR12542609,16.74834274909588
300267,ERR12542609,369.65985067647335
300269,ERR12542609,1055.1455931930404
306263,ERR12542609,2.392620392727983
314315,ERR12542609,37.08561608728374
321955,ERR12542609,29.907754909099786
321956,ERR12542609,64.60075060365554
321967,ERR12542609,9.570481570911932
324831,ERR12542609,26.318824320007813
326426,ERR12542609,1802.839465920535
333381,ERR12542609,25.12251412364382
334390,ERR12542609,14.355722356367899
334413,ERR12542609,90.91957492366335
339860,ERR12542609,1.1963101963639915
342451,ERR12542609,21.533583534551845
347253,ERR12542609,261.9919330037141
347256,ERR12542609,34.692995694555755
349741,ERR12542609,45.459787461831674
349966,ERR12542609,4.785240785455966
349968,ERR12542609,4.785240785455966
351627,ERR12542609,106.47160747639523
352165,ERR12542609,550.302690327436
354242,ERR12542609,94.50850551275532
358681,ERR12542609,65.79706080001952
360104,ERR12542609,2.392620392727983
360105,ERR12542609,1.1963101963639915
360106,ERR12542609,2.392620392727983
360107,ERR12542609,3.5889305890919747
362948,ERR12542609,72.97492197820348
364106,ERR12542609,309.84434085827377
367737,ERR12542609,7.177861178183949
367928,ERR12542609,583221.558000784
370551,ERR12542609,20.337273338187853
378753,ERR12542609,59.81550981819957
