dataset,features,rho_fc,sd_fc,rho_abundance
IBS,full (4 features),0.5348454847123407,0.19875795780664096,0.7670114042933812
IBS,log10_pre_abund only,0.2549235169459439,0.12487194769150001,0.5904288492465628
IBS,metabolic only (no pre-abund),0.22694014666320717,0.13811320293401724,0.7120000000000001
Li day42,full (4 features),0.042197580581490556,0.10712203449154657,0.7622063747344339
Li day42,log10_pre_abund only,0.09386296615058878,0.07515216578607373,0.7462477644347951
Li day42,metabolic only (no pre-abund),0.06189510927165628,0.1225468758449612,0.7697479099292883
