taxon,donor_subject,donor_abundance
329,FAT_DON_11,10.586062343562885
561,FAT_DON_11,261.88419832774497
818,FAT_DON_11,31828.581370340282
904,FAT_DON_11,531.3385560830724
1246,FAT_DON_11,37.10893596785238
1350,FAT_DON_11,12.907499114635153
1547,FAT_DON_11,614.8686787921533
28112,FAT_DON_11,54.212433982800604
66692,FAT_DON_11,13.956472987500414
85962,FAT_DON_11,0.8372711297077716
176280,FAT_DON_11,6.878997755288556
190304,FAT_DON_11,18.283235427709887
192222,FAT_DON_11,1.3805034098401219
195103,FAT_DON_11,93.70069162972042
203267,FAT_DON_11,1.3805034098401219
205913,FAT_DON_11,2484.957418232842
205921,FAT_DON_11,56.530807008515495
205922,FAT_DON_11,5.849119683272623
206672,FAT_DON_11,2067.5904068101377
207244,FAT_DON_11,991.1781272767963
213810,FAT_DON_11,17090.864816563542
218495,FAT_DON_11,19.875412482758474
220668,FAT_DON_11,20.370121978062805
223926,FAT_DON_11,3.0998910882741577
224308,FAT_DON_11,9.009274625605075
226185,FAT_DON_11,254.47443444836097
226186,FAT_DON_11,31055.54262608152
234621,FAT_DON_11,4.165029523432417
242619,FAT_DON_11,61.18699311074129
244366,FAT_DON_11,91.97898331495907
246198,FAT_DON_11,15.41344196914333
246201,FAT_DON_11,407.4128339795628
257314,FAT_DON_11,8.218333111919714
262727,FAT_DON_11,91.13445582320492
264199,FAT_DON_11,82988.82486059259
264731,FAT_DON_11,51.74320659048965
265669,FAT_DON_11,4.312791046722086
266835,FAT_DON_11,17.486386223957883
267747,FAT_DON_11,37.643321261859285
272558,FAT_DON_11,16.841722036558274
272559,FAT_DON_11,5153.241891717636
272562,FAT_DON_11,81.23880276056094
272620,FAT_DON_11,85.14909779244323
272621,FAT_DON_11,541.989745235143
272623,FAT_DON_11,80.40656874436804
273057,FAT_DON_11,0.8372711297077716
273526,FAT_DON_11,12.106972545073623
278197,FAT_DON_11,21.91899600699486
279010,FAT_DON_11,7.766984838629959
279808,FAT_DON_11,81.12854803967566
283165,FAT_DON_11,9.945075521972804
290338,FAT_DON_11,5.932939986694472
290339,FAT_DON_11,10.251601568031695
290402,FAT_DON_11,129.46154060616576
295405,FAT_DON_11,8720.847778857322
299033,FAT_DON_11,5.6212523778221355
300267,FAT_DON_11,170.5672518701547
300269,FAT_DON_11,187.72001387174257
306263,FAT_DON_11,2.7374875257681914
314315,FAT_DON_11,265.5678333656392
321955,FAT_DON_11,5.348539653353156
321956,FAT_DON_11,82.86219439048818
321967,FAT_DON_11,1051.1799730558319
324831,FAT_DON_11,55.41340709476074
326426,FAT_DON_11,63.61409950488602
333381,FAT_DON_11,14.65040608698124
334390,FAT_DON_11,8.900487986718764
334413,FAT_DON_11,66.90670094432038
339860,FAT_DON_11,2.0192970626245947
342451,FAT_DON_11,10.966114665365765
347253,FAT_DON_11,24999.847962886084
347256,FAT_DON_11,7.2855006095598185
349741,FAT_DON_11,31547.830856312215
349966,FAT_DON_11,1.8009776575987708
349968,FAT_DON_11,0.8372711297077716
351627,FAT_DON_11,29.628656287625336
352165,FAT_DON_11,100.50998103937805
354242,FAT_DON_11,404.0819684209075
358681,FAT_DON_11,30.902566227384757
360104,FAT_DON_11,69.26192193903353
360105,FAT_DON_11,1.059267900543122
360106,FAT_DON_11,1.5032614422138229
360107,FAT_DON_11,28.754640597771324
362948,FAT_DON_11,23.73614628438911
364106,FAT_DON_11,291.6113924395327
367737,FAT_DON_11,11.915849799769378
367928,FAT_DON_11,86.50858026445366
370551,FAT_DON_11,28.373074981015503
378753,FAT_DON_11,16.50722410557558
380703,FAT_DON_11,9.95904691546019
386585,FAT_DON_11,283.299683066264
387344,FAT_DON_11,7.27666168093685
388919,FAT_DON_11,213.4843345276732
390333,FAT_DON_11,100.74617828669386
391904,FAT_DON_11,646.4086510515107
393126,FAT_DON_11,3.9878781716155594
393127,FAT_DON_11,4.2407489679820145
393130,FAT_DON_11,4.217229674069963
393305,FAT_DON_11,3.082242328977243
398511,FAT_DON_11,11.96288838759348
398513,FAT_DON_11,42.125199956977475
398525,FAT_DON_11,16.77555049243334
398578,FAT_DON_11,21.275786918650144
405531,FAT_DON_11,10.787479116544992
405534,FAT_DON_11,17.90979976777534
405566,FAT_DON_11,21.828538001258135
409438,FAT_DON_11,277.9151449800178
411459,FAT_DON_11,101602.94011973082
411460,FAT_DON_11,6037.8268269871905
411461,FAT_DON_11,51566.3675839195
411462,FAT_DON_11,119980.70770093065
411463,FAT_DON_11,18442.8369130503
411464,FAT_DON_11,16980.582791488836
411465,FAT_DON_11,70.34177789493236
411466,FAT_DON_11,1524.1213405510653
411467,FAT_DON_11,14859.398759475887
411468,FAT_DON_11,3231.584578586118
411469,FAT_DON_11,129418.6931376056
411470,FAT_DON_11,15430.298479834279
411471,FAT_DON_11,27871.987037834664
411472,FAT_DON_11,1024.2889899834665
411473,FAT_DON_11,22321.57589840618
411474,FAT_DON_11,14260.192040855205
411475,FAT_DON_11,17829.542507480248
411476,FAT_DON_11,16152.685635077798
411477,FAT_DON_11,95667.60176324152
411479,FAT_DON_11,56702.298517042596
411483,FAT_DON_11,363790.8903020438
411484,FAT_DON_11,174205.77825472775
411485,FAT_DON_11,393027.3180631168
411486,FAT_DON_11,34355.536903921515
411487,FAT_DON_11,23195.374967399013
411489,FAT_DON_11,21159.962145713784
411490,FAT_DON_11,2949.8480311255494
411901,FAT_DON_11,1948.4553350298102
411902,FAT_DON_11,7561.77860594908
411903,FAT_DON_11,78558.74118886735
413999,FAT_DON_11,22.56440632164767
416269,FAT_DON_11,8.234497674212712
420247,FAT_DON_11,10.118549507980132
420889,FAT_DON_11,9.39668167902701
426355,FAT_DON_11,91.92631312639605
428125,FAT_DON_11,5957.150111264262
428126,FAT_DON_11,855.41375454433
428127,FAT_DON_11,4871.297505540306
428128,FAT_DON_11,1179.6121588105977
435590,FAT_DON_11,563916.722966483
435591,FAT_DON_11,12234.390987313918
435830,FAT_DON_11,363.4601023098284
435837,FAT_DON_11,10.539769882991978
435838,FAT_DON_11,3.499039210926366
439375,FAT_DON_11,7.167166070248842
440497,FAT_DON_11,7.757436938205295
441620,FAT_DON_11,17.798073832830223
441770,FAT_DON_11,24.43961922679212
441771,FAT_DON_11,27.161688317520515
442563,FAT_DON_11,5163.893686555394
444177,FAT_DON_11,14.747414501185775
445336,FAT_DON_11,47.76045282623602
445970,FAT_DON_11,229264.18822724267
445971,FAT_DON_11,196.97456864644195
445972,FAT_DON_11,17485.78535471571
445973,FAT_DON_11,6072.800315415098
445975,FAT_DON_11,321.95855064170024
449673,FAT_DON_11,6490.531528462775
450749,FAT_DON_11,5222.961504645643
451515,FAT_DON_11,16.079432281649378
451640,FAT_DON_11,901.6039978203448
457387,FAT_DON_11,12211.717026591074
457388,FAT_DON_11,18207.428740201027
457390,FAT_DON_11,18205.570996970022
457391,FAT_DON_11,32338.126012853652
457392,FAT_DON_11,2948.334263825396
457393,FAT_DON_11,136695.4978520379
457394,FAT_DON_11,313772.04370756634
457395,FAT_DON_11,40373.24926884402
457396,FAT_DON_11,206.44374128785023
457398,FAT_DON_11,70.76450350739468
457400,FAT_DON_11,215.7352784455674
457401,FAT_DON_11,243.0756475248626
457405,FAT_DON_11,14.969448427472628
457412,FAT_DON_11,153809.98131154486
457416,FAT_DON_11,5225.9245387266965
457421,FAT_DON_11,5129.022240006748
457424,FAT_DON_11,5543.067798841458
465515,FAT_DON_11,15.699379959846501
467705,FAT_DON_11,115.94534171363341
469378,FAT_DON_11,24.717464416125523
469585,FAT_DON_11,13639.749313862774
469588,FAT_DON_11,5529.155410142373
469589,FAT_DON_11,18111.365740220495
469590,FAT_DON_11,15940.244929533903
469591,FAT_DON_11,30495.17409202205
469592,FAT_DON_11,22275.24775491371
469593,FAT_DON_11,303602.17727782746
469595,FAT_DON_11,7.181137463736229
469596,FAT_DON_11,3915.3377029338067
469599,FAT_DON_11,61.42667579632505
469602,FAT_DON_11,7.221559389691998
469603,FAT_DON_11,10.993311325087346
469604,FAT_DON_11,11.067546572633026
469605,FAT_DON_11,5.963814012225577
469606,FAT_DON_11,7.436201428908295
469607,FAT_DON_11,9.657653334265715
469609,FAT_DON_11,160.24047329918346
469610,FAT_DON_11,17957.000732996283
469613,FAT_DON_11,4.609023065103117
469615,FAT_DON_11,12.159918822964366
469616,FAT_DON_11,19.844567555176393
469617,FAT_DON_11,9.127646320367555
469618,FAT_DON_11,16.913026045547625
469621,FAT_DON_11,41.168213499806846
470145,FAT_DON_11,5666.253192519181
470146,FAT_DON_11,103128.49854916387
471854,FAT_DON_11,9.895105695592369
471870,FAT_DON_11,29621.812047722564
471871,FAT_DON_11,57.50928119554265
471872,FAT_DON_11,350.7328536544383
471874,FAT_DON_11,3.0043297156220348
471875,FAT_DON_11,46435.08186811378
471881,FAT_DON_11,3.78720752588665
473819,FAT_DON_11,137.12281374083014
474186,FAT_DON_11,2.932287636881964
476272,FAT_DON_11,4393.313817911821
478749,FAT_DON_11,4099.600314750284
478801,FAT_DON_11,8.26760202400093
479436,FAT_DON_11,4627.338991359046
479437,FAT_DON_11,1595.632843615993
480119,FAT_DON_11,4.7744333476897
483215,FAT_DON_11,94747.7517113
483216,FAT_DON_11,5978.573349139432
483217,FAT_DON_11,42227.66784886001
483218,FAT_DON_11,32520.4631725012
484018,FAT_DON_11,6440.687144611086
484020,FAT_DON_11,2482.221462138088
491074,FAT_DON_11,246.1611876076319
491077,FAT_DON_11,28.889885826628497
499177,FAT_DON_11,55.58253995611084
500632,FAT_DON_11,30847.019941550203
500633,FAT_DON_11,193.60022054853437
500635,FAT_DON_11,109.09290282510686
500637,FAT_DON_11,0.8372711297077716
500638,FAT_DON_11,9.42830183181131
500639,FAT_DON_11,17.832670437124833
500640,FAT_DON_11,4.5972819958728435
502347,FAT_DON_11,100.59216046648748
502558,FAT_DON_11,237.33707789886887
502800,FAT_DON_11,3.150607041907788
504472,FAT_DON_11,3.249845780369437
511145,FAT_DON_11,215.62578283487937
511680,FAT_DON_11,293081.259722548
512566,FAT_DON_11,216.6304376153312
515608,FAT_DON_11,3.331435759534172
