"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC5T_17","AZC5T",4093.27879391704,1.18122667850249,"no significant difference",0.00381057099608637,0.00429668772228791,"native","stable"
"AZC5T_21","AZC5T",382.911282443706,1.65981649764051,"no significant difference",0.00028846881150108,0.00049300422268092,"foreign","non-colonized"
"AZC5T_22","AZC5T",87.7093830553752,0.255003147574485,"no significant difference",0.000140954158090296,0.000036358861712157,"foreign","non-colonized"
"AZC5T_24","AZC5T",1298.05789928613,6.47067081834826,"no significant difference",0.000350195743483807,0.00209026087562896,"native","stable"
"AZC5T_26","AZC5T",449.829905250077,0.73168898775329,"no significant difference",0.000520811182765877,0.000358425548821617,"foreign","non-colonized"
"AZC5T_30","AZC5T",5178.97710022935,0.802496763337298,"no significant difference",0.0057817144768314,0.00468844675861904,"native","stable"
"AZC5T_34","AZC5T",81.8972815009342,159.010563333035,"significantly increased",0.000000339296690247855,0.000156709994373699,"native","stable"
"AZC5T_4","AZC5T",2896.87548545583,0.747631418004305,"no significant difference",0.00333747352153252,0.00245996682655278,"native","stable"
"AZC5T_47","AZC5T",5398.61213228024,0.514531101006619,"significantly decreased",0.00715777762188798,0.00359698586269731,"native","unstable"
"AZC5T_49","AZC5T",5327.95193410872,0.0237826684184086,"no significant difference",0.0103225898588711,0.000243127636891752,"native","stable"
"AZC5T_51","AZC5T",1301.98982572296,0.51937423972663,"significantly decreased",0.00171907878292412,0.000892964055981447,"native","unstable"
"AZC5T_53","AZC5T",7525.06779585404,0.00155376381742241,"significantly decreased",0.0152923755333184,0.0000220025010470426,"native","unstable"
"AZC5T_58","AZC5T",27.3981422380502,53.5083727011509,"significantly increased",0.000000322219962658027,0.0000520408373714072,"native","stable"
"AZC5T_61","AZC5T",38.5922607866555,75.214574630578,"significantly increased",0.000000140533802223416,0.0000737520170222727,"native","stable"
"AZC5T_63","AZC5T",2955.27746104492,0.909047218072705,"no significant difference",0.00310852977423238,0.00286142647899304,"native","stable"
"AZC5T_64","AZC5T",4429.6431748308,0.305902526563488,"no significant difference",0.00678394783971682,0.00197557972378627,"native","stable"
"AZC5T_65","AZC5T",3475.06873699113,1.03220437513387,"no significant difference",0.00344510182411637,0.00357251378906609,"native","stable"
"AZC5T_66","AZC5T",2322.41046690455,0.442917034942667,"no significant difference",0.00325456971487773,0.00141356031212385,"native","stable"
"AZC5T_67","AZC5T",786.418101936511,1.22266258891567,"no significant difference",0.000708329833444269,0.000889848368717756,"native","stable"
"AZC5T_69","AZC5T",369.328237958081,0.928898911660134,"no significant difference",0.000380428801128866,0.000345985046292146,"foreign","non-colonized"
"AZC5T_71","AZC5T",1188.60583032297,0.820626492367552,"no significant difference",0.00130899140021555,0.0010710271110863,"native","stable"
"AZC5T_79","AZC5T",1494.48907632779,0.911986048338598,"no significant difference",0.00157589276086602,0.00144765861307518,"native","stable"
"AZC5T_80","AZC5T",27274.9123406811,0.48757299113153,"significantly decreased",0.0368249693856849,0.0174407956562615,"native","unstable"
"AZC5T_82","AZC5T",1225.52450072832,0.835363610720511,"no significant difference",0.00134146903864914,0.00110409177498211,"native","stable"
"AZC5T_85","AZC5T",2601.13371886706,1.0292331869467,"no significant difference",0.00257710522023469,0.00263726449867021,"native","stable"
"AZC5T_87","AZC5T",70.9291013360544,1.23611902162895,"no significant difference",0.0000631825227611503,0.0000784734033397682,"foreign","non-colonized"
"AZC5T_90","AZC5T",821.036514842658,0.944773539801977,"no significant difference",0.000848364026525551,0.000760685121354014,"native","stable"
"AZC5T_93","AZC5T",80276.0113716184,0.59437702568744,"no significant difference",0.100976655605673,0.0584372136196727,"native","stable"
"AZC5T_98","AZC5T",142.179414443486,72.4384656826137,"significantly increased",0.00000280367714143677,0.000286325327376396,"foreign","non-colonized"
"AZC5T_99","AZC5T",2832.88405015338,1.09406235841432,"no significant difference",0.00272587633146642,0.00296698381367288,"native","stable"
"AZC7E_107","AZC7E",197.26252620044,1.18723496827695,"no significant difference",0.000180086505457094,0.000217728102446608,"foreign","non-colonized"
"AZC7E_111","AZC7E",44.8365678851008,87.3296612724162,"significantly increased",0.000000140533802223416,0.0000853949636411891,"native","stable"
"AZC7E_114","AZC7E",2.52791798068252,4.03837743954187,"no significant difference",0.000000157610529813243,0.00000263842351845273,"native","stable"
"AZC7E_116","AZC7E",6.23354247631434,0.567898130657647,"no significant difference",0.00000712131051370016,0.00000345139754399017,"foreign","non-colonized"
"AZC7E_117","AZC7E",2.85851574591494,4.54317412928479,"no significant difference",0.000000322219962658027,0.00000372663355170049,"native","stable"
"AZC7E_16","AZC7E",132.754979927094,14.106301752791,"significantly increased",0.0000170860537254776,0.000250238350281077,"foreign","non-colonized"
