focal,PC1,PC2,PC3,sample_id
AZC3J_1,-0.1528600299919191,-0.047907282633752955,-0.0688820360947073,J
AZC3J_6,-0.15063247578698502,-0.031272642389722,0.021562690175347083,J
AZC3J_9,-0.1547683126320677,-0.04802020524888907,-0.07022282488094328,J
AZC3J_18,0.03573545959852598,0.25478497006705614,1.4033726627190786,J
AZC3J_20,-0.1534262651880725,-0.04691944572173653,-0.0690370068126784,J
AZC3J_21,-0.15400745007976116,-0.04674512237405498,-0.06953695717516108,J
AZC3J_25,-0.04101439295893917,-0.04801594349672432,-0.07466540589571134,J
AZC3J_26,-0.15469286868010987,-0.047963353390694276,-0.06996063570846098,J
AZC3J_28,-0.15116142076466238,-0.04672362305748312,-0.06814761544853311,J
AZC3J_32,-0.154700731411272,-0.046524621389620394,-0.0631819116878066,J
AZC3J_34,-0.13747992963145564,-0.04338567790823832,-0.041023573262242395,J
AZC3J_45,-0.1543722296119967,-0.047528693323122616,-0.06982363562352402,J
AZC3J_49,-0.1397364465665058,-0.04876747827230745,-0.06394613784753095,J
AZC3J_55,-0.030074612951220017,-0.060816187363268784,-0.028197074841235507,J
AZC3J_56,-0.15384054258140484,-0.044408909999905676,-0.05414243949905028,J
AZC3J_57,-0.1541043366444644,-0.047759022742068793,-0.06929454707714192,J
AZC3J_59,-0.15425593936875728,-0.04682414722921033,-0.06899783988540668,J
AZC3J_61,-0.1548054845384586,-0.047950025374836364,-0.07011428207553122,J
AZC3J_64,-0.14818749462112768,-0.04670913486397688,-0.06610217682202751,J
AZC3J_71,-0.15450914599880836,-0.0479160242471665,-0.06986810980798351,J
AZC3J_73,-0.15493424441562145,-0.04800218956307047,-0.07034094278800565,J
AZC3J_74,0.03672145803216262,0.18754529713087542,1.0513831909585771,J
AZC3J_77,-0.1545414399825684,-0.04723397071298356,-0.06625824120637673,J
AZC3J_79,0.034138670966643435,-0.08255721484975818,-0.07283221595524511,J
AZC3J_81,-0.1548478083855143,-0.04800126512554423,-0.07018890905595045,J
AZC3J_82,-0.1489750725153073,-0.04545355743304085,-0.06336794301820592,J
AZC3J_87,0.09410733257189717,-0.0746533644533965,0.004024390317823933,J
AZC3J_88,-0.153411290595057,-0.04737920741050635,-0.06755146021131203,J
AZC3J_91,-0.15479321557911263,-0.047969036062787455,-0.07017677754558196,J
AZC3J_95,-0.15479095836128431,-0.04794010806952395,-0.06992103189185649,J
AZC3J_99,-0.1506930984182291,-0.04741917785014314,-0.07036889242317339,J
AZC5T_21,-0.15437076767761293,-0.04776753684642812,-0.0696311443850324,J
AZC5T_22,-0.1514297540978624,-0.04681905226844599,-0.06831918907174411,J
AZC5T_64,-0.12782864937886693,-0.0349509082158335,0.010380448925859279,J
AZC5T_69,-0.1476425122698875,-0.04534609555156379,-0.06280493494896618,J
AZC5T_85,-0.15477132480699612,-0.047978314270415004,-0.0700720146114876,J
AZC5T_87,-0.15283581080625033,-0.04709282167921054,-0.0674922792192169,J
AZC5T_98,-0.1541728148178053,-0.04779284865591651,-0.06838139203998449,J
AZC5T_106,-0.07612202925061137,0.07951763516188999,0.583330120526034,J
AZC5T_115,-0.1505834694666346,-0.02502042673633927,0.03908016410994919,J
AZC7E_4,-0.11374421696988041,0.04167964385739602,0.4049727801011927,J
AZC7E_16,-0.1542780370640597,-0.04782471873986682,-0.06864010471585207,J
AZC7E_25,-0.15224973225166255,-0.013389519664134276,0.1035113611401937,J
AZC7E_29,-0.1526654785706171,-0.04731218805114477,-0.06875085830382381,J
AZC7E_34,-0.15453311087606333,-0.04795435962501952,-0.06978790934439269,J
AZC7E_45,-0.1318620930630092,-0.04919591267824775,-0.06348496248515324,J
AZC7E_47,-0.1452352296372578,-0.026891433982062354,0.04759824475270468,J
AZC7E_54,-0.1513874995337646,-0.04632335062640524,-0.06313996548151678,J
AZC7E_60,-0.1549392350632362,-0.04793231046038377,-0.07031848358735643,J
AZC7E_69,-0.1454876788682857,-0.043067612844325406,-0.046493203175036024,J
AZC7E_70,-0.15482170827913622,-0.046073220991817855,-0.061114306134057605,J
AZC7E_72,-0.1493119827615781,-0.01772382484047437,0.07482921454049561,J
AZC7E_74,-0.15334929811206696,-0.044913578800647405,-0.05438290749020591,J
AZC7E_116,-0.14754612089035862,-0.02503386583123919,0.060631410941916,J
AZC9C_6,-0.15439072347134994,-0.04788464757448382,-0.07027142044202903,J
AZC9C_7,-0.15153880692006663,-0.006812026618049354,0.13637906105972492,J
AZC9C_25,-0.1544094734242818,-0.047864791685402974,-0.06972757260903059,J
AZC9C_30,-0.15477614979105317,-0.047915354422440846,-0.07005763689783327,J
AZC9C_34,-0.13486074885535318,-0.050147289599063276,-0.06861597750119663,J
AZC9C_60,-0.15478151663752887,-0.04792854207265906,-0.06960597455250943,J
AZC9C_68,-0.12457100568642598,-0.05366646190259631,-0.07214139743960679,J
AZC9C_69,-0.09507849118314494,-0.05590159665634685,-0.06930880901793145,J
AZC9C_80,-0.15474349681431004,-0.04797298104156676,-0.07003866024637362,J
AZC9C_81,-0.15426649572188697,-0.04683649304620475,-0.06419768451022802,J
AZC9C_91,-0.15456453154859387,-0.04765865656825873,-0.070260267766525,J
AZC9C_96,-0.15379805407823285,-0.04776115739852545,-0.06914951014843553,J
AZC9C_98,-0.15484617863644318,-0.04802698722939797,-0.0704407065700536,J
AZC9C_108,-0.1526828559313396,-0.039800795523584655,-0.06934265163412014,J
AZC9C_110,-0.1539213186505656,-0.04675973827388424,-0.0693874879884042,J
AZC9C_115,-0.15420214457896356,-0.04779413785184817,-0.06941270451256915,J
AZC3J_1,-0.15391730186642366,-0.04799961090138202,-0.06967185296831953,T
AZC3J_2,-0.1546871366969578,-0.04800157547286285,-0.07020012525809206,T
AZC3J_6,-0.11468548820305434,0.003639802878989726,0.22779652941862105,T
AZC3J_10,-0.15328389135663273,-0.0468686272363067,-0.06909425521784261,T
AZC3J_18,-0.1315547034706733,-0.021239398996284437,0.09620315775520898,T
AZC3J_26,-0.15176272415471936,-0.04782323300900628,-0.06750778221154168,T
AZC3J_34,-0.15026554757545016,-0.047280602303880155,-0.06433148871958659,T
AZC3J_45,-0.15464588494674536,-0.04787856342503178,-0.07023085342201595,T
AZC3J_62,-0.13982030627712413,0.0005017008947910286,0.17276936932133427,T
AZC3J_63,-0.15470991379493299,-0.04587765615532833,-0.060238988649186816,T
AZC3J_70,-0.1335949098973389,-0.049301477491118115,-0.06619920983729892,T
AZC3J_71,-0.15404165754501217,-0.04791052628958108,-0.06944778679118088,T
AZC3J_81,-0.14406409618458024,-0.03926281443487615,-0.014821930425481099,T
AZC3J_92,-0.1502142304208611,-0.04848253316433931,-0.07049284313178357,T
AZC3J_95,-0.1544050519971846,-0.04517035116188288,-0.05749728469690031,T
AZC3J_99,-0.13130980981772886,-0.049216839403836,-0.06096074046932459,T
AZC5T_1,-0.14485866920178547,-0.04135547420661345,-0.037292959278978556,T
AZC5T_4,-0.1531191066066676,-0.04673001349283758,-0.06787071656242155,T
AZC5T_12,-0.15179075600409012,0.000439614360430219,0.17667891144719272,T
AZC5T_24,-0.15453180108990414,-0.04775378993720128,-0.06998561759970402,T
AZC5T_30,-0.14728863393195218,-0.046273947391928485,-0.05464372249848881,T
AZC5T_34,-0.1389107815326426,-0.0135458232701051,0.1271641214712821,T
AZC5T_47,-0.1505424045616035,-0.046384068800282466,-0.06475388289364162,T
AZC5T_49,-0.13092053680225016,-0.0014113504349927257,0.19418893620497035,T
AZC5T_51,-0.1529905126711264,-0.04754155430452079,-0.06793114400993598,T
AZC5T_53,-0.13275260886631793,-0.004012848454718425,0.18032711338436022,T
AZC5T_58,-0.1083298869995654,0.022613221903134906,0.3083194240141757,T
AZC5T_61,-0.15398929821260585,-0.04733336032032461,-0.06667896895200957,T
AZC5T_63,-0.15364288431123754,-0.04238747601931283,-0.041863705185978,T
AZC5T_64,-0.13100318247884027,-0.03791210871477707,0.0018512888185518034,T
AZC5T_65,-0.14330225593527654,-0.04526453648714886,-0.06090333907920174,T
AZC5T_66,-0.1459549910676419,-0.03338978640393556,0.021036163032475807,T
