focal,PC1,PC2,sample_id
AZC3J_1,-0.1528600299919191,-0.047907282633752955,J
AZC3J_6,-0.15063247578698502,-0.031272642389722,J
AZC3J_9,-0.1547683126320677,-0.04802020524888907,J
AZC3J_18,0.03573545959852598,0.25478497006705614,J
AZC3J_20,-0.1534262651880725,-0.04691944572173653,J
AZC3J_21,-0.15400745007976116,-0.04674512237405498,J
AZC3J_25,-0.04101439295893917,-0.04801594349672432,J
AZC3J_26,-0.15469286868010987,-0.047963353390694276,J
AZC3J_28,-0.15116142076466238,-0.04672362305748312,J
AZC3J_32,-0.154700731411272,-0.046524621389620394,J
AZC3J_34,-0.13747992963145564,-0.04338567790823832,J
AZC3J_45,-0.1543722296119967,-0.047528693323122616,J
AZC3J_49,-0.1397364465665058,-0.04876747827230745,J
AZC3J_55,-0.030074612951220017,-0.060816187363268784,J
AZC3J_56,-0.15384054258140484,-0.044408909999905676,J
AZC3J_57,-0.1541043366444644,-0.047759022742068793,J
AZC3J_59,-0.15425593936875728,-0.04682414722921033,J
AZC3J_61,-0.1548054845384586,-0.047950025374836364,J
AZC3J_64,-0.14818749462112768,-0.04670913486397688,J
AZC3J_71,-0.15450914599880836,-0.0479160242471665,J
AZC3J_73,-0.15493424441562145,-0.04800218956307047,J
AZC3J_74,0.03672145803216262,0.18754529713087542,J
AZC3J_77,-0.1545414399825684,-0.04723397071298356,J
AZC3J_79,0.034138670966643435,-0.08255721484975818,J
AZC3J_81,-0.1548478083855143,-0.04800126512554423,J
AZC3J_82,-0.1489750725153073,-0.04545355743304085,J
AZC3J_87,0.09410733257189717,-0.0746533644533965,J
AZC3J_88,-0.153411290595057,-0.04737920741050635,J
AZC3J_91,-0.15479321557911263,-0.047969036062787455,J
AZC3J_95,-0.15479095836128431,-0.04794010806952395,J
AZC3J_99,-0.1506930984182291,-0.04741917785014314,J
AZC5T_21,-0.15437076767761293,-0.04776753684642812,J
AZC5T_22,-0.1514297540978624,-0.04681905226844599,J
AZC5T_64,-0.12782864937886693,-0.0349509082158335,J
AZC5T_69,-0.1476425122698875,-0.04534609555156379,J
AZC5T_85,-0.15477132480699612,-0.047978314270415004,J
AZC5T_87,-0.15283581080625033,-0.04709282167921054,J
AZC5T_98,-0.1541728148178053,-0.04779284865591651,J
AZC5T_106,-0.07612202925061137,0.07951763516188999,J
AZC5T_115,-0.1505834694666346,-0.02502042673633927,J
AZC7E_4,-0.11374421696988041,0.04167964385739602,J
AZC7E_16,-0.1542780370640597,-0.04782471873986682,J
AZC7E_25,-0.15224973225166255,-0.013389519664134276,J
AZC7E_29,-0.1526654785706171,-0.04731218805114477,J
AZC7E_34,-0.15453311087606333,-0.04795435962501952,J
AZC7E_45,-0.1318620930630092,-0.04919591267824775,J
AZC7E_47,-0.1452352296372578,-0.026891433982062354,J
AZC7E_54,-0.1513874995337646,-0.04632335062640524,J
AZC7E_60,-0.1549392350632362,-0.04793231046038377,J
AZC7E_69,-0.1454876788682857,-0.043067612844325406,J
AZC7E_70,-0.15482170827913622,-0.046073220991817855,J
AZC7E_72,-0.1493119827615781,-0.01772382484047437,J
AZC7E_74,-0.15334929811206696,-0.044913578800647405,J
AZC7E_116,-0.14754612089035862,-0.02503386583123919,J
AZC9C_6,-0.15439072347134994,-0.04788464757448382,J
AZC9C_7,-0.15153880692006663,-0.006812026618049354,J
AZC9C_25,-0.1544094734242818,-0.047864791685402974,J
AZC9C_30,-0.15477614979105317,-0.047915354422440846,J
AZC9C_34,-0.13486074885535318,-0.050147289599063276,J
AZC9C_60,-0.15478151663752887,-0.04792854207265906,J
AZC9C_68,-0.12457100568642598,-0.05366646190259631,J
AZC9C_69,-0.09507849118314494,-0.05590159665634685,J
AZC9C_80,-0.15474349681431004,-0.04797298104156676,J
AZC9C_81,-0.15426649572188697,-0.04683649304620475,J
AZC9C_91,-0.15456453154859387,-0.04765865656825873,J
AZC9C_96,-0.15379805407823285,-0.04776115739852545,J
AZC9C_98,-0.15484617863644318,-0.04802698722939797,J
AZC9C_108,-0.1526828559313396,-0.039800795523584655,J
AZC9C_110,-0.1539213186505656,-0.04675973827388424,J
AZC9C_115,-0.15420214457896356,-0.04779413785184817,J
AZC3J_1,-0.15391730186642366,-0.04799961090138202,T
AZC3J_2,-0.1546871366969578,-0.04800157547286285,T
AZC3J_6,-0.11468548820305434,0.003639802878989726,T
AZC3J_10,-0.15328389135663273,-0.0468686272363067,T
AZC3J_18,-0.1315547034706733,-0.021239398996284437,T
AZC3J_26,-0.15176272415471936,-0.04782323300900628,T
AZC3J_34,-0.15026554757545016,-0.047280602303880155,T
AZC3J_45,-0.15464588494674536,-0.04787856342503178,T
AZC3J_62,-0.13982030627712413,0.0005017008947910286,T
AZC3J_63,-0.15470991379493299,-0.04587765615532833,T
AZC3J_70,-0.1335949098973389,-0.049301477491118115,T
AZC3J_71,-0.15404165754501217,-0.04791052628958108,T
AZC3J_81,-0.14406409618458024,-0.03926281443487615,T
AZC3J_92,-0.1502142304208611,-0.04848253316433931,T
AZC3J_95,-0.1544050519971846,-0.04517035116188288,T
AZC3J_99,-0.13130980981772886,-0.049216839403836,T
AZC5T_1,-0.14485866920178547,-0.04135547420661345,T
AZC5T_4,-0.1531191066066676,-0.04673001349283758,T
AZC5T_12,-0.15179075600409012,0.000439614360430219,T
AZC5T_24,-0.15453180108990414,-0.04775378993720128,T
AZC5T_30,-0.14728863393195218,-0.046273947391928485,T
AZC5T_34,-0.1389107815326426,-0.0135458232701051,T
AZC5T_47,-0.1505424045616035,-0.046384068800282466,T
AZC5T_49,-0.13092053680225016,-0.0014113504349927257,T
AZC5T_51,-0.1529905126711264,-0.04754155430452079,T
AZC5T_53,-0.13275260886631793,-0.004012848454718425,T
AZC5T_58,-0.1083298869995654,0.022613221903134906,T
AZC5T_61,-0.15398929821260585,-0.04733336032032461,T
AZC5T_63,-0.15364288431123754,-0.04238747601931283,T
AZC5T_64,-0.13100318247884027,-0.03791210871477707,T
AZC5T_65,-0.14330225593527654,-0.04526453648714886,T
AZC5T_66,-0.1459549910676419,-0.03338978640393556,T
AZC5T_71,-0.15461790228639172,-0.04786512421726211,T
AZC5T_79,-0.15424489426734403,-0.043528336005620415,T
AZC5T_80,0.4098056093563564,0.050733954866574914,T
AZC5T_85,-0.15244131739760178,-0.0454149705211115,T
AZC5T_90,-0.15477064426121306,-0.04694474711110583,T
AZC5T_93,0.9574521349923479,-0.0037690481931778015,T
AZC5T_99,-0.15243160424371519,-0.04415128566532332,T
AZC5T_104,-0.15406115425656577,-0.04556919500883147,T
AZC5T_111,-0.1527291330607709,-0.042273077072067115,T
AZC5T_115,-0.1524982607235012,-0.032290387285657786,T
