taxon,sample_id,abundance,growth_rate,distance,degree centrality
AZC3J_1,AZC3JfromAZC7E,0.0079333592607021,0.0234782783079496,7.680720877915222,13.30379746835443
AZC3J_10,AZC3JfromAZC7E,0.0016837613332932,0.0052106749791741,1.2875043416132885,9.860759493670885
AZC3J_11,AZC3JfromAZC7E,0.0002719652406141,0.0008041024541322,1.0208685370065385,11.962025316455696
AZC3J_12,AZC3JfromAZC7E,0.0010064354263258,0.0034873671594988,1.0833083939687793,8.493670886075948
AZC3J_15,AZC3JfromAZC7E,0.0001992470210526,0.0005893324150966,0.8698618256159353,11.962025316455696
AZC3J_16,AZC3JfromAZC7E,0.0027836022986393,0.0082432154302071,4.659524604719503,23.582278481012658
AZC3J_18,AZC3JfromAZC7E,0.3878118966113998,1.1443732828035926,13.426201009327173,32.91139240506329
AZC3J_2,AZC3JfromAZC7E,0.0026922690164078,0.0079486448514897,5.482044001885453,15.683544303797468
AZC3J_20,AZC3JfromAZC7E,0.0070121287037125,0.0207046187486641,7.873336451843559,15.240506329113924
AZC3J_21,AZC3JfromAZC7E,0.0119028324302013,0.0352642947692321,8.288615984590992,22.063291139240505
AZC3J_22,AZC3JfromAZC7E,2.459704324638701e-05,7.28310762191159e-05,0.5818781177766139,15.658227848101266
AZC3J_23,AZC3JfromAZC7E,0.0001937265460125,0.0005726637669019,0.8191104945096187,13.974683544303797
AZC3J_25,AZC3JfromAZC7E,0.0080543987876218,0.025003899005493,5.863087111601976,14.81012658227848
AZC3J_26,AZC3JfromAZC7E,0.0023297250403772,0.0068775039604365,5.543033475213313,9.974683544303797
AZC3J_27,AZC3JfromAZC7E,0.0004082683689959,0.0012053364221551,1.039893528295193,5.848101265822785
AZC3J_28,AZC3JfromAZC7E,0.009708127197358,0.028668808863265,8.744830489427624,13.987341772151899
AZC3J_29,AZC3JfromAZC7E,0.001143956154898,0.0033778077298225,3.55993699025577,14.784810126582279
AZC3J_3,AZC3JfromAZC7E,0.0004803089406276,0.0014194765832254,0.6593521749325676,4.582278481012658
AZC3J_30,AZC3JfromAZC7E,7.687166162247319e-05,0.0002272709887159,0.5802572323793543,5.987341772151899
AZC3J_32,AZC3JfromAZC7E,0.0041532536109223,0.0122813664725458,6.043690984371515,17.89873417721519
AZC3J_33,AZC3JfromAZC7E,0.0012385700589338,0.0036611273164783,3.134606693454341,19.126582278481013
AZC3J_34,AZC3JfromAZC7E,0.0509983919117405,0.1509210163251166,12.227714775107794,25.265822784810126
AZC3J_36,AZC3JfromAZC7E,0.0005690341910095,0.003966205380441,0.6595453203400862,10.430379746835444
AZC3J_37,AZC3JfromAZC7E,0.0005342559100279,0.0015790976611795,2.4021147059349692,13.620253164556962
AZC3J_4,AZC3JfromAZC7E,0.0002192138068515,0.001500265500995,0.5359722218138374,4.3924050632911396
AZC3J_43,AZC3JfromAZC7E,0.0010438302294814,0.0030830976810793,3.1670656901768237,13.81012658227848
AZC3J_44,AZC3JfromAZC7E,0.0021417203804887,0.0063248113771698,1.5410740735010786,7.5696202531645564
AZC3J_45,AZC3JfromAZC7E,0.0059161730190222,0.0174915820311972,6.4310030406731,20.139240506329113
AZC3J_47,AZC3JfromAZC7E,0.0016918586549071,0.0050030692578435,4.050940771721301,16.696202531645568
AZC3J_49,AZC3JfromAZC7E,0.0172148767487567,0.0508055803076664,3.704919951761684,12.987341772151899
AZC3J_5,AZC3JfromAZC7E,0.0002521886576904,0.0007462246023076,0.9596938780494784,22.11392405063291
AZC3J_50,AZC3JfromAZC7E,6.338932203426616e-05,0.0001874197020056,0.6637624830482467,14.886075949367088
AZC3J_52,AZC3JfromAZC7E,7.029203839412639e-07,2.0973930355428904e-06,0.5129122904620576,10.10126582278481
AZC3J_53,AZC3JfromAZC7E,0.0024610438228725,0.0072645028890876,2.660121678372895,8.848101265822784
AZC3J_54,AZC3JfromAZC7E,8.103573335204933e-06,2.4038716105500635e-05,0.5148671824093138,11.594936708860759
AZC3J_55,AZC3JfromAZC7E,0.0094372005430236,0.027862182586403,11.619254071692543,18.050632911392405
AZC3J_56,AZC3JfromAZC7E,0.008633421040774,0.0255865110333832,7.786855569832161,27.468354430379748
AZC3J_57,AZC3JfromAZC7E,0.003302716600038,0.0097500551039131,4.790944575417146,17.20253164556962
AZC3J_58,AZC3JfromAZC7E,0.0006563069306796,0.0019402057661058,0.6982794418938963,6.012658227848101
AZC3J_59,AZC3JfromAZC7E,0.0108482556416433,0.0320909471410097,8.818530449890199,21.670886075949365
AZC3J_6,AZC3JfromAZC7E,0.0323964516905386,0.0959889688166392,11.763864854354994,32.20253164556962
AZC3J_61,AZC3JfromAZC7E,0.0029339065480568,0.0086623350238759,5.766285369732462,15.683544303797468
AZC3J_62,AZC3JfromAZC7E,0.0013445618308293,0.0039784689370264,4.6566993595468675,20.696202531645568
AZC3J_63,AZC3JfromAZC7E,0.0015223047187726,0.004502830484217,3.655170067072915,14.632911392405063
AZC3J_64,AZC3JfromAZC7E,0.0139178355267525,0.0410746890566328,7.201667964875438,12.683544303797468
AZC3J_65,AZC3JfromAZC7E,0.0017719697667533,0.005238828114581,3.8784131822980066,19.164556962025316
AZC3J_67,AZC3JfromAZC7E,0.0023662643213524,0.0069965823765919,4.480997595220501,19.164556962025316
AZC3J_68,AZC3JfromAZC7E,0.0012478232146565,0.0042744212151234,1.0113276691646724,8.164556962025316
AZC3J_69,AZC3JfromAZC7E,0.0030353462414314,0.0089784595654055,5.3530189545583715,16.075949367088608
AZC3J_7,AZC3JfromAZC7E,0.0011144165418153,0.0032928577567898,1.6926177732100478,8.531645569620252
AZC3J_70,AZC3JfromAZC7E,0.0021367126359219,0.0070813397677858,1.534743136987998,11.468354430379746
AZC3J_71,AZC3JfromAZC7E,0.0030640310749557,0.0090456453177134,4.510632405819229,17.20253164556962
AZC3J_72,AZC3JfromAZC7E,0.0023467323222842,0.0069614768725279,4.2478005061705515,23.468354430379748
AZC3J_73,AZC3JfromAZC7E,0.0038465886116093,0.0113748924040051,5.169580968731362,19.962025316455694
