taxon,shannon_diversity,sample_id
AZC3J_1,2.480921186013224,J
AZC3J_6,2.4843338313696846,J
AZC3J_9,2.16423876523749,J
AZC3J_18,2.056443112980364,J
AZC3J_20,2.5264722265047164,J
AZC3J_21,2.511578985606295,J
AZC3J_25,1.3384203194227866,J
AZC3J_26,2.376254251530044,J
AZC3J_28,2.0240019551955237,J
AZC3J_32,2.243953019318285,J
AZC3J_34,2.18150168455049,J
AZC3J_45,2.540699639821417,J
AZC3J_49,1.8386755819358314,J
AZC3J_55,2.1914057570144694,J
AZC3J_56,2.2693018443172703,J
AZC3J_57,2.319434008823226,J
AZC3J_59,2.4752325041818786,J
AZC3J_61,2.4589546496374792,J
AZC3J_64,1.9211889374187985,J
AZC3J_71,2.1486379849669115,J
AZC3J_73,2.4798520473410615,J
AZC3J_74,2.1606130062009745,J
AZC3J_77,2.20796899000384,J
AZC3J_79,2.4227806890210433,J
AZC3J_81,2.4354314142158504,J
AZC3J_82,1.7739159673132152,J
AZC3J_87,2.3610507791649615,J
AZC3J_88,2.4980208573801743,J
AZC3J_91,2.4259520890981205,J
AZC3J_95,2.4017956321734326,J
AZC3J_99,2.435372026928145,J
AZC5T_21,2.353965742213997,J
AZC5T_22,2.0284467582104164,J
AZC5T_64,2.064445084039655,J
AZC5T_69,2.0292341986549243,J
AZC5T_85,2.4011635185058666,J
AZC5T_87,3.0039602902697577,J
AZC5T_98,2.355582612693139,J
AZC5T_106,2.4010130599964956,J
AZC5T_115,1.9833350831794874,J
AZC7E_4,2.164949500357411,J
AZC7E_16,2.356829790184823,J
AZC7E_25,2.1564388931316234,J
AZC7E_29,2.0397292416676422,J
AZC7E_34,2.386914538989833,J
AZC7E_45,1.9398024332487243,J
AZC7E_47,2.2925654347525963,J
AZC7E_54,2.4991381413558904,J
AZC7E_60,2.3265575378868784,J
AZC7E_69,1.9213322853495884,J
AZC7E_70,2.1699532558889976,J
AZC7E_72,1.9500164782434268,J
AZC7E_74,2.151339557628945,J
AZC7E_116,2.210140815126734,J
AZC9C_6,2.5172140634277285,J
AZC9C_7,2.1565489736160717,J
AZC9C_25,2.4191533107047123,J
AZC9C_30,2.508587715070955,J
AZC9C_34,2.0993127601716983,J
AZC9C_60,2.403765851409001,J
AZC9C_68,2.297199887692055,J
AZC9C_69,2.7185392059906364,J
AZC9C_80,2.4013648083257033,J
AZC9C_81,2.1912849150872686,J
AZC9C_91,2.2453889903560142,J
AZC9C_96,2.3087697556608378,J
AZC9C_98,2.278775227139607,J
