focal,PC1,PC2,PC3,sample_id
AZC5T_21,-0.13178768285705278,-0.0009376626289750614,-0.020106552415316274,J
AZC5T_22,-0.1233573353411837,0.012106763956035951,-0.004167566433772134,J
AZC5T_64,-0.07563401509834884,0.18201954692222827,0.14688731170194452,J
AZC5T_69,-0.09634594303925643,0.04712950211962819,0.12884195640666726,J
AZC5T_85,-0.13475465728965672,-0.004743910010304406,-0.027193274814610098,J
AZC5T_87,-0.12403980784882065,0.017076115692328444,-0.001558226835807666,J
AZC5T_98,-0.13055223659732834,0.004973587287646083,-0.01752752614595897,J
AZC5T_106,1.3952375159964694,0.11789945657637665,-0.07012378401963977,J
AZC5T_115,0.14824131091018627,-0.06972480785501786,0.007685932577790413,J
AZC7E_4,1.0157294026179668,0.023255397580113153,-0.00739298307638558,J
AZC7E_16,-0.1314082967159608,0.0033284462660930097,-0.01960079609654101,J
AZC7E_25,0.3208518565382143,-0.13283248277113116,0.09154247227654247,J
AZC7E_29,-0.13077357279028867,0.008893745050549585,-0.014069242748926306,J
AZC7E_34,-0.13313604844690502,-0.0023736860206500926,-0.023864475106569496,J
AZC7E_45,-0.1201687930623129,0.04159637715758519,0.0030928391936355395,J
AZC7E_47,0.16579236589050309,-0.023654964406225186,-0.0012816677937776085,J
AZC7E_54,-0.11537237097258765,0.015668081572035895,-0.0024669793666899135,J
AZC7E_60,-0.13561422373704127,-0.005661674638440104,-0.02956638471935544,J
AZC7E_69,-0.10926384808036488,0.049384620481783395,0.02834520149278548,J
AZC7E_70,-0.11072007222618314,-0.01091170462251064,-0.024681303068602604,J
AZC7E_72,0.2374820948032105,-0.08991529826582843,0.014967253985961026,J
AZC7E_74,-0.09409582214732595,-0.008707941254085047,-0.015108840619746523,J
AZC7E_116,0.15901057668200314,-0.07390668719741972,-0.004126024441061473,J
AZC9C_6,-0.13257007742930196,-0.004232479460456498,-0.019334906051830823,J
AZC9C_7,0.40324717952663597,-0.14936471063227302,0.10224556598725597,J
AZC9C_25,-0.1335025815002602,-0.003108713916034971,-0.025392705004558046,J
AZC9C_30,-0.134796831942759,-0.003789457827612316,-0.027620809718188862,J
AZC9C_34,-0.12886188739554696,0.016262756954474752,-0.011778058845771124,J
AZC9C_60,-0.13512004938230437,-0.0050031638065279474,-0.02850962878880112,J
AZC9C_68,-0.13025328564542887,-0.0016095911341845505,-0.009861685297421579,J
AZC9C_69,-0.11247498609964302,0.05174057783792131,0.042435607125216344,J
AZC9C_80,-0.1345696681263301,-0.004473249269703736,-0.026757552571391393,J
AZC9C_81,-0.11973856165493979,-0.0068986081954220315,-0.024013721447996423,J
AZC9C_91,-0.13309024790097973,-0.002755815846805215,-0.022666848841560717,J
AZC9C_96,-0.13138775213966145,0.003951433142938904,-0.01942163612731561,J
AZC9C_98,-0.1353779383475873,-0.006845721479808139,-0.026954348105475454,J
AZC9C_108,-0.12646354883053312,0.007053713289935358,-0.010952308858407492,J
AZC9C_110,-0.12807709153374558,0.006950590748373039,-0.008492824514372908,J
AZC9C_115,-0.13228306878555032,0.0021616186033687965,-0.021451478871946456,J
AZC3J_1,-0.09840459633042241,-0.19276682675263815,-0.04169005903897183,T
AZC3J_2,-0.09927680694856021,-0.19342508952562615,-0.04476929257863374,T
AZC3J_6,-0.07395887504926486,0.5445618333678504,0.024068079156620993,T
AZC3J_10,-0.0982442450810807,-0.19258613045331355,-0.04042405359660722,T
AZC3J_18,-0.06172451733158898,0.2423053977532338,0.04616755286073237,T
AZC3J_26,-0.09260192928206108,-0.18824460873922128,-0.02559342713347728,T
AZC3J_34,-0.08844101857680622,-0.17385208370488972,-0.001179947985842572,T
AZC3J_45,-0.10021088961519095,-0.1940552212414787,-0.046531091149205416,T
AZC3J_62,-0.0912292161311552,0.4354758915264837,-0.0345352902134404,T
AZC3J_63,-0.10095803756647768,-0.16692222817595492,-0.051424814495384046,T
AZC3J_70,-0.08763416311880354,-0.185273427101389,-0.013963873885913787,T
AZC3J_71,-0.0983677772109113,-0.19283650650992198,-0.04208691237430812,T
AZC3J_81,-0.07372988720948101,-0.07766040094880038,0.08352005011798261,T
AZC3J_92,-0.09942900812526634,-0.19381136487775177,-0.04652188510837827,T
AZC3J_95,-0.1005144585290623,-0.1599797665090922,-0.050596738456406894,T
AZC3J_99,-0.0691808319853717,-0.1698910219050123,0.05001482643915226,T
AZC7E_22,-0.08898431772327171,0.31074396504325996,0.00049440411750668,T
AZC7E_29,-0.04432040087356301,-0.15044630888560911,0.1327935533440317,T
AZC7E_45,-0.05202372144218615,-0.17393793987249942,0.06276317254778817,T
AZC7E_47,-0.05226714738954945,0.7271223698980996,0.1399931997337818,T
AZC7E_52,-0.08898575360168993,0.3105105510292572,0.00044850577391667177,T
AZC7E_55,-0.09935413464196588,-0.19360276740858015,-0.045032473250377965,T
AZC7E_57,-0.08389097417728644,0.27124621029697343,-0.03457486126027951,T
AZC7E_69,0.04066261091232754,-0.11895472034148592,0.29587083088283855,T
AZC7E_71,-0.09917827445069732,-0.06410194724435836,-0.05250351725528731,T
AZC7E_72,-0.10782198973852915,0.4786419451962178,-0.09586278356845546,T
AZC7E_73,-0.06310151953018092,0.16290703375684407,0.03987525876243441,T
AZC7E_81,-0.108234071492343,0.3042927498080327,-0.0924851192020089,T
AZC7E_90,-0.0920462245163642,-0.17923586169841893,-0.02256310768208259,T
AZC7E_96,-0.07556318163467858,0.034850302749345745,-0.03403562203813258,T
AZC7E_111,-0.0774201794867429,-0.10480936388297223,0.01652762364220637,T
AZC7E_114,-0.06277660775340695,-0.1451057939063874,0.13662640135320978,T
AZC7E_117,-0.07400307810161838,-0.1610292486592793,0.07123372573291702,T
AZC9C_18,3.3604783240185028,-0.007471475851849407,-0.0206115691967872,T
AZC9C_34,-0.08861842836200334,-0.18618090493870504,-0.004079715593020791,T
AZC9C_58,-0.09650214784493655,-0.19136836705221202,-0.0363743928886903,T
AZC9C_60,-0.08806997317716639,0.3440557434644552,-0.1166855322649014,T
AZC9C_71,-0.06579320787526809,0.22854114118001148,-0.02586433003977488,T
AZC9C_75,-0.06422835652990762,0.13866122269235362,0.03783673789160767,T
AZC9C_86,-0.09707853623500501,-0.19159859056126013,-0.03736138608805693,T
AZC9C_93,-0.09716970688928729,-0.19098560394673159,-0.03476096773418698,T
AZC9C_98,-0.09980274337167665,-0.19378278706697896,-0.04612115827811469,T
