taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
AZC3J_1,J,1e-06,EX_xan_e,-2.196391503875049e-06,0.0046830639244406,xan_e,import
AZC3J_1,J,1e-06,EX_istfrnB_e,-3.976451491698932e-06,0.0046830639244406,istfrnB_e,import
AZC3J_1,J,1e-06,EX_orn_e,1.446412108881212e-05,0.0046830639244406,orn_e,export
AZC3J_1,J,1e-06,EX_o2_e,-0.3551716215321238,0.0046830639244406,o2_e,import
AZC3J_1,J,1e-06,EX_ala_B_e,-1.3593998791803462e-06,0.0046830639244406,ala_B_e,import
AZC3J_1,J,1e-06,EX_acald_e,-8.93515684012048e-06,0.0046830639244406,acald_e,import
AZC3J_1,J,1e-06,EX_pnto__R_e,1.413852416200779e-06,0.0046830639244406,pnto__R_e,export
AZC3J_1,J,1e-06,EX_glx_e,-2.4530079942674084e-06,0.0046830639244406,glx_e,import
AZC3J_1,J,1e-06,EX_glyb_e,1.243580539650257e-06,0.0046830639244406,glyb_e,export
AZC3J_1,J,1e-06,EX_arbt_e,-1.22350652085869e-06,0.0046830639244406,arbt_e,import
AZC3J_1,J,1e-06,EX_acglu_e,-8.464189408013998e-06,0.0046830639244406,acglu_e,import
AZC3J_1,J,1e-06,EX_thm_e,-6.845222846472444e-06,0.0046830639244406,thm_e,import
AZC3J_1,J,1e-06,EX_tyr__L_e,-0.0037953441563011,0.0046830639244406,tyr__L_e,import
AZC3J_1,J,1e-06,EX_stfrnA_e,4.186360025360714e-06,0.0046830639244406,stfrnA_e,export
AZC3J_1,J,1e-06,EX_isobuta_e,0.0335182257840563,0.0046830639244406,isobuta_e,export
AZC3J_1,J,1e-06,EX_arab__L_e,-1.859909355315916e-06,0.0046830639244406,arab__L_e,import
AZC3J_1,J,1e-06,EX_btd_RR_e,2.028903044699235e-06,0.0046830639244406,btd_RR_e,export
AZC3J_1,J,1e-06,EX_ala__D_e,0.0030456789324469,0.0046830639244406,ala__D_e,export
AZC3J_1,J,1e-06,EX_arg__L_e,-0.0090056514950906,0.0046830639244406,arg__L_e,import
AZC3J_1,J,1e-06,EX_icit_e,-1.970163328344616e-05,0.0046830639244406,icit_e,import
AZC3J_1,J,1e-06,EX_istfrnA_e,-4.156841874714034e-06,0.0046830639244406,istfrnA_e,import
