assembly,mean_d0_abundance
AZC3J_13,0.00112697279799133
AZC3J_18,0.00652994452033371
AZC3J_28,0.00124144966154271
AZC3J_3,0.00102917854809112
AZC3J_34,0.00334891464615622
AZC3J_46,0.00121119290471012
AZC3J_51,0.00183868298339302
AZC3J_55,0.00183685743952635
AZC3J_64,0.0010382431058123
AZC3J_73,0.00135892305075464
AZC3J_74,0.00299393748080737
AZC3J_76,0.00805089673362314
AZC3J_79,0.00149444317387499
AZC3J_80,0.00531568150999541
AZC3J_81,0.00103241154492784
AZC3J_87,0.0119676780737841
AZC3J_91,0.00111626343341504
AZC3J_99,0.00145017130932965
AZC5T_104,0.00106287715073152
AZC5T_107,0.00887974548098104
AZC5T_109,0.00149299562816683
AZC5T_119,0.00110006823055418
AZC5T_120,0.00133432155486683
AZC5T_122,0.00135418092930838
AZC5T_14,0.00224073427380195
AZC5T_19,0.00492652384000024
AZC5T_22,0.00121580146881621
AZC5T_26,0.00111628031474413
AZC5T_30,0.00128747321373441
AZC5T_37,0.00166407431306826
AZC5T_38,0.00226493916568254
AZC5T_44,0.00433160082745968
AZC5T_57,0.00156050644446396
AZC5T_64,0.00377654949058466
AZC5T_66,0.00547105947533756
AZC5T_68,0.00348883905424741
AZC5T_69,0.0024471055054213
AZC5T_78,0.00142102362666187
AZC5T_8,0.00205705256398713
AZC5T_80,0.00305704936539615
AZC5T_85,0.00195963834685264
AZC5T_87,0.00161794663627634
AZC5T_93,0.00663609706096819
AZC5T_94,0.00891450993121277
AZC5T_97,0.0255720512496273
AZC5T_98,0.00168424829330767
AZC7E_109,0.0027537467191685
AZC7E_114,0.00219958126205081
AZC7E_12,0.00221297626178767
AZC7E_15,0.0116366875331291
AZC7E_16,0.00184362804230428
AZC7E_25,0.00226167674674075
AZC7E_29,0.0016583878515645
AZC7E_39,0.0486409448037517
AZC7E_45,0.00606628398735759
AZC7E_51,0.00167754437934131
AZC7E_54,0.00485628526488685
AZC7E_57,0.00165109549433303
AZC7E_59,0.00101057482270251
AZC7E_60,0.00159530504165245
AZC7E_61,0.0076897872459555
AZC7E_64,0.00401192826560343
AZC7E_69,0.00212943280538323
AZC7E_70,0.00116444902764972
AZC7E_73,0.0336757711458629
AZC7E_77,0.00172919486471091
AZC7E_78,0.00110127915092205
AZC7E_82,0.00146929660159025
AZC7E_89,0.0194688333904491
AZC7E_96,0.0063825270733667
AZC9C_103,0.00134431155243962
AZC9C_106,0.00226791198450974
AZC9C_112,0.00249780207747866
AZC9C_113,0.00256591608376018
AZC9C_116,0.00219247576162631
AZC9C_18,0.00416696423404535
AZC9C_29,0.00117133412701887
AZC9C_32,0.00259637343567507
AZC9C_40,0.00105651640450868
AZC9C_53,0.00252642219604377
AZC9C_54,0.00524711128455717
AZC9C_6,0.0525244789042558
AZC9C_61,0.0015507033966748
AZC9C_68,0.00115400714720075
AZC9C_7,0.00199140479091093
AZC9C_71,0.0092104997070669
AZC9C_75,0.0189964745414986
AZC9C_86,0.00118424545318412
AZC9C_93,0.00115085824329538
AZC9C_94,0.00548660881755
AZC9C_95,0.00504704670879761
AZC9C_96,0.00146114386131979
AZC9C_98,0.00103364397903333
