assembly,mean_d0_abundance
AZC3J_1,0.00115126507180395
AZC3J_10,0.00152883090611695
AZC3J_13,0.00185617408599308
AZC3J_18,0.00807650454351224
AZC3J_2,0.00131305337517472
AZC3J_26,0.00170954762022378
AZC3J_34,0.0049116377533348
AZC3J_45,0.00103644340629204
AZC3J_6,0.0075091584017834
AZC3J_62,0.0158605224325745
AZC3J_63,0.00122677794750682
AZC3J_70,0.00148962876792973
AZC3J_71,0.00102461424186667
AZC3J_81,0.00937708457534826
AZC3J_92,0.00105993540595566
AZC3J_95,0.00127455351017372
AZC3J_99,0.00447336199305523
AZC5T_1,0.00718417221333289
AZC5T_104,0.00161541879256655
AZC5T_111,0.00178649999133488
AZC5T_115,0.00356476086850234
AZC5T_119,0.0019602682675451
AZC5T_12,0.00931414248240208
AZC5T_17,0.00226213904931912
AZC5T_24,0.00121540138898924
AZC5T_30,0.00662859755493296
AZC5T_34,0.00718400133102273
AZC5T_4,0.00334907430775127
AZC5T_47,0.00612496199839385
AZC5T_49,0.0092482554203257
AZC5T_51,0.00202362000054217
AZC5T_53,0.00874155513589086
AZC5T_58,0.0129989552646459
AZC5T_61,0.00225098931533925
AZC5T_63,0.0022825336357092
AZC5T_64,0.00791334203377734
AZC5T_65,0.0041881959455679
AZC5T_66,0.00355562018743082
AZC5T_67,0.00171702441030558
AZC5T_71,0.00107237492496565
AZC5T_79,0.00181082392064396
AZC5T_80,0.0366870496664616
AZC5T_82,0.00131381562804121
AZC5T_85,0.00266005165851355
AZC5T_90,0.0011251195418446
AZC5T_93,0.114205393684256
AZC5T_99,0.00284121208249878
AZC7E_111,0.00931407226086558
AZC7E_114,0.00992912689619509
AZC7E_117,0.00718410111360434
AZC7E_22,0.0071839753907168
AZC7E_29,0.00718391883310356
AZC7E_45,0.0107482163137819
AZC7E_47,0.0134934760161127
AZC7E_52,0.00718400686894592
AZC7E_55,0.00101359098157278
AZC7E_57,0.00612523320017991
AZC7E_69,0.0191908842930465
AZC7E_71,0.00274596210877337
AZC7E_72,0.00856067855922815
AZC7E_73,0.00741834603448427
AZC7E_81,0.00718393662006504
AZC7E_90,0.00356494132977277
AZC7E_96,0.00387182288513767
AZC9C_103,0.00314585941501895
AZC9C_18,0.0424664860325159
AZC9C_34,0.00305904885449992
AZC9C_58,0.00112647886692334
AZC9C_60,0.00562905818179526
AZC9C_71,0.00554847104291358
AZC9C_75,0.00713749369932017
AZC9C_86,0.0015533889620031
AZC9C_93,0.00204932611270132
AZC9C_98,0.00116244228213175
