assembly,mean_d0_abundance
AZC3J_1,0.00270195773101419
AZC3J_13,0.00121902050327269
AZC3J_18,0.141109546044207
AZC3J_20,0.00279077331816578
AZC3J_21,0.00263032099998215
AZC3J_25,0.00372341498817721
AZC3J_26,0.00114067925789351
AZC3J_28,0.00500693115701161
AZC3J_31,0.00134821897611582
AZC3J_32,0.00166604060145371
AZC3J_34,0.0167632750670209
AZC3J_45,0.00208927876739301
AZC3J_46,0.00382276481836148
AZC3J_49,0.00461959417267201
AZC3J_55,0.0132311008271681
AZC3J_56,0.0029966073490803
AZC3J_57,0.0022042615656964
AZC3J_59,0.00321537057123428
AZC3J_6,0.00797870092326042
AZC3J_60,0.00314029683271794
AZC3J_61,0.00137559099334246
AZC3J_64,0.00535155217796608
AZC3J_71,0.00133275027362258
AZC3J_73,0.00102567883122993
AZC3J_74,0.0574760326649047
AZC3J_77,0.00124033383569882
AZC3J_79,0.00996605400175683
AZC3J_81,0.00120966213706637
AZC3J_82,0.0157180769247481
AZC3J_87,0.0344517841545644
AZC3J_88,0.0032071611396671
AZC3J_9,0.00108250317454301
AZC3J_91,0.0013645943909093
AZC3J_95,0.00147072529002516
AZC3J_99,0.00340900486890506
AZC5T_106,0.0311741415047346
AZC5T_115,0.00758835706093766
AZC5T_21,0.00238714764683879
AZC5T_22,0.00475981296091396
AZC5T_26,0.00344201556678969
AZC5T_64,0.0146059466134081
AZC5T_67,0.00283449160062173
AZC5T_69,0.0122605294345238
AZC5T_85,0.00139820658078168
AZC5T_87,0.00482847562229633
AZC5T_98,0.00276708112914125
AZC7E_107,0.00295510055967024
AZC7E_116,0.00657698530234712
AZC7E_16,0.00246883917978293
AZC7E_25,0.0124097283328979
AZC7E_29,0.00173669168764717
AZC7E_34,0.00195813861015795
AZC7E_4,0.0255959804014753
AZC7E_45,0.00430848429119078
AZC7E_47,0.0084397923622332
AZC7E_54,0.00529159434724242
AZC7E_60,0.00102795780624475
AZC7E_69,0.0075514712819517
AZC7E_70,0.00189264349759233
AZC7E_72,0.00921140795217697
AZC7E_74,0.00247757628131558
AZC7E_78,0.00357558283634643
AZC9C_108,0.00368184666008299
AZC9C_110,0.00361639390555153
AZC9C_115,0.0020341699897801
AZC9C_25,0.00164768068021287
AZC9C_3,0.00305087838795009
AZC9C_30,0.00130256280428662
AZC9C_34,0.00240629544993224
AZC9C_6,0.00215509870821034
AZC9C_60,0.00124372869774679
AZC9C_68,0.00302861786514207
AZC9C_69,0.00693605739780125
AZC9C_7,0.0143872483115315
AZC9C_80,0.00146662464796592
AZC9C_81,0.00147866045236602
AZC9C_91,0.00185009762538068
AZC9C_96,0.00231123906891392
AZC9C_97,0.00302932707500023
AZC9C_98,0.00115099587247535
