taxon,D-15Fryst_vs_16-0,D-6Fresk_vs_78-0,D-14_vs_24-0,D-3_vs_22-0,D-2_vs_71-0,D-4_vs_37-0,D-10_vs_12-0,D-14_vs_19-0,D-5Fryst_vs_36-0,D-4_vs_56-0,D-9Fryst_vs_3-0,D-5Fryst_vs_12-0,D-6Fresk_vs_24-0,D-14_vs_78-0,D-10_vs_36-0,D-14_vs_3-0,D-15Fryst_vs_77-0,D-15Fryst_vs_32-0,D-6Fresk_vs_19-0,D-9Fryst_vs_23-0,D-15Fryst_vs_75-0,D-15Fryst_vs_30-0,D-15Fryst_vs_88-0,D-13U_vs_22-0,D-2_vs_12-0,D-4_vs_54-0,D-4_vs_11-0,D-7Fryst_vs_78-0,D-10_vs_71-0,D-9Fryst_vs_59-0,D-4_vs_70-0,D-2_vs_36-0,D-5Fryst_vs_71-0,D-12_vs_18-0,D-7Fryst_vs_19-0,D-7Fryst_vs_24-0,D-12_vs_25-0,D-5Fryst_vs_88-0,D-5Fryst_vs_75-0,D-5Fryst_vs_30-0,D-12_vs_59-0,D-2_vs_32-0,D-2_vs_77-0,D-4_vs_89-0,D-4_vs_31-0,D-3_vs_19-0,D-3_vs_24-0,D-14_vs_22-0,D-4_vs_90-0,D-15Fryst_vs_71-0,D-9Fryst_vs_25-0,D-10_vs_88-0,D-9Fryst_vs_18-0,D-6Fresk_vs_22-0,D-10_vs_30-0,D-10_vs_75-0,D-3_vs_78-0,D-2_vs_16-0,D-13U_vs_19-0,D-10_vs_32-0,D-10_vs_77-0,D-5Fryst_vs_16-0,D-15Fryst_vs_36-0,D-13U_vs_24-0,D-7Fryst_vs_22-0,D-15Fryst_vs_12-0,D-12_vs_23-0,D-5Fryst_vs_77-0,D-5Fryst_vs_32-0,D-10_vs_16-0,D-13U_vs_78-0,D-2_vs_88-0,D-4_vs_33-0,D-2_vs_30-0,D-2_vs_75-0,D-10_vs_70-0,D-5Fryst_vs_11-0,D-5Fryst_vs_54-0,D-12_vs_78-0,D-2_vs_56-0,D-15Fryst_vs_31-0,D-15Fryst_vs_89-0,D-13U_vs_23-0,D-7Fryst_vs_25-0,D-12_vs_24-0,D-5Fryst_vs_70-0,D-12_vs_19-0,D-10_vs_54-0,D-10_vs_11-0,D-7Fryst_vs_18-0,D-15Fryst_vs_90-0,D-3_vs_59-0,D-4_vs_71-0,D-2_vs_37-0,D-10_vs_56-0,D-14_vs_18-0,D-5Fryst_vs_37-0,D-2_vs_70-0,D-4_vs_36-0,D-3_vs_23-0,D-14_vs_25-0,D-15Fryst_vs_33-0,D-9Fryst_vs_22-0,D-6Fresk_vs_18-0,D-5Fryst_vs_56-0,D-6Fresk_vs_25-0,D-13U_vs_59-0,D-10_vs_37-0,D-4_vs_12-0,D-2_vs_54-0,D-2_vs_11-0,D-15Fryst_vs_37-0,D-6Fresk_vs_59-0,D-6Fresk_vs_3-0,D-13U_vs_25-0,D-2_vs_90-0,D-2_vs_3-0,D-4_vs_16-0,D-13U_vs_18-0,D-10_vs_33-0,D-2_vs_89-0,D-4_vs_32-0,D-4_vs_77-0,D-2_vs_31-0,D-5Fryst_vs_33-0,D-14_vs_59-0,D-7Fryst_vs_23-0,D-15Fryst_vs_56-0,D-12_vs_22-0,D-10_vs_90-0,D-15Fryst_vs_11-0,D-15Fryst_vs_54-0,D-14_vs_23-0,D-3_vs_25-0,D-2_vs_33-0,D-4_vs_88-0,D-3_vs_18-0,D-4_vs_30-0,D-4_vs_75-0,D-7Fryst_vs_59-0,D-5Fryst_vs_89-0,D-5Fryst_vs_31-0,D-9Fryst_vs_78-0,D-7Fryst_vs_3-0,D-10_vs_89-0,D-6Fresk_vs_23-0,D-9Fryst_vs_19-0,D-10_vs_31-0,D-5Fryst_vs_90-0,D-15Fryst_vs_70-0,D-9Fryst_vs_24-0,D-9Fryst_vs_90-0,D-6Fresk_vs_12-0,D-5Fryst_vs_24-0,D-4_vs_25-0,D-4_vs_18-0,D-3_vs_30-0,D-3_vs_75-0,D-3_vs_88-0,D-12_vs_70-0,D-5Fryst_vs_19-0,D-14_vs_36-0,D-10_vs_78-0,D-7Fryst_vs_71-0,D-13U_vs_16-0,D-13U_vs_77-0,D-10_vs_19-0,D-13U_vs_32-0,D-9Fryst_vs_89-0,D-14_vs_12-0,D-12_vs_11-0,D-9Fryst_vs_31-0,D-12_vs_54-0,D-5Fryst_vs_78-0,D-6Fresk_vs_36-0,D-10_vs_24-0,D-6Fresk_vs_71-0,D-3_vs_16-0,D-2_vs_78-0,D-9Fryst_vs_33-0,D-12_vs_56-0,D-13U_vs_88-0,D-15Fryst_vs_22-0,D-13U_vs_75-0,D-13U_vs_30-0,D-7Fryst_vs_12-0,D-2_vs_19-0,D-3_vs_32-0,D-3_vs_77-0,D-7Fryst_vs_36-0,D-14_vs_71-0,D-12_vs_37-0,D-10_vs_3-0,D-2_vs_24-0,D-14_vs_88-0,D-9Fryst_vs_56-0,D-12_vs_33-0,D-7Fryst_vs_77-0,D-7Fryst_vs_32-0,D-14_vs_75-0,D-14_vs_30-0,D-3_vs_36-0,D-4_vs_23-0,D-5Fryst_vs_22-0,D-6Fresk_vs_75-0,D-6Fresk_vs_30-0,D-10_vs_22-0,D-6Fresk_vs_88-0,D-13U_vs_71-0,D-7Fryst_vs_16-0,D-9Fryst_vs_37-0,D-3_vs_12-0,D-9Fryst_vs_70-0,D-15Fryst_vs_24-0,D-13U_vs_36-0,D-14_vs_16-0,D-13U_vs_3-0,D-12_vs_90-0,D-6Fresk_vs_77-0,D-6Fresk_vs_32-0,D-15Fryst_vs_19-0,D-2_vs_22-0,D-6Fresk_vs_16-0,D-15Fryst_vs_78-0,D-14_vs_77-0,D-14_vs_32-0,D-7Fryst_vs_75-0,D-13U_vs_12-0,D-7Fryst_vs_30-0,D-12_vs_89-0,D-9Fryst_vs_54-0,D-12_vs_31-0,D-9Fryst_vs_11-0,D-7Fryst_vs_88-0,D-4_vs_3-0,D-5Fryst_vs_3-0,D-4_vs_59-0,D-3_vs_71-0,D-9Fryst_vs_32-0,D-9Fryst_vs_77-0,D-12_vs_12-0,D-13U_vs_89-0,D-15Fryst_vs_23-0,D-3_vs_3-0,D-14_vs_11-0,D-14_vs_54-0,D-13U_vs_31-0,D-7Fryst_vs_56-0,D-6Fresk_vs_70-0,D-2_vs_25-0,D-6Fresk_vs_11-0,D-6Fresk_vs_54-0,D-13U_vs_90-0,D-7Fryst_vs_37-0,D-14_vs_70-0,D-9Fryst_vs_16-0,D-12_vs_36-0,D-2_vs_18-0,D-3_vs_33-0,D-12_vs_71-0,D-5Fryst_vs_18-0,D-14_vs_37-0,D-7Fryst_vs_70-0,D-3_vs_31-0,D-4_vs_19-0,D-3_vs_89-0,D-4_vs_24-0,D-12_vs_3-0,D-15Fryst_vs_3-0,D-6Fresk_vs_56-0,D-5Fryst_vs_25-0,D-3_vs_90-0,D-6Fresk_vs_37-0,D-15Fryst_vs_59-0,D-10_vs_25-0,D-7Fryst_vs_11-0,D-10_vs_18-0,D-13U_vs_33-0,D-7Fryst_vs_54-0,D-9Fryst_vs_88-0,D-14_vs_56-0,D-9Fryst_vs_30-0,D-9Fryst_vs_75-0,D-4_vs_78-0,D-6Fresk_vs_33-0,D-15Fryst_vs_18-0,D-7Fryst_vs_90-0,D-3_vs_54-0,D-3_vs_11-0,D-9Fryst_vs_71-0,D-15Fryst_vs_25-0,D-13U_vs_37-0,D-10_vs_59-0,D-3_vs_70-0,D-14_vs_33-0,D-7Fryst_vs_31-0,D-13U_vs_56-0,D-12_vs_88-0,D-12_vs_75-0,D-12_vs_30-0,D-7Fryst_vs_89-0,D-5Fryst_vs_59-0,D-2_vs_23-0,D-5Fryst_vs_23-0,D-4_vs_22-0,D-3_vs_37-0,D-2_vs_59-0,D-14_vs_89-0,D-9Fryst_vs_12-0,D-12_vs_77-0,D-12_vs_32-0,D-7Fryst_vs_33-0,D-13U_vs_11-0,D-13U_vs_54-0,D-6Fresk_vs_90-0,D-14_vs_31-0,D-3_vs_56-0,D-13U_vs_70-0,D-9Fryst_vs_36-0,D-12_vs_16-0,D-6Fresk_vs_31-0,D-14_vs_90-0,D-10_vs_23-0,D-6Fresk_vs_89-0
435590,223597,77786,185896,124519,125325,85887,68977,101682,77988,66628,45427,55083,122295,80294,92134,36863,99193,102186,189966,104177,98475,169295,251641,110306,65622,54726,78444,75041,179748,43095,35732,97482,107460,76960,20607,106707,57178,119711,42408,41027,60526,122599,60053,170705,152132,360079,150716,91111,250655,174530,65576,208437,66973,132443,188055,118029,70313,34643,254954,113683,95252,37383,123694,158616,119745,61818,82446,66289,128117,256414,59972,130623,133521,119583,37847,129314,86103,64204,79981,70474,186017,162232,101140,42375,159418,51787,189785,57399,71234,48508,36072,73069,116615,80602,182595,92402,88252,56639,93925,94182,61398,142676,111880,67922,72555,51926,68099,53984,64818,60887,82350,55413,54208,124733,65294,189836,44571,33366,80612,133959,162681,129756,62615,150921,135794,34443,89403,108219,131694,142004,67490,89208,82719,54666,135261,157233,83928,57331,41465,37720,166654,144628,65081,30222,123020,81996,196481,155466,200296,104036,132549,244411,63226,131892,60782,55353,159704,85412,222776,105254,137535,87779,73703,41469,135743,121141,240473,97560,135225,57830,55522,134679,70994,73802,81601,146544,160957,256414,68736,147589,121868,175205,139860,37950,108257,55255,160653,78533,95769,64930,73040,83421,111944,135491,200813,85092,148461,62419,129934,66143,104715,97791,104177,127386,128355,207653,124837,133073,115301,10848,80357,57473,50721,181677,124102,75876,47374,111055,88594,137401,176040,114162,71809,96014,89818,92795,46899,59292,42619,53077,58113,106770,175585,99994,27596,41711,49109,170561,128633,128162,63126,127406,65214,108832,150975,63836,139954,62002,121736,61304,56800,70989,304824,113013,51174,109557,76184,61181,65050,121167,66921,73271,36765,151568,147320,115898,111018,106108,104513,118224,57554,162225,83681,84654,59015,39137,77414,141777,60861,165873,97106,125100,30995,68736,125917,105024,207700,61332,72996,114062,75735,70678,62735,142795,183428,66365,71581,132957,115821,180742,122774,50159,94785,90133,115515,58778,49912,49307,56721,83574,121874,146434,72996,62908,29884,72584,122293,52118,114699,71809,127059,443573,93926,47495
435591,29742,28826,18187,9594,33773,16663,13148,54242,16404,14682,32929,9468,22317,19585,21916,33054,8759,20958,74027,61073,27916,23456,61925,8199,10264,19474,91431,19059,24512,10705,19437,14723,34323,25936,54703,21298,22749,63453,9748,9906,8768,19145,1373,4535,16378,56223,25125,8120,34190,36859,15518,64216,19843,10056,63251,41598,26973,24148,61954,15133,15130,23997,23850,27694,8386,17586,53720,1371,19145,28067,19417,55548,32122,15140,15075,38919,109876,19200,13020,16934,23881,15796,57719,10811,29296,24620,18779,24748,52009,14261,23639,13898,34181,13549,38909,18757,10679,21533,13872,54342,16762,14598,8120,34401,13804,25266,8834,19570,12602,19547,40334,9777,10540,22622,35267,32099,30863,21159,29505,20360,4688,16453,1109,15826,21656,2042,55793,31031,8891,59327,67378,32498,63819,36136,21990,62818,28700,10516,9205,1222,4311,16254,18231,20353,14821,53513,62467,33022,37409,36242,15962,27193,11697,18743,14993,21462,43017,34917,51804,36469,69924,15290,23236,17043,43681,17043,58847,13103,8135,11030,54018,12270,27541,10122,29001,24271,24269,30762,8894,21796,43401,75368,7915,8979,20776,9856,64879,17467,14140,16692,31246,8526,32290,18032,58961,10568,20845,1516,12879,13831,17958,24693,62530,6679,37062,64810,10596,57975,23134,37092,21747,13431,18094,31058,37373,21638,26179,27618,13675,31964,72903,6894,34490,9949,1994,12879,8869,18107,15249,10924,18388,33033,39252,78016,24596,30358,1056,21619,14987,2057,16403,13482,56883,31311,39652,17646,31402,9847,34364,16426,48938,36468,28115,19010,18094,20573,23782,13418,19518,25126,17428,21194,12874,35625,62094,14145,22713,39765,32302,40944,16396,60680,17199,4876,31264,39624,30368,24068,19890,57287,13502,18622,13529,12030,24138,29278,36014,24131,56816,23819,24235,21242,13874,38467,20025,11430,10748,54619,39709,35718,2697,1054,67371,67371,8454,19611,1055,8669,9930,14522,20151,42970,54913,24602,30672,12119,38709,15846,37234,30832,32860,26017,50552,24403
445970,240680,203956,36971,139882,117567,126095,134522,175708,139068,71485,92096,80967,233371,208533,249061,113567,67942,92548,61710,253846,276739,321657,247732,164882,80967,97589,343312,97090,214791,195948,58603,128902,124453,128828,61215,15189,262547,116795,82123,84419,324684,134436,15565,224189,132214,36239,172516,189057,186627,263398,172962,207052,26723,191301,268080,226327,197655,88241,74594,106811,80769,71560,268602,55168,90150,174245,254835,14361,145014,274451,183803,150020,172617,104075,94359,124026,266820,100634,200775,70660,255551,256562,254813,108706,131812,70777,44229,243188,177788,11292,149840,255571,134085,100338,153148,16680,105413,67866,133926,218729,224707,237935,208802,181922,77645,295241,243398,113797,101855,97589,318477,155345,257045,203240,211959,182570,144212,82622,38301,209965,215491,149135,13477,136575,202839,94641,161592,242544,162434,188541,164756,229729,291055,198725,191884,117745,173736,79700,77347,63840,214193,105243,232921,108399,257944,265014,117849,208655,193629,165560,43540,307981,134080,18714,130671,16423,223482,145069,210930,97300,73144,245274,192373,82535,243461,124523,36280,123522,321126,114415,177788,164866,198854,95827,236850,231515,219183,300240,100225,268731,157622,184438,219382,106665,158405,99629,72902,108166,41857,127894,180148,134152,178738,22249,242897,112252,242967,10575,178276,173887,227087,193757,156945,91823,181712,307209,167535,213741,137132,23222,194930,126137,105860,203386,269271,90710,143335,194744,68818,101810,86145,92643,173657,278832,20091,132392,72945,145255,72377,111527,127305,189530,249793,110496,102448,145214,101668,207879,120523,25700,134268,301876,267339,185533,174908,192193,172966,49217,125714,130671,174196,172262,252555,111883,138938,182810,218623,11619,103170,209445,14142,259636,55996,195320,72399,192041,22244,203541,131468,183439,112956,172960,154357,242887,210293,153484,188284,172751,95377,219281,152861,171177,132987,98146,216800,155651,143591,174087,185696,150694,309862,107060,347441,82549,276007,99518,78435,204731,183577,302958,124977,96167,162071,178433,96624,97089,111085,313889,117587,87673,94082,168350,174884,244631,121765,202559,106220,75561,246925,173499,199717,378391,258273,111180
445972,13716,10381,7571,16378,4661,6079,21820,19806,18267,22462,20902,18773,6362,11314,13687,19325,6019,10773,14843,5846,12098,21426,12420,9610,25382,8856,17154,8809,3381,21480,11555,18742,6568,2157,14752,11117,22204,12430,12663,21942,17315,14698,3290,5059,17030,5579,4117,9559,3434,4138,15587,9145,1035,5972,15204,10830,12527,39481,12192,13592,5984,21236,21201,4250,3236,25216,24348,2844,17216,8444,8451,7595,6934,28716,12731,9970,14284,8772,11041,15024,10403,35579,18266,20367,10168,16430,5649,10171,66184,1215,2638,18879,6672,14570,8334,1441,5708,13488,18421,16796,24413,4637,3126,1903,23125,20083,24791,4871,18739,9331,3166,5034,12947,3817,14795,6104,17598,23480,712,5648,9476,16801,2944,16911,5120,24732,5825,14537,14399,4839,70177,13269,20592,21775,14456,12769,1037,21339,12833,28711,5318,17845,7687,16396,11865,7185,5910,5798,3059,9783,10140,5163,13724,9744,22194,1013,14937,9474,7268,8930,6229,20957,11773,5373,27124,3164,5328,15554,4032,23455,70177,17200,13455,7281,8464,6024,4200,10093,8840,5698,16693,9216,14040,17063,26731,19319,16738,12106,5983,23729,4749,24955,6301,7084,8248,22158,12338,2937,17098,10461,18804,9145,5819,3273,4713,9762,12818,4795,4285,19634,1513,19862,15506,8018,12293,29834,15860,2526,3636,12322,34601,10917,46347,10629,3336,18189,12142,16691,20637,4914,9652,15672,6346,15924,14079,20317,20433,1627,14105,1715,24771,5204,22229,4350,13214,8445,13429,17519,5972,31330,60069,6279,4406,6037,8897,17084,20743,778,3669,6015,1008,15279,10568,6363,6380,2240,8860,9300,7325,5796,22370,4342,16867,24541,19997,23901,1203,8497,11230,3430,14113,25929,20398,9016,3105,1627,2577,7545,69481,7077,23124,36472,24967,9953,12115,13252,18064,9398,12534,23045,11316,19756,23399,6044,4124,6345,25017,8839,15175,5192,10626,4203,61626,5465,1685,13716,10521,12740,5118,73954,5526,6789,17557,1541
445973,3883,6505,2762,3623,10483,2277,4513,2428,0,966,4437,0,2327,6539,5801,9171,9586,2948,1314,667,1711,1752,1464,3697,1718,805,1803,0,3756,3049,1861,6393,0,3070,0,0,11556,0,0,0,15765,2718,6857,1136,2168,1925,1604,3236,668,4801,570,673,684,3084,1546,1562,9219,5963,2669,3018,6957,0,9912,3264,0,4639,9975,0,0,1186,6757,939,4938,2113,1983,3107,0,0,13827,2092,3484,2974,1570,0,10080,0,11424,1444,1614,0,3459,2696,6881,4178,1220,721,0,2743,6966,1300,1038,3715,2547,608,0,1363,6004,2715,1790,1073,2931,4540,944,3395,1031,1722,9615,4079,480,2596,1712,2122,7398,4037,0,5480,0,1971,7738,671,2417,2718,1697,2484,9225,678,409,1305,1319,0,0,0,3580,0,1944,546,1177,1558,0,2162,1591,1139,3454,0,669,817,1552,1575,783,5122,0,7326,9844,0,4860,4743,807,2726,1193,1625,6070,2328,5211,0,4476,2485,3717,2372,6793,4764,4861,1263,3901,1419,1511,0,1722,3240,7117,0,10980,7372,3882,2927,1055,1132,8852,0,0,2609,1985,5574,682,0,1013,828,2404,881,9567,0,1493,4274,1729,3255,4398,6328,6950,8242,6922,2853,3133,3753,3207,9014,5753,3013,0,5022,0,11534,891,8293,1672,0,5933,0,2897,3205,2110,3404,2457,1727,1577,4001,2684,1108,3163,0,1352,1043,2253,926,1060,0,2836,3315,10558,572,2724,9331,0,3877,0,3853,806,1532,2482,6036,5202,1348,0,1113,2320,4527,2408,0,436,5698,0,663,1850,1323,1114,3952,2113,957,0,2020,2395,6681,2173,4584,1388,1967,9436,0,1688,4411,5102,4472,0,0,1575,0,2442,3183,6143,3505,3407,14273,10663,0,2831,982,744,2799,1997,1830,4283,6741,1849,1744,320,1332
449673,21571,63918,13547,25707,18941,87593,85990,37041,21375,23718,22252,39859,61910,27021,60529,15651,31586,29345,55234,29177,65888,37903,31773,29685,39646,47656,71443,55023,37515,64401,24548,26865,21237,50238,17581,9267,80518,49587,64699,17483,31025,58515,19060,40512,35852,111231,60700,29163,70190,27449,68357,48924,14573,25707,79918,113737,65458,93220,37404,55271,53153,68278,31520,27176,33689,59483,29417,16518,57383,125133,19224,77810,84713,45775,159652,67261,67719,51100,34726,20131,32527,35318,28463,72450,46025,40459,18414,55000,68227,12194,18891,76661,20696,75221,54395,12289,88760,46843,21375,35903,55783,20648,32546,64429,23169,124260,42301,118060,39806,48196,65263,59187,105764,39794,77622,59626,20552,65455,51300,44886,35583,42659,19031,28311,80972,30309,33553,23016,20544,35693,33776,26010,22386,128531,60279,49215,56872,17398,58447,14631,42915,36621,28100,12308,65313,35132,69905,76062,70319,24530,16249,33715,104104,22946,75579,25627,72751,156459,72574,40884,106208,12995,47432,8494,75440,33472,73965,42951,71339,38302,44135,13140,38925,51278,70462,49300,49534,135637,61181,60704,33366,42830,20434,77314,24409,39280,88828,50552,58929,37313,8523,65195,46005,14961,35731,11981,33231,20391,54588,70049,18501,79161,63168,29650,160710,88012,22018,62195,9596,40974,123637,98792,32945,37770,51439,53585,12752,19181,68905,50799,22726,29868,63564,43848,38510,34956,54227,96775,22992,38377,31218,57125,122661,37401,11467,31458,116815,41859,52814,48679,89720,42030,28067,70185,65880,21759,53330,9612,76767,77972,51589,79315,33622,44120,21212,134292,44782,26870,38793,32229,25627,75697,28942,46095,108277,90572,29951,25453,24336,51658,76770,37956,41511,37721,98181,67343,40515,39985,52195,34790,11907,28866,93224,51278,45868,28612,56774,80285,61427,9534,42629,107283,92763,79455,50853,8882,11176,39614,103440,71955,27622,117331,37131,63168,29623,78977,69691,50936,50416,37461,38458,62305,43895,51235,39790,12826,50248,28778,65422,47348,45996,33497,33865,80900
450749,213,385,83,0,0,0,0,286,225,0,367,353,1995,174,0,312,2884,3341,934,608,137,94,192,372,0,0,0,142,0,4151,0,0,6375,12763,135,195,1778,131,165,140,1283,0,0,0,0,0,0,391,0,3464,351,0,7283,1338,0,0,0,0,237,0,0,146,1393,88,212,430,298,1229,814,0,161,0,0,0,0,0,142,98,220,0,2545,182,356,568,178,480,188,0,0,19832,1700,0,0,0,0,9801,178,0,0,0,374,216,1666,5985,261,4110,961,0,0,0,0,344,12649,128,316,0,0,0,8627,0,0,0,0,0,126,498,161,101,849,0,459,453,209,0,0,0,0,0,0,666,250,2137,418,150,0,700,1494,0,1185,234,101,3863,916,120,0,0,0,0,0,895,157,324,0,2574,188,1441,0,1445,989,331,475,2578,424,147,2718,0,4071,0,0,597,436,321,741,142,101,366,0,0,0,843,5147,303,0,0,143,181,360,1603,1394,266,255,0,0,145,164,144,0,547,3890,87,643,0,714,201,560,137,78,2085,6536,5693,266,0,1400,216,1436,1406,153,570,136,146,104,2331,811,517,0,336,0,0,4010,1985,442,232,286,0,164,82,2216,140,314,0,1745,1566,1181,124,479,622,1270,0,0,3578,5899,328,265,0,0,0,0,118,89,1592,371,0,754,882,0,232,0,218,379,89,253,323,482,0,1899,11095,1111,0,0,3748,1714,309,0,0,140,4618,95,181,422,400,185,718,0,103,0,0,0,365,1589,3861,3432,84,391,98,10715,2077,0,221,304,205,6836,1400,0,1020
457393,93483,0,86013,0,0,0,75808,77789,0,0,196741,0,0,228573,164073,131696,116665,207874,0,162812,141687,239075,577398,47476,0,0,0,0,36870,143689,0,0,0,117800,0,0,363196,0,0,0,134694,0,0,0,0,0,0,47476,0,36870,270032,401787,74648,0,225943,129432,0,0,77287,207874,119681,0,179300,169276,0,84924,194960,0,0,93483,225139,0,0,0,0,170089,0,0,225988,0,106622,333819,166550,0,135161,0,45533,160721,61184,0,80001,0,0,0,149050,74246,0,0,0,0,235963,119316,47476,0,0,0,180550,58015,0,0,0,58015,0,0,260965,0,0,0,129375,204432,0,0,0,0,0,144139,0,160127,44934,263059,61184,90790,162812,0,0,0,0,0,0,0,0,0,228573,0,333178,0,78397,114348,0,168388,85519,570139,0,0,0,0,0,0,0,151413,0,118426,229317,0,81806,125734,68950,189931,574299,45841,61184,90251,131843,0,0,138558,0,0,0,452585,121628,247940,44934,64909,173611,0,0,0,0,0,32745,95106,298162,0,290218,61204,180154,0,0,61816,140075,0,0,0,0,0,44934,0,34925,0,76515,0,73422,122803,136140,36027,153747,203468,0,0,67017,0,0,229082,136840,189931,0,80162,0,102990,100416,112107,106830,0,0,0,0,0,189931,138025,78575,565514,169955,0,100571,100881,115451,0,0,0,0,0,392473,0,73422,80891,200588,0,0,48993,0,79936,0,0,0,0,0,280638,188880,0,0,0,0,165288,282752,0,123836,140802,0,287088,51355,144757,64118,0,0,116172,0,0,0,34433,263835,68127,190929,0,332326,0,64832,429001,119670,236783,0,0,0,0,0,0,0,491782,47357,125502,204256,0,57962,115736,0,97317,0,76454,130736,55136,0,475116,172393,0
457412,66135,75394,33904,55186,52085,19046,37170,36105,17140,96142,68632,46026,27613,101218,28799,46931,306137,25056,23733,32902,41177,38412,28474,52558,43479,36908,41845,102264,53594,60290,17902,16669,46813,46180,27529,67128,42503,17139,29792,24575,47957,32747,176193,37483,25973,42488,39229,47349,10208,44312,51199,28875,63025,54058,29166,40461,133249,160174,33413,24119,314087,96680,20039,37496,53364,33424,30657,164733,29899,68853,70718,30585,31828,34168,41271,43283,39450,34903,103148,74234,26781,100681,32828,42629,29870,27230,21464,55405,108371,90609,17664,46092,47944,47457,68348,67960,22257,20461,16920,31508,48767,23676,55796,49730,89327,31462,45299,19270,46026,21948,13045,19820,52753,64049,40584,14117,62956,96680,51809,21528,30596,31452,164750,17777,29016,53305,30312,87919,52014,16371,125527,29061,26954,36874,25796,19369,65838,24623,29194,61703,37237,21938,90373,117472,107910,29323,41941,35023,11159,16242,33435,19554,47156,35615,46273,67786,30712,36363,25268,41893,32823,16097,89768,43882,120111,275874,26058,32212,38864,43714,111822,14874,69175,85901,27973,25879,60264,46201,102767,27551,83180,32079,49435,47032,39562,47280,41097,34728,219130,32802,46204,56571,54724,33191,35378,88607,23942,61244,38049,44610,35022,25667,32335,61470,35620,36436,49733,27959,31816,34279,22875,35131,30898,29621,30978,168797,44563,17760,386326,31927,35432,43529,133269,98351,167832,30153,42088,70508,36417,39696,32858,38514,26202,23603,68740,69606,48454,36833,30832,153343,36881,33682,28290,54343,13491,26550,39101,151025,46352,50185,140797,65821,30211,21315,27525,118612,26719,48010,22027,35562,67442,40467,13721,20589,32716,37708,39615,73670,49485,79544,49174,23004,58408,40871,42354,62632,73707,20285,42539,26023,72610,37290,47920,96767,20389,46956,9246,25391,112936,46208,40154,64654,41447,24736,24829,12441,85995,30084,47083,39578,36244,48454,26954,31991,55214,16266,57389,24296,43308,369665,31867,30158,138775,85048,29773,11729,73902,37021,23343,136377,35048,15132,27018,32913
457424,20086,46397,33661,13689,19361,50066,10551,39049,24331,12148,45550,7933,39048,39421,71858,35093,18785,20871,63576,50427,32801,35621,23583,18384,5576,25135,139564,48412,34843,33161,30683,21570,25526,41433,24985,20981,55328,9621,4040,15888,39109,20027,18159,32927,21007,95140,41215,16801,35698,33900,43695,43509,13482,14544,56999,39237,46976,33722,72871,60049,41738,33094,56234,65565,17760,10732,42826,18629,26986,42170,31846,28563,52806,26275,8370,38303,165219,20667,47828,12352,33519,27719,52998,57950,51386,37943,58703,52709,66763,6425,25887,32541,25003,49823,28292,11936,54517,39866,17494,44001,38687,21864,17248,37598,13033,45921,48263,99817,5929,25200,170416,50022,39434,50650,80842,37317,27118,32202,49846,51027,22883,21688,17500,20913,53363,35911,42421,30795,14485,57607,26350,44674,46618,52209,47979,10955,36328,12825,3504,15142,33051,27858,44639,20329,23326,44534,80809,51248,43862,35244,31505,58532,10314,29584,45246,13309,54300,35888,43509,30028,89842,24331,46397,16721,81549,26103,86008,64878,35411,5466,68044,24312,59602,47523,75162,43515,34521,46801,39070,79754,28878,37690,15145,7150,29549,7775,82148,48756,29279,26314,20708,44464,52833,26777,29509,8825,81854,18570,21688,7799,19701,85510,36824,16997,38139,55176,13613,39645,22167,30978,93940,11127,33909,31475,83800,33257,42276,45984,31736,33376,68618,17562,32849,34626,14792,19533,5337,13881,17020,19845,27590,53582,79018,11221,20412,29367,55731,34546,60308,18265,10570,45899,30758,54334,155611,23633,61478,9081,33346,50165,72653,58872,74014,35876,39800,37558,71319,11972,41703,53306,18884,49251,24472,48363,75568,30688,21188,52583,29459,29433,47947,56758,49250,26852,52209,84686,49887,87395,18928,43426,13145,28298,9660,39421,36651,29365,46330,53351,68044,27676,42549,65132,33083,37187,50245,14001,13513,39327,44102,56976,6182,47651,39758,40904,17309,90021,52137,33095,5811,38989,46515,50687,114671,65535,42019,25766,28071,38911,75246,32540,54171,45920,48172,20857
