taxon_id,77-6,22-6,90-6,16-0,D-6Fresk,78-6,12-6,11-6,75-0,89-6,89-0,31-0,12-0,D-7Fryst,D-15Fryst,24-6,88-0,D-13U,D-4,19-6,24-0,18-0,3-6,77-0,D-12,25-6,25-0,11-0,D-9Fryst,30-6,D-3,32-6,D-10,32-0,56-6,56-0,59-6,3-0,D-2,59-0,30-0,31-6,22-0,90-0,D-5Fryst,18-6,88-6,D-14,78-0,16-6,19-0,75-6
465515,5.088766927662978e-05,0.0003926765030795,2.1236586391034475e-05,1.763037360765126e-05,8.013806185296028e-07,4.407593401912816e-05,7.212425566766425e-05,0.0001258167571091,2.8048321648536098e-06,3.0452463504124905e-05,2.8048321648536097e-05,3.445936659677292e-05,1.0417948040884836e-05,7.2124255667664254e-06,7.2124255667664254e-06,5.329181113221858e-05,2.684625072074169e-05,2.003451546324007e-06,1.4024160824268048e-05,9.616567422355234e-06,2.003451546324007e-05,5.2089740204424185e-05,2.283934762809368e-05,6.411044948236822e-06,2.4041418555888085e-05,4.848352742104097e-05,6.010354638972021e-06,0.0001270188280369,3.205522474118411e-06,2.4842799174417687e-05,1.4424851133532853e-05,8.85525583475211e-05,6.010354638972021e-06,2.003451546324007e-06,4.087041154500974e-05,3.205522474118411e-06,3.4860056906037725e-05,2.163727670029928e-05,6.010354638972021e-06,2.163727670029928e-05,2.9250392576330503e-05,1.763037360765126e-05,1.2020709277944042e-06,0.0001121932865941,5.208974020442418e-06,0.00013623470515,6.731597195648664e-05,3.365798597824332e-05,3.365798597824332e-05,2.4842799174417687e-05,1.162001896867924e-05,8.013806185296028e-07
469602,4.565734708897887e-07,3.652587767118309e-06,3.1960142962285203e-06,2.739440825338732e-06,4.565734708897887e-07,3.1960142962285203e-06,4.565734708897887e-06,1.8262938835591543e-06,1.8262938835591543e-06,2.739440825338732e-06,2.1915526602709856e-05,9.131469417795771e-06,8.218322476016195e-06,2.2828673544489437e-06,4.565734708897887e-07,1.9632659248260912e-05,1.050118983046514e-05,0.0,3.1960142962285203e-06,6.392028592457041e-06,1.9176085777371125e-05,4.109161238008097e-06,9.131469417795772e-07,0.0009423676439165,1.369720412669366e-05,1.9176085777371125e-05,9.131469417795772e-07,7.305175534236618e-06,4.565734708897887e-07,1.050118983046514e-05,5.022308179787675e-06,9.131469417795772e-07,9.131469417795772e-07,1.8262938835591543e-06,1.369720412669366e-06,1.369720412669366e-06,4.565734708897887e-07,6.392028592457041e-06,2.739440825338732e-06,1.8262938835591543e-06,2.1915526602709856e-05,3.1960142962285204e-05,9.131469417795772e-07,2.1915526602709856e-05,9.131469417795772e-07,0.0,1.0957763301354928e-05,2.2828673544489437e-06,2.282867354448943e-05,4.565734708897887e-06,4.109161238008097e-06,1.369720412669366e-06
1002364,1.6390141084285686e-06,4.097535271071422e-07,1.84389087198214e-06,4.097535271071422e-07,2.048767635535711e-07,0.0094468675674551,6.146302906607132e-07,3.2985158932124944e-05,0.0,3.89265850751785e-06,8.195070542142843e-07,4.097535271071422e-07,1.0243838177678554e-06,1.6390141084285686e-06,4.097535271071422e-07,1.84389087198214e-06,5.531672615946419e-06,0.0,1.84389087198214e-06,1.4341373448749974e-06,3.482904980410708e-06,1.4341373448749974e-06,1.0243838177678554e-06,0.0003036273635863,2.663397926196424e-06,2.458521162642853e-06,6.146302906607132e-07,1.0243838177678554e-06,1.0243838177678554e-06,1.6390141084285686e-06,2.663397926196424e-06,0.0,2.048767635535711e-06,0.0,8.195070542142843e-07,4.097535271071422e-07,2.048767635535711e-07,2.048767635535711e-07,1.4341373448749974e-06,4.097535271071422e-07,1.84389087198214e-06,1.0243838177678554e-06,0.0,3.2780282168571373e-06,1.2292605813214264e-06,2.048767635535711e-07,3.073151453303566e-06,4.097535271071422e-07,1.1063345231892838e-05,5.73654937949999e-06,6.146302906607132e-07,0.0
469599,4.043905490693558e-06,8.087810981387116e-07,3.2351243925548465e-06,2.021952745346779e-06,1.2131716472080671e-06,8.087810981387116e-06,1.6175621962774233e-06,6.470248785109693e-06,3.639514941624202e-06,2.021952745346779e-06,2.4667823493230705e-05,2.021952745346779e-05,1.3749278668358098e-05,2.021952745346779e-06,1.6175621962774233e-06,2.143269910067586e-05,1.0514154275803253e-05,4.043905490693558e-07,3.639514941624202e-06,3.639514941624202e-06,1.536684086463552e-05,8.087810981387116e-07,6.470248785109693e-06,0.0004233969048756,1.0109763726733896e-05,2.4263432944161348e-05,2.4263432944161347e-06,4.852686588832269e-06,3.2351243925548465e-06,8.896592079525828e-06,1.6175621962774233e-06,8.087810981387116e-07,2.4263432944161347e-06,1.2131716472080671e-06,2.4263432944161347e-06,8.087810981387116e-07,1.6175621962774233e-06,1.2131716472080674e-05,1.6175621962774233e-06,3.2351243925548465e-06,2.345465184602264e-05,2.0623918002537145e-05,1.6175621962774233e-06,7.68342043231776e-06,1.6175621962774233e-06,4.043905490693558e-07,1.2940497570219386e-05,2.830733843485491e-06,6.470248785109693e-06,4.043905490693558e-07,4.852686588832269e-06,1.2131716472080671e-06
502347,4.4694801547632e-06,4.043815378119085e-06,0.0001466415155538,0.0,1.7452255842408685e-05,6.938335859299062e-05,3.320185257824091e-05,0.0021132127836497,3.618150601474971e-06,8.087630756238171e-05,7.661965979594056e-06,3.341468496656297e-05,5.320809708051428e-06,7.023468814627885e-06,6.384971649661714e-07,7.342717397110971e-05,9.57745747449257e-06,6.384971649661714e-07,1.106728419274697e-05,0.0001038622055011,4.4694801547632e-06,0.0054949066016988,5.959306873017599e-06,0.0008187661978749,4.4694801547632e-06,2.6178383763613023e-05,9.343341847338307e-05,4.682312543085257e-06,1.4685434794221942e-05,4.682312543085257e-06,2.7668210481867423e-05,4.256647766441142e-07,7.449133591271999e-06,2.128323883220571e-07,1.2769943299323428e-06,2.128323883220571e-07,1.702659106576457e-05,1.915491494898514e-06,2.298589793878217e-05,2.5539886598646852e-05,1.9580579725629256e-05,4.575896348924228e-05,4.256647766441142e-07,0.0002547603688215,9.790289862814628e-06,0.001044155697108,1.34084404642896e-05,6.1721392613396566e-06,0.0040035900567262,0.0001240812823917,1.0641619416102856e-06,9.790289862814628e-06
525367,5.019380600711748e-06,2.316637200328499e-06,5.405486800766498e-06,1.1583186001642496e-06,1.5444248002189997e-06,6.177699200875998e-06,5.791593000821248e-06,3.088849600437999e-06,3.8610620005474987e-07,5.791593000821248e-06,8.108230201149747e-06,1.1969292201697246e-05,7.336017801040247e-06,4.2471682006022485e-06,2.316637200328499e-06,8.108230201149747e-06,5.019380600711748e-06,0.0,5.019380600711748e-06,2.702743400383249e-06,1.1583186001642496e-05,1.9305310002737494e-06,1.9305310002737494e-06,1.3899823201970996e-05,5.019380600711748e-06,2.162194720306599e-05,1.1583186001642496e-06,5.791593000821248e-06,3.088849600437999e-06,5.019380600711748e-06,1.1969292201697246e-05,1.1583186001642496e-06,4.2471682006022485e-06,2.702743400383249e-06,2.702743400383249e-06,1.9305310002737494e-06,1.1583186001642496e-06,3.861062000547499e-06,1.5444248002189997e-06,7.722124001094997e-07,2.895796500410624e-05,9.266548801313996e-06,1.5444248002189997e-06,9.266548801313996e-06,3.4749558004927487e-06,7.722124001094997e-07,1.0424867401478246e-05,1.1583186001642496e-06,9.266548801313996e-06,3.4749558004927487e-06,5.019380600711748e-06,1.1583186001642496e-06
568703,0.0001028268738201,1.1647056905190628e-05,4.991595816510269e-06,0.0003078150753514,6.655461088680359e-07,1.996638326604108e-06,0.0171035366787452,2.9949574899061613e-06,6.655461088680359e-07,2.9949574899061613e-06,5.657141925378304e-06,4.658822762076251e-06,0.000698490641257,0.0,1.6638652721700896e-06,5.989914979812323e-06,2.0631929374909116e-05,3.32773054434018e-07,2.3294113810381256e-06,6.655461088680359e-07,8.319326360850448e-06,3.89344473687801e-05,3.32773054434018e-07,0.0071705937769442,6.988234143114377e-06,3.52739437700059e-05,6.655461088680359e-07,0.00180795600474,6.655461088680359e-07,5.657141925378304e-06,1.996638326604108e-06,1.6638652721700896e-06,1.6638652721700896e-06,9.983191633020538e-07,1.3310922177360715e-06,6.722015699567163e-05,1.3310922177360715e-06,2.3294113810381256e-06,9.983191633020538e-07,4.326049707642233e-06,1.5307560503964823e-05,1.0648737741888574e-05,0.0,2.22957946470792e-05,6.655461088680359e-07,4.525713540302644e-05,4.3926043185290365e-05,2.3294113810381256e-06,1.996638326604108e-06,0.000223956265634,8.851763247944877e-05,3.993276653208215e-06
565040,0.0026369637388426,0.0006617317694765,0.0006376537000727,0.0006472019000087,0.0037109286620771,4.981669531818546e-05,0.0795452233884402,0.0031421880571945,6.227086914773183e-06,0.0014156244252917,3.362626933977519e-05,3.902307799924528e-05,0.0044212317094889,0.0002777280763988,0.0053926572681935,0.0018274424399221,0.0005081302922454,7.472504297727819e-05,0.0020864892555766,0.0086452723333434,2.1172095510228825e-05,0.0330380171958929,0.0021828015331918,0.0058464043347167,0.0022151823851486,4.981669531818546e-05,2.0756956382577275e-06,0.0075646651840664,0.0001025393645299,0.0010121091932144,0.0005023183444583,0.0016862951365205,0.0003420746411848,0.0003163360152704,0.0017493962839236,0.0004541622056507,0.000567080048372,0.0054017903290019,0.000309693789228,0.0005533804571595,0.0003570196497803,0.0004035152320773,0.0004400474753106,0.0020524478471092,0.0001573377293799,0.0019137913784736,0.0013907160776326,0.0032704660476388,0.0001108421470829,0.0033908563946578,1.5360147723107183e-05,8.717921680682455e-06
546262,4.271740355077737e-06,3.363995529623718e-05,2.6164409674851143e-05,1.6019026331541515e-06,1.0679350887694343e-05,7.475545621386041e-06,1.0145383343309628e-05,1.334918860961793e-05,1.6019026331541515e-06,1.4951091242772082e-05,2.082473423100397e-05,4.805707899462455e-05,3.7377728106930206e-06,4.1115500917623226e-05,7.475545621386041e-06,9.077448254540192e-05,0.0001089293790544,3.2038052663083034e-06,0.0001078614439657,2.9902182485544165e-05,8.490083955717003e-05,2.4562507041696992e-05,2.1358701775388687e-06,3.791169565131493e-05,3.524185792939134e-05,2.723234476362058e-05,8.543480710155475e-06,2.723234476362058e-05,1.8688864053465104e-05,3.897963074008436e-05,5.2862786894087e-05,1.121331843207906e-05,1.762092896469567e-05,8.543480710155475e-06,1.121331843207906e-05,1.0679350887694343e-06,6.407610532616607e-06,5.873642988231889e-06,5.713452724916474e-05,3.7377728106930206e-06,1.334918860961793e-05,6.407610532616607e-06,5.339675443847172e-07,8.703670973470891e-05,6.567800795932022e-05,5.339675443847172e-06,6.140626760424248e-05,1.0679350887694343e-05,9.61141579892491e-06,2.189266931977341e-05,6.941578077001324e-06,1.0679350887694343e-06
1121126,4.744742726210552e-06,1.186185681552638e-06,7.907904543684254e-06,1.5815809087368507e-06,3.953952271842127e-07,7.907904543684254e-06,4.349347499026339e-06,4.349347499026339e-06,1.186185681552638e-06,7.907904543684254e-06,2.649148022134225e-05,1.9769761359210632e-05,7.512509316500041e-06,2.372371363105276e-06,1.9769761359210634e-06,1.7001994768921145e-05,5.140137953394765e-06,1.5815809087368507e-06,2.7677665902894885e-06,4.349347499026339e-06,1.2257252042710592e-05,2.7677665902894885e-06,6.721718862131615e-06,7.512509316500041e-06,1.5025018633000082e-05,3.242240862910544e-05,1.186185681552638e-06,1.344343772426323e-05,7.907904543684254e-07,1.3048042497079018e-05,2.372371363105276e-06,3.163161817473701e-06,3.558557044657914e-06,3.953952271842127e-06,3.953952271842127e-06,7.907904543684254e-07,2.7677665902894885e-06,9.094090225236892e-06,3.558557044657914e-06,2.7677665902894885e-06,1.8583575677657997e-05,1.1071066361157954e-05,3.953952271842127e-07,1.8188180450473783e-05,3.953952271842127e-07,7.907904543684254e-07,1.344343772426323e-05,8.303299770868466e-06,1.344343772426323e-05,5.140137953394765e-06,7.117114089315828e-06,1.5815809087368507e-06
