donor,recipient,taxon,pre_abundance,post_abundance,log_fold_change
D-2,11-0,465515,295.390784956486,174.826465481788,-0.756701221709983
D-2,11-0,469602,15.7913312712587,2.77502326161569,-2.50856103117588
D-2,11-0,1002364,5.57341103691482,89.9107536763483,4.01186121735056
D-2,11-0,469599,12.0757239133155,9.43507908949334,-0.35600316170366
D-2,11-0,502347,21.3647423081735,5511.19619756876,8.01098976154582
D-2,11-0,525367,14.8624294317729,4.99504187090824,-1.57310128337059
D-2,11-0,568703,5047.65259576586,5.55004652323138,-9.82889704014752
D-2,11-0,565040,16927.3782209498,4201.38521808615,-2.0104215649104
D-2,11-0,546262,48.3028956532618,14.4301209604016,-1.74302628481291
D-2,11-0,1121126,32.5115643820031,6.66005582787765,-2.28734680103672
D-2,11-0,545696,13300.0165377577,859.147201796217,-3.95237889302722
D-2,11-0,1122949,117.970533614697,11.1000930464628,-3.40978287669771
D-2,11-0,702444,692.96077225641,8587.03198074359,3.6313139744087
D-2,11-0,1423799,5.57341103691482,2.77502326161569,-1.0060606906467
D-2,11-0,1140001,39.0138772584038,7.21506048020079,-2.43490398945057
D-2,11-0,767031,342.764778770262,102.120856027457,-1.74694133481629
D-2,11-0,1127131,27.8670551845741,3.33002791393883,-3.06495437970027
D-2,11-0,537972,14.8624294317729,2.77502326161569,-2.42109818992554
D-2,11-0,537007,7451.65055635512,2099.02759508611,-1.82783888767765
D-2,11-0,749518,4.64450919742902,1.66501395696941,-1.47999187897911
D-2,11-0,936154,31.5826625425173,7.21506048020079,-2.13004940792215
D-2,11-0,1203611,25374.8115492337,1069758.14724119,5.39774374839964
D-2,11-0,657309,567.559023925826,21303.2985747713,5.2301625876618
D-2,11-0,206672,17298.9389567441,6019.58045909675,-1.52294870633064
D-2,11-0,426355,122.615042812126,37.1853117056502,-1.72133121371359
D-2,11-0,553174,240.585576426823,24.4202047022181,-3.30040295386216
D-2,11-0,1397694,41.8005827768612,26.0852186591875,-0.680290529464944
D-2,11-0,1178544,32.5115643820031,6.66005582787765,-2.28734680103672
D-2,11-0,469617,26.0092515056025,6.66005582787765,-1.96541870614935
D-2,11-0,1384484,34094.413116487,2920.98948517667,-3.54500628133596
D-2,11-0,1121100,2350.12165389908,24122.7222085729,3.35958537727674
D-2,11-0,450749,109.610417059325,12.7651070034322,-3.10210737811774
D-2,11-0,1120988,26.9381533450883,9.43507908949334,-1.51354443869014
D-2,11-0,548479,63.1653250850347,71.5956001496848,0.180738129360008
D-2,11-0,1122603,47.373993813776,22.7551907452486,-1.05789962216632
D-2,11-0,566552,5463.8006198555,91.5757676333177,-5.89879513945416
D-2,11-0,1236550,77.0988526773217,45.5103814904973,-0.760513711541748
D-2,11-0,1208104,122.615042812126,42.1803535765585,-1.53949289072777
D-2,11-0,717962,42748.0626531367,3111.91108557583,-3.77998629345805
D-2,11-0,1089456,110.539318898811,155.956307302802,0.496582272100076
D-2,11-0,565653,2594.42283768385,33.8552837917114,-6.25988880552997
D-2,11-0,585520,14.8624294317729,0.555004652323138,-4.74302628481291
D-2,11-0,537012,266.594827932426,600114.320454658,11.1363728500653
D-2,11-0,413999,49.2317974927476,22.2001860929255,-1.14901864448874
D-2,11-0,1211815,59.4497177270915,31.6352651824189,-0.910136270648165
D-2,11-0,762984,726.401238477899,3361.10817446892,2.21009840786547
D-2,11-0,1121019,49.2317974927476,9.99008374181648,-2.30102173793379
D-2,11-0,272623,78.0277545168075,7.21506048020079,-3.43490398945057
D-2,11-0,1185325,14.8624294317729,7.21506048020079,-1.04258656667181
D-2,11-0,754252,52.018503011205,28.8602419208032,-0.849941488729419
D-2,11-0,568816,1144.40706624651,112989.512133901,6.62544474452891
D-2,11-0,525268,21.3647423081735,21.0901767882792,-0.0186607274263346
D-2,11-0,290338,26.0092515056025,875.797341365911,5.07350028314295
D-2,11-0,398511,33.4404662214889,11.6550976987859,-1.52063386347646
D-2,11-0,205921,35.2982699004606,4.4400372185851,-2.99095379825649
D-2,11-0,324831,24.1514478266309,4.4400372185851,-2.443466002954
D-2,11-0,1089547,20.4358404686877,19.980167483633,-0.0325329020078918
D-2,11-0,457401,222.007539637107,35831.6553586341,7.33448221177588
D-2,11-0,457398,273.097140808826,206.461730664207,-0.40353981854124
D-2,11-0,742817,80.814460035265,676.550671181905,3.06551262995858
D-2,11-0,561180,22.2936441476593,11.1000930464628,-1.0060606906467
D-2,11-0,999413,11927.0996189977,999.563378833971,-3.5768014009163
D-2,11-0,1064537,141.193079601842,64.9355443218071,-1.12058907867309
D-2,11-0,411469,80364.8715449538,994.01333231074,-6.33715600733457
D-2,11-0,562982,56.663012208634,10.5450883941396,-2.42583610893221
D-2,11-0,518635,3688.66920459813,101.565851375134,-5.18261309205333
D-2,11-0,1156918,29.7248588635457,12.210102351109,-1.28359466617561
D-2,11-0,500633,369.70293211535,10.5450883941396,-5.13172339191297
D-2,11-0,1125724,25.0803496661167,13.8751163080784,-0.85405759720165
D-2,11-0,1122985,175.562447662817,21.0901767882792,-3.05734119559039
D-2,11-0,1170318,52.018503011205,26.6402233115106,-0.965418706149355
D-2,11-0,1307436,16.7202331107445,7.21506048020079,-1.21251156811413
D-2,11-0,688245,104.965907861896,32.190269834742,-1.70522425210052
D-2,11-0,411475,73675.8493988166,13633.6892843179,-2.43401577898202
D-2,11-0,1437595,35.2982699004606,28.8602419208032,-0.2905140801154
D-2,11-0,393305,15.7913312712587,66.6005582787765,2.07640146954527
D-2,11-0,634498,4.64450919742902,4.99504187090824,0.104970621742043
D-2,11-0,388919,314.897723585688,118.770995597151,-1.4067007615481
D-2,11-0,742766,42.729484616347,69.9305861927154,0.710691682629996
D-2,11-0,1218102,22.2936441476593,11.6550976987859,-0.935671362755303
D-2,11-0,585054,27.8670551845741,14976.8005429399,9.06995318643857
D-2,11-0,742741,17758.7453672896,2947.62970848818,-2.59090245617178
D-2,11-0,1408440,13.9335275922871,6.10505117555452,-1.19048526178413
D-2,11-0,364106,41.8005827768612,223347.747211139,12.3834810263097
D-2,11-0,321956,13.0046257528013,11.6550976987859,-0.158063784091751
D-2,11-0,910954,52.9474048506908,20.5351721359561,-1.3664629333487
D-2,11-0,546270,35.2982699004606,10.5450883941396,-1.74302628481291
D-2,11-0,523794,21.3647423081735,8.32506978484707,-1.3596976452614
D-2,11-0,762968,805.357894834192,15963.0438101181,4.30896191030165
D-2,11-0,445971,207.145110205334,33.8552837917114,-2.61318884717033
D-2,11-0,1121342,94.747987627552,9.43507908949334,-3.32798878553406
D-2,11-0,930942,30.6537607030315,4.4400372185851,-2.78742040417136
D-2,11-0,1140002,20.4358404686877,31.0802605300957,0.6048970186074
D-2,11-0,888727,299.106392314429,39.4053303149428,-2.92419604342284
D-2,11-0,428127,27408.1776758681,936.847853121457,-4.87064782979325
D-2,11-0,1123313,1332.04523782264,1862.04060854413,0.483241457572734
D-2,11-0,500637,5.57341103691482,13.8751163080784,1.31586740424066
D-2,11-0,556270,1808.57188147886,120.991014206444,-3.90187912875628
D-2,11-0,585506,11.1468220738296,5.55004652323138,-1.0060606906467
D-2,11-0,626522,55.7341103691482,365.193061228625,2.71202689331382
D-2,11-0,657324,457.019705027016,61.6055164078683,-2.89112492380204
D-2,11-0,1194526,20.4358404686877,8.8800744371702,-1.2024579034502
D-2,11-0,470146,232231.962184327,3294.50761619015,-6.1393598724119
D-2,11-0,536229,12.0757239133155,5.55004652323138,-1.12153790806664
D-2,11-0,638301,135.619668564927,45.5103814904973,-1.57529883907484
D-2,11-0,626369,51.0896011717192,27.1952279638338,-0.909676154222358
D-2,11-0,205913,17574.8228030714,4095.93433414476,-2.10124565209191
D-2,11-0,525361,237.798870908366,6.10505117555452,-5.28359466617561
D-2,11-0,640513,52.018503011205,98.2358234611954,0.917224343212487
D-2,11-0,622312,69277.4991888513,13840.1510149821,-2.32352716709583
D-2,11-0,585394,58688.0182187131,6118.92629186259,-3.2617155661149
D-2,11-0,1410647,20538.9485728706,39.9603349672659,-9.00557793739198
D-2,11-0,527025,18.5780367897161,8.32506978484707,-1.15806378409175
D-2,11-0,596327,39.9427790978896,79.9206699345318,1.00063396192731
D-2,11-0,476272,12974.9008939377,6698.90615354027,-0.953726072799963
D-2,11-0,1121129,30.6537607030315,818.076857524305,4.73810040492371
