taxon,average_distance,comparison,sample_id
762984,6.804958914,D-2 vs 11-0,D-2
763034,4.843060779,D-2 vs 11-0,D-2
862965,9.284545039,D-2 vs 11-0,D-2
866776,2.707964609,D-2 vs 11-0,D-2
868129,2.374922494,D-2 vs 11-0,D-2
888048,3.633645632,D-2 vs 11-0,D-2
997884,9.770582781,D-2 vs 11-0,D-2
999410,2.971020831,D-2 vs 11-0,D-2
1002367,3.096362387,D-2 vs 12-0,D-2
1077285,6.569350949,D-2 vs 12-0,D-2
1121100,6.807462181,D-2 vs 12-0,D-2
1121101,2.604236044,D-2 vs 12-0,D-2
1121115,5.298318271,D-2 vs 12-0,D-2
1121130,4.201653885,D-2 vs 12-0,D-2
1160721,8.161067771,D-2 vs 12-0,D-2
1203465,2.768284889,D-2 vs 12-0,D-2
1203606,2.140899743,D-2 vs 12-0,D-2
1203610,2.372452863,D-2 vs 12-0,D-2
1203611,6.812297796,D-2 vs 12-0,D-2
1235789,2.266726295,D-2 vs 12-0,D-2
1235811,1.94690634,D-2 vs 12-0,D-2
1256908,3.643037229,D-2 vs 12-0,D-2
1282887,2.074283305,D-2 vs 12-0,D-2
1336236,1.981169349,D-2 vs 12-0,D-2
1408437,2.633157694,D-2 vs 12-0,D-2
1437612,3.268827556,D-2 vs 12-0,D-2
226186,5.333893923,D-2 vs 12-0,D-2
347253,2.283609598,D-2 vs 12-0,D-2
367928,2.781307645,D-2 vs 12-0,D-2
409438,3.07914987,D-2 vs 12-0,D-2
411459,3.698482938,D-2 vs 12-0,D-2
411461,7.585363719,D-2 vs 12-0,D-2
411462,4.899601144,D-2 vs 12-0,D-2
411463,5.220906001,D-2 vs 12-0,D-2
411467,3.334591594,D-2 vs 12-0,D-2
411468,1.870146008,D-2 vs 12-0,D-2
411469,3.227846964,D-2 vs 12-0,D-2
411470,3.045312237,D-2 vs 12-0,D-2
411471,4.890806495,D-2 vs 12-0,D-2
411473,2.399246673,D-2 vs 12-0,D-2
411474,1.977864279,D-2 vs 12-0,D-2
411475,7.493900646,D-2 vs 12-0,D-2
411476,12.4883379,D-2 vs 12-0,D-2
411477,9.775506917,D-2 vs 12-0,D-2
411479,7.939579472,D-2 vs 12-0,D-2
411483,12.53408394,D-2 vs 12-0,D-2
411486,6.398370275,D-2 vs 12-0,D-2
411901,6.801099154,D-2 vs 12-0,D-2
411902,3.849472396,D-2 vs 12-0,D-2
411903,3.521478233,D-2 vs 12-0,D-2
428125,3.644764026,D-2 vs 12-0,D-2
